"Node.1" "Node.2" "CN"
"ENSG00000275854" "ENSG00000073969" 0.54
"ENSG00000163655" "ENSG00000023516" 0.53
"ENSG00000075303" "ENSG00000073060" -0.53
"ENSG00000078668" "ENSG00000023734" 0.55
"ENSG00000138430" "ENSG00000152475" -0.53
"ENSG00000249637" "ENSG00000111817" -0.52
"ENSG00000119801" "ENSG00000188582" 0.54
"ENSG00000157214" "ENSG00000007168" 0.54
"ENSG00000146352" "ENSG00000125868" 0.52
"ENSG00000162636" "ENSG00000164465" 0.54
"ENSG00000058091" "ENSG00000196576" -0.54
"ENSG00000153130" "ENSG00000103769" 0.54
"ENSG00000123983" "ENSG00000075790" 0.54
"ENSG00000106105" "ENSG00000075790" 0.52
"ENSG00000116750" "ENSG00000104936" -0.52
"ENSG00000147669" "ENSG00000148925" 0.53
"ENSG00000145362" "ENSG00000139826" 0.53
"ENSG00000149970" "ENSG00000161558" -0.52
"ENSG00000078668" "ENSG00000132664" 0.53
"ENSG00000100614" "ENSG00000267225" 0.52
"ENSG00000133302" "ENSG00000129566" -0.54
"ENSG00000273841" "ENSG00000256206" 0.54
"ENSG00000146352" "ENSG00000140280" 0.53
"ENSG00000126947" "ENSG00000169018" 0.51
"ENSG00000143153" "ENSG00000173915" 0.52
"ENSG00000070718" "ENSG00000196305" 0.51
"ENSG00000143158" "ENSG00000138769" 0.52
"ENSG00000166922" "ENSG00000129355" 0.54
"ENSG00000102471" "ENSG00000104164" 0.54
"ENSG00000172292" "ENSG00000109339" 0.53
"ENSG00000166922" "ENSG00000227906" 0.54
"ENSG00000229956" "ENSG00000256514" -0.51
"ENSG00000145362" "ENSG00000096654" 0.53
"ENSG00000143153" "ENSG00000138078" 0.55
"ENSG00000172795" "ENSG00000171714" 0.51
"ENSG00000163536" "ENSG00000022355" 0.54
"ENSG00000287022" "ENSG00000110675" 0.55
"ENSG00000230612" "ENSG00000009844" 0.52
"ENSG00000227028" "ENSG00000072041" 0.53
"ENSG00000143198" "ENSG00000079785" 0.54
"ENSG00000106052" "ENSG00000254433" 0.55
"ENSG00000074964" "ENSG00000196776" -0.53
"ENSG00000178662" "ENSG00000100209" -0.55
"ENSG00000166987" "ENSG00000104812" 0.55
"ENSG00000138814" "ENSG00000088888" -0.54
"ENSG00000114573" "ENSG00000127870" 0.54
"ENSG00000085231" "ENSG00000113575" 0.53
"ENSG00000229956" "ENSG00000075391" 0.52
"ENSG00000169255" "ENSG00000128609" 0.52
"ENSG00000120265" "ENSG00000154930" -0.52
"ENSG00000150773" "ENSG00000108061" 0.54
"ENSG00000085365" "ENSG00000124532" 0.53
"ENSG00000087470" "ENSG00000137876" 0.53
"ENSG00000119801" "ENSG00000152402" 0.52
"ENSG00000133302" "ENSG00000106524" 0.54
"ENSG00000106701" "ENSG00000258048" 0.53
"ENSG00000148925" "ENSG00000139505" 0.55
"ENSG00000249875" "ENSG00000169871" -0.51
"ENSG00000014824" "ENSG00000109158" 0.52
"ENSG00000231999" "ENSG00000101557" 0.53
"ENSG00000254433" "ENSG00000111726" 0.56
"ENSG00000237633" "ENSG00000182916" 0.53
"ENSG00000157637" "ENSG00000130304" 0.54
"ENSG00000133059" "ENSG00000285889" 0.54
"ENSG00000103091" "ENSG00000125814" -0.54
"ENSG00000163536" "ENSG00000198496" -0.51
"ENSG00000280571" "ENSG00000258903" 0.51
"ENSG00000103653" "ENSG00000071564" 0.55
"ENSG00000160783" "ENSG00000082701" -0.52
"ENSG00000138138" "ENSG00000136404" 0.54
"ENSG00000156976" "ENSG00000133731" 0.53
"ENSG00000136531" "ENSG00000164919" 0.54
"ENSG00000109339" "ENSG00000010017" 0.52
