"ensembl_gene_id","hgnc_symbol","gene_biotype","Coreness","Degree","Degree_norm","Betweenness","Betweenness_norm","Eigenvector","Closeness"
"ENSG00000001630","CYP51A1","protein_coding",1,1,0.0003690036900369,0,0,0.00883392975610197,0.316479400749064
"ENSG00000002933","TMEM176A","protein_coding",1,1,0.0003690036900369,0,0,0.00264032789618841,0.305709440361786
"ENSG00000003393","ALS2","protein_coding",30,44,0.0162361623616236,1422.69669868747,0.000387582378456251,0.166665499490654,0.41948495190816
"ENSG00000003400","CASP10","protein_coding",1,1,0.0003690036900369,0,0,0.00594051903098799,0.300344329667888
"ENSG00000003402","CFLAR","protein_coding",8,8,0.0029520295202952,6.87443232163894,1.87278766599757e-06,0.0618812753627952,0.368543001226659
"ENSG00000004059","ARF5","protein_coding",4,4,0.0014760147601476,2.80185752266665,7.63304366793387e-07,0.0135064271771712,0.30388851427287
"ENSG00000004399","PLXND1","protein_coding",1,1,0.0003690036900369,0,0,0.00234862509153756,0.300244281590051
"ENSG00000004487","KDM1A","protein_coding",32,32,0.0118081180811808,266.88661068243,7.27073784889319e-05,0.203410983774058,0.429002062509916
"ENSG00000004534","RBM6","protein_coding",2,2,0.000738007380073801,1.35153679014489,3.68196428781167e-07,0.0100871574886018,0.299479455089157
"ENSG00000004766","VPS50","protein_coding",35,54,0.0199261992619926,1399.83999923983,0.000381355574145994,0.189873657561624,0.41818744200433
"ENSG00000004897","CDC27","protein_coding",43,73,0.0269372693726937,5069.84199840329,0.0013811667813325,0.351179176427762,0.445249464844393
"ENSG00000004961","HCCS","protein_coding",31,35,0.0129151291512915,132.565146400066,3.61144541837625e-05,0.189247621649801,0.392111368909513
"ENSG00000004975","DVL2","protein_coding",9,11,0.0040590405904059,186.457759617602,5.07963095864958e-05,0.0256228730107165,0.35378777966767
"ENSG00000005020","SKAP2","protein_coding",2,2,0.000738007380073801,2.25083183742132,6.13189556043563e-07,0.00298476226453002,0.306228765571914
"ENSG00000005194","CIAPIN1","protein_coding",30,30,0.011070110701107,132.847250813823,3.61913073175033e-05,0.201704262801907,0.406616541353383
"ENSG00000005249","PRKAR2B","protein_coding",43,72,0.0265682656826568,1411.73072418497,0.000384594940245639,0.319627643450604,0.433402788908479
"ENSG00000005810","MYCBP2","protein_coding",39,72,0.0265682656826568,4685.37301015872,0.00127642667401098,0.282934155735935,0.434517113932187
"ENSG00000005844","ITGAL","protein_coding",1,1,0.0003690036900369,0,0,0.0101985635521498,0.332309204866658
"ENSG00000006025","OSBPL7","protein_coding",3,3,0.0011070110701107,11.9052922897559,3.24333465181823e-06,0.00576646391462028,0.31725918103954
"ENSG00000006128","TAC1","protein_coding",28,28,0.0103321033210332,153.041744308532,4.16928522550993e-05,0.209897556559117,0.421183800623053
"ENSG00000006530","AGK","protein_coding",34,80,0.029520295202952,8683.71894486353,0.00236568795415133,0.203475481350173,0.42596093257719
"ENSG00000006607","FARP2","protein_coding",20,20,0.00738007380073801,54.1237612446297,1.47448265913212e-05,0.154969082864048,0.412950519242517
"ENSG00000006625","GGCT","protein_coding",43,43,0.0158671586715867,405.357340135654,0.000110430678695902,0.305584517887324,0.430573248407643
"ENSG00000006704","GTF2IRD1","protein_coding",8,8,0.0029520295202952,4.04736339545709,1.10261500763673e-06,0.066338520653291,0.368492777323521
"ENSG00000006715","VPS41","protein_coding",33,39,0.0143911439114391,638.889234294006,0.000174051299357208,0.184218120315392,0.421118205886933
"ENSG00000007168","PAFAH1B1","protein_coding",46,142,0.0523985239852399,5009.97355060632,0.00136485694142562,0.63133754375267,0.444371405094495
"ENSG00000007384","RHBDF1","protein_coding",5,5,0.0018450184501845,35.6259227043966,9.70549792461553e-06,0.0230952569155407,0.359049263046076
"ENSG00000007866","TEAD3","protein_coding",3,3,0.0011070110701107,2.35131358313511,6.40563594397004e-07,0.0225043810290644,0.338380678263046
"ENSG00000008086","CDKL5","protein_coding",27,27,0.00996309963099631,148.818083902909,4.0542209010258e-05,0.177277203890376,0.411192214111922
"ENSG00000008128","CDK11A","protein_coding",7,7,0.0025830258302583,161.235190487893,4.39249761933076e-05,0.038057527875755,0.386783006722929
"ENSG00000008130","NADK","protein_coding",1,1,0.0003690036900369,0,0,0.00327812564471485,0.304607412414104
"ENSG00000008277","ADAM22","protein_coding",46,283,0.104428044280443,48363.1790559376,0.0131754828597684,0.769368103378332,0.468063008481911
"ENSG00000008441","NFIX","protein_coding",2,2,0.000738007380073801,4.30095805995287,1.17170128816283e-06,0.0109490748393888,0.331616384596517
"ENSG00000008869","HEATR5B","protein_coding",38,43,0.0158671586715867,580.568798014062,0.000158163181090791,0.271207582384159,0.433194488945851
"ENSG00000009830","POMT2","protein_coding",18,18,0.00664206642066421,264.995607487653,7.21922163207929e-05,0.131272734132369,0.413013594012525
"ENSG00000009844","VTA1","protein_coding",46,65,0.0239852398523985,1287.31151058141,0.000350699666025482,0.371554330100158,0.443715129635707
"ENSG00000010017","RANBP9","protein_coding",19,19,0.00701107011070111,136.27445009445,3.7124972272131e-05,0.0955135333768018,0.402500744269128
"ENSG00000010626","LRRC23","protein_coding",6,6,0.0022140221402214,66.7644982165489,1.81885169474851e-05,0.0308845257830819,0.378499440089586
"ENSG00000010818","HIVEP2","protein_coding",5,5,0.0018450184501845,17.7314982513409,4.83055613483029e-06,0.0218251858015025,0.355415352260778
"ENSG00000011052","NME1-NME2","protein_coding",14,14,0.00516605166051661,45.261308364244,1.2330446513329e-05,0.0886245429855921,0.364863041424909
"ENSG00000011275","RNF216","protein_coding",1,1,0.0003690036900369,0,0,0.00683081019545958,0.308675799086758
"ENSG00000011304","PTBP1","protein_coding",15,32,0.0118081180811808,9744.85252575669,0.00265477042515292,0.0691366687129443,0.403100775193798
"ENSG00000011422","PLAUR","protein_coding",1,1,0.0003690036900369,0,0,0.00796962612283801,0.322134858232071
"ENSG00000011454","RABGAP1","protein_coding",4,4,0.0014760147601476,1.89082473056534,5.15113549495488e-07,0.0229571438025042,0.34985120972959
"ENSG00000012048","BRCA1","protein_coding",11,11,0.0040590405904059,9.21843648081473,2.51135996883825e-06,0.0824828738207478,0.381543671511218
"ENSG00000013306","SLC25A39","protein_coding",1,1,0.0003690036900369,0,0,0.00297944871655074,0.3040593725402
"ENSG00000013392","RWDD2A","protein_coding",46,119,0.0439114391143911,3831.40878323063,0.00104378293027087,0.541187772303271,0.435847840103159
"ENSG00000013561","RNF14","protein_coding",45,53,0.0195571955719557,771.101880093966,0.000210069722516844,0.298973563229888,0.424023835659401
"ENSG00000014641","MDH1","protein_coding",46,167,0.0616236162361624,18316.5695725127,0.00498994592918037,0.596900433197669,0.422170179547229
"ENSG00000014824","SLC30A9","protein_coding",40,48,0.0177121771217712,1139.53044503588,0.000310439969824756,0.293012906795079,0.436621992572259
"ENSG00000015153","YAF2","protein_coding",10,10,0.003690036900369,59.4181748111311,1.6187172949845e-05,0.0322252670731454,0.359287802285411
"ENSG00000015285","WAS","protein_coding",9,9,0.0033210332103321,120.460666299063,3.28168552001904e-05,0.0549616898383267,0.391940860994347
"ENSG00000015479","MATR3","protein_coding",46,98,0.0361623616236162,2170.9813861073,0.000591436059413081,0.498690658612935,0.436199386997903
"ENSG00000015568","RGPD5","protein_coding",16,16,0.00590405904059041,122.282144599914,3.3313076842373e-05,0.0492682713177721,0.373222912353347
"ENSG00000016391","CHDH","protein_coding",2,2,0.000738007380073801,6.90880299645755,1.88215119928448e-06,0.0119225547904392,0.339613162521979
"ENSG00000018189","RUFY3","protein_coding",46,88,0.0324723247232472,3097.21724948235,0.000843768618608289,0.443620651382575,0.450291423813489
"ENSG00000020181","ADGRA2","protein_coding",4,4,0.0014760147601476,6.29546575537874,1.71506097765648e-06,0.0143898366443439,0.34538255205007
"ENSG00000021300","PLEKHB1","protein_coding",1,1,0.0003690036900369,0,0,0.00264032789618841,0.305709440361786
"ENSG00000021645","NRXN3","protein_coding",1,1,0.0003690036900369,0,0,0.00500845898828533,0.313725490196078
"ENSG00000022355","GABRA1","protein_coding",46,113,0.0416974169741697,3641.32387499352,0.000991998483936562,0.430659195445354,0.408335850196315
"ENSG00000023228","NDUFS1","protein_coding",31,33,0.0121771217712177,281.741193565289,7.67541824001419e-05,0.168899617394874,0.381382228490832
"ENSG00000023516","AKAP11","protein_coding",46,116,0.0428044280442804,2368.78781084461,0.000645324062839492,0.567474412500203,0.434307741728236
"ENSG00000023572","GLRX2","protein_coding",46,77,0.0284132841328413,891.055117855918,0.000242748339988999,0.412723443001379,0.416897934011718
"ENSG00000023734","STRAP","protein_coding",46,115,0.0424354243542435,5110.35769772912,0.00139220439119271,0.538713097467048,0.438249594813614
"ENSG00000024422","EHD2","protein_coding",13,14,0.00516605166051661,294.951480023347,8.03530339685937e-05,0.034034121282799,0.371786058022824
"ENSG00000024862","CCDC28A","protein_coding",5,5,0.0018450184501845,3.17312306648947,8.64447486508542e-07,0.0437769508478897,0.362175194213769
"ENSG00000025156","HSF2","protein_coding",41,62,0.0228782287822878,2115.46064776423,0.000576310657181876,0.311889623879566,0.448275862068966
"ENSG00000025434","NR1H3","protein_coding",6,6,0.0022140221402214,36.4364529172341,9.92630902791817e-06,0.0228818599315708,0.353648966780016
"ENSG00000028310","BRD9","protein_coding",1,1,0.0003690036900369,0,0,0.00395292866760117,0.311592532841669
"ENSG00000028839","TBPL1","protein_coding",8,8,0.0029520295202952,8.60972895503509,2.34553101116685e-06,0.0501078550233383,0.363343187315238
"ENSG00000031081","ARHGAP31","protein_coding",9,9,0.0033210332103321,13.8335182305412,3.76863733721848e-06,0.0653183839618887,0.374826725810923
"ENSG00000031698","SARS1","protein_coding",9,9,0.0033210332103321,18.9723381197363,5.16859562555219e-06,0.0421787588571592,0.332227546381619
"ENSG00000033122","LRRC7","protein_coding",3,3,0.0011070110701107,27.5111886803211,7.49481737935763e-06,0.00632021932010474,0.32064508478596
"ENSG00000034510","TMSB10","protein_coding",10,10,0.003690036900369,8.16662336703358,2.22481665380359e-06,0.0535558225066501,0.344020356234097
"ENSG00000034533","ASTE1","protein_coding",2,2,0.000738007380073801,1.67426257059658,4.56115959129423e-07,0.0188867831980787,0.342061986084756
"ENSG00000034713","GABARAPL2","protein_coding",3,3,0.0011070110701107,1.43435835292529,3.90759339287325e-07,0.020243872362234,0.323367615403014
"ENSG00000037241","RPL26L1","protein_coding",14,14,0.00516605166051661,22.6266551218359,6.16413380077503e-06,0.0892347829957134,0.36664406779661
"ENSG00000038274","MAT2B","protein_coding",14,15,0.00553505535055351,80.3929523704602,2.19012890938801e-05,0.0811822747998281,0.353556485355649
"ENSG00000040341","STAU2","protein_coding",37,182,0.0671586715867159,31398.9097950193,0.0085539413639704,0.352335888640174,0.444152431011827
"ENSG00000040531","CTNS","protein_coding",29,43,0.0158671586715867,1266.6816255846,0.000345079508263314,0.163682726205944,0.42170929507174
"ENSG00000040731","CDH10","protein_coding",14,14,0.00516605166051661,74.105439640401,2.01883947427942e-05,0.0495192999636126,0.373790434061377
"ENSG00000041353","RAB27B","protein_coding",7,7,0.0025830258302583,13.7223474338605,3.73835130237203e-06,0.0402274215109736,0.375503402305235
"ENSG00000041357","PSMA4","protein_coding",39,44,0.0162361623616236,503.175365962784,0.000137079045238785,0.267247025559257,0.411442483262325
"ENSG00000042062","RIPOR3","protein_coding",4,4,0.0014760147601476,3.71689528878301,1.01258625104592e-06,0.032911376289056,0.36154566118465
"ENSG00000042813","ZPBP","protein_coding",1,1,0.0003690036900369,0,0,0.00500845898828533,0.313725490196078
"ENSG00000043355","ZIC2","protein_coding",3,3,0.0011070110701107,16.5575599090203,4.51074249127762e-06,0.00849305436088745,0.329113924050633
"ENSG00000047188","YTHDC2","protein_coding",1,1,0.0003690036900369,0,0,0.00192426185102736,0.3001443001443
"ENSG00000047249","ATP6V1H","protein_coding",27,29,0.0107011070110701,225.871825977472,6.15338038103063e-05,0.0967118053823644,0.390638543773476
"ENSG00000047578","KATNIP","protein_coding",18,18,0.00664206642066421,126.675980438124,3.45100806354447e-05,0.128204213321238,0.412383712063444
"ENSG00000047597","XK","protein_coding",46,75,0.0276752767527675,960.977185553125,0.000261797067191125,0.414165746234531,0.438249594813614
"ENSG00000047644","WWC3","protein_coding",24,25,0.00922509225092251,149.958988490378,4.08530233349209e-05,0.165311218323106,0.406372107003306
"ENSG00000047932","GOPC","protein_coding",5,5,0.0018450184501845,1.93003750990704,5.25796207504855e-07,0.03814928171427,0.365454791187998
"ENSG00000048052","HDAC9","protein_coding",1,1,0.0003690036900369,0,0,0.00389229903249961,0.307133121308496
"ENSG00000048471","SNX29","protein_coding",1,1,0.0003690036900369,0,0,0.00667768844067917,0.303717847916433
"ENSG00000048540","LMO3","protein_coding",25,25,0.00922509225092251,180.878393917342,4.9276334295642e-05,0.17461975751954,0.423293675641828
"ENSG00000048544","MRPS10","protein_coding",22,22,0.00811808118081181,111.663993517883,3.04203954613181e-05,0.105965447631627,0.368995633187773
"ENSG00000049130","KITLG","protein_coding",19,19,0.00701107011070111,104.137928073489,2.83700847042559e-05,0.127574709616995,0.407228915662651
"ENSG00000049239","H6PD","protein_coding",3,3,0.0011070110701107,1.49040218094725,4.06027245779682e-07,0.0137712690754608,0.333045941618426
"ENSG00000049540","ELN","protein_coding",1,1,0.0003690036900369,0,0,0.0090028776242498,0.324531925108017
"ENSG00000050030","NEXMIF","protein_coding",7,7,0.0025830258302583,50.8805076978478,1.38612736001896e-05,0.0159651887170446,0.342582034714304
"ENSG00000050438","SLC4A8","protein_coding",2,2,0.000738007380073801,0.53064551873835,1.44562683289772e-07,0.0193198029200435,0.347111681643132
"ENSG00000050555","LAMC3","protein_coding",3,3,0.0011070110701107,1.72611837873254,4.70242931851472e-07,0.0283243439881122,0.359574468085106
"ENSG00000050748","MAPK9","protein_coding",46,85,0.0313653136531365,1901.10718238563,0.000517914777006979,0.444751048590884,0.42811906269791
"ENSG00000051382","PIK3CB","protein_coding",21,31,0.0114391143911439,1181.45683115473,0.000321861890229162,0.0662271856664018,0.381866967942381
"ENSG00000052802","MSMO1","protein_coding",4,4,0.0014760147601476,5.0285713075733,1.36992349066684e-06,0.0315205352183877,0.350986500519211
"ENSG00000053770","AP5M1","protein_coding",37,38,0.0140221402214022,331.330809959156,9.0263781098445e-05,0.244154414527303,0.421249415796853
"ENSG00000054277","OPN3","protein_coding",7,7,0.0025830258302583,7.32944895323599,1.99674692482922e-06,0.0557662059863738,0.365010799136069
"ENSG00000054611","TBC1D22A","protein_coding",7,7,0.0025830258302583,10.7362788362784,2.92486268575253e-06,0.0475845309219236,0.351991668836241
"ENSG00000055070","SZRD1","protein_coding",34,138,0.0509225092250922,46809.2562278904,0.0127521508128271,0.247815298231207,0.440247476392055
"ENSG00000055130","CUL1","protein_coding",2,2,0.000738007380073801,0,0,0.00829382502226181,0.321407345774397
