Node.1	Node.2	wTO
ENSG00000102471	ENSG00000014824	0.53
ENSG00000102471	ENSG00000186106	0.54
ENSG00000102471	ENSG00000174132	0.52
ENSG00000102471	ENSG00000151292	0.51
ENSG00000102471	ENSG00000144635	0.55
ENSG00000102471	ENSG00000163376	0.54
ENSG00000102471	ENSG00000145864	0.54
ENSG00000102471	ENSG00000164933	0.53
ENSG00000102471	ENSG00000152382	0.52
ENSG00000102471	ENSG00000287319	0.54
ENSG00000102471	ENSG00000104643	0.55
ENSG00000102471	ENSG00000183308	0.54
ENSG00000102471	ENSG00000008869	0.52
ENSG00000102471	ENSG00000198380	0.53
ENSG00000102471	ENSG00000152749	0.54
ENSG00000102471	ENSG00000118432	0.52
ENSG00000102471	ENSG00000117713	-0.52
ENSG00000102471	ENSG00000132294	0.53
ENSG00000102471	ENSG00000137494	0.53
ENSG00000102471	ENSG00000106524	0.53
ENSG00000102471	ENSG00000188674	0.52
ENSG00000102471	ENSG00000068724	-0.51
ENSG00000102471	ENSG00000168116	0.53
ENSG00000102471	ENSG00000235079	0.52
ENSG00000102471	ENSG00000109436	0.52
ENSG00000102471	ENSG00000180488	0.52
ENSG00000102471	ENSG00000178074	0.54
ENSG00000102471	ENSG00000119396	0.54
ENSG00000102471	ENSG00000106591	0.53
ENSG00000102471	ENSG00000116095	0.51
ENSG00000102471	ENSG00000144895	0.52
ENSG00000102471	ENSG00000119231	0.51
ENSG00000102471	ENSG00000078246	-0.52
ENSG00000102471	ENSG00000186815	-0.53
ENSG00000102471	ENSG00000009830	-0.52
ENSG00000102471	ENSG00000089775	0.53
ENSG00000102471	ENSG00000139496	0.52
ENSG00000102471	ENSG00000152219	0.53
ENSG00000102471	ENSG00000260448	-0.52
ENSG00000102471	ENSG00000198496	-0.52
ENSG00000102471	ENSG00000076067	-0.52
ENSG00000102471	ENSG00000132640	0.53
ENSG00000102471	ENSG00000132664	0.53
ENSG00000102471	ENSG00000173821	-0.52
ENSG00000102471	ENSG00000056487	-0.51
ENSG00000102471	ENSG00000101004	-0.53
ENSG00000102471	ENSG00000109063	-0.52
ENSG00000074964	ENSG00000178662	-0.52
ENSG00000074964	ENSG00000164031	-0.52
ENSG00000074964	ENSG00000083720	-0.52
ENSG00000074964	ENSG00000196776	-0.53
ENSG00000074964	ENSG00000163412	-0.51
ENSG00000074964	ENSG00000165832	-0.52
ENSG00000074964	ENSG00000075790	-0.52
ENSG00000178662	ENSG00000087470	0.55
ENSG00000178662	ENSG00000186106	0.56
ENSG00000178662	ENSG00000164031	0.56
ENSG00000178662	ENSG00000083720	0.56
ENSG00000178662	ENSG00000151292	0.53
ENSG00000178662	ENSG00000113161	0.56
ENSG00000178662	ENSG00000106299	0.56
ENSG00000178662	ENSG00000163412	0.56
ENSG00000178662	ENSG00000165832	0.56
ENSG00000178662	ENSG00000123119	0.56
ENSG00000178662	ENSG00000129691	0.52
ENSG00000178662	ENSG00000224675	0.53
ENSG00000178662	ENSG00000117713	-0.54
ENSG00000178662	ENSG00000124357	-0.52
ENSG00000178662	ENSG00000163001	0.56
ENSG00000178662	ENSG00000163281	0.55
ENSG00000178662	ENSG00000163820	-0.53
ENSG00000178662	ENSG00000015285	-0.52
ENSG00000178662	ENSG00000174428	-0.55
ENSG00000178662	ENSG00000151208	-0.53
ENSG00000178662	ENSG00000166006	0.56
ENSG00000178662	ENSG00000161791	-0.55
ENSG00000178662	ENSG00000115944	0.54
ENSG00000178662	ENSG00000124532	0.55
ENSG00000178662	ENSG00000257923	-0.52
ENSG00000178662	ENSG00000152932	0.57
ENSG00000178662	ENSG00000137494	0.56
ENSG00000178662	ENSG00000189058	-0.51
ENSG00000178662	ENSG00000148688	0.55
ENSG00000178662	ENSG00000235079	0.53
ENSG00000178662	ENSG00000100442	0.54
ENSG00000178662	ENSG00000008086	0.55
ENSG00000178662	ENSG00000144895	0.53
ENSG00000178662	ENSG00000102468	0.55
ENSG00000178662	ENSG00000034533	0.53
ENSG00000178662	ENSG00000143379	-0.52
ENSG00000178662	ENSG00000287364	0.53
ENSG00000178662	ENSG00000128607	0.53
ENSG00000178662	ENSG00000089775	0.55
ENSG00000178662	ENSG00000049130	0.54
ENSG00000178662	ENSG00000114735	-0.55
ENSG00000178662	ENSG00000283058	0.54
ENSG00000178662	ENSG00000110900	-0.52
ENSG00000178662	ENSG00000186583	-0.51
ENSG00000178662	ENSG00000213062	0.55
ENSG00000178662	ENSG00000229743	-0.53
ENSG00000178662	ENSG00000198496	-0.55
ENSG00000178662	ENSG00000149483	-0.54
ENSG00000178662	ENSG00000285458	-0.53
ENSG00000178662	ENSG00000111707	0.56
ENSG00000178662	ENSG00000168994	-0.52
ENSG00000178662	ENSG00000265354	0.54
ENSG00000178662	ENSG00000264522	-0.53
ENSG00000178662	ENSG00000133114	0.53
ENSG00000178662	ENSG00000147036	0.54
ENSG00000178662	ENSG00000168795	-0.52
ENSG00000178662	ENSG00000196436	-0.54
ENSG00000178662	ENSG00000268056	-0.53
ENSG00000178662	ENSG00000235865	-0.53
ENSG00000178662	ENSG00000167107	-0.53
ENSG00000178662	ENSG00000196172	0.54
