Node.1	Node.2	weight
ENSG00000085365	ENSG00000138138	0.56
ENSG00000085365	ENSG00000165832	0.56
ENSG00000085365	ENSG00000173692	0.53
ENSG00000085365	ENSG00000222009	-0.53
ENSG00000085365	ENSG00000072756	0.54
ENSG00000085365	ENSG00000107372	0.51
ENSG00000085365	ENSG00000145354	0.54
ENSG00000085365	ENSG00000163512	0.54
ENSG00000085365	ENSG00000060982	0.53
ENSG00000085365	ENSG00000183605	-0.52
ENSG00000085365	ENSG00000136206	-0.52
ENSG00000085365	ENSG00000091664	0.53
ENSG00000085365	ENSG00000196436	-0.52
ENSG00000085365	ENSG00000176920	-0.52
ENSG00000085365	ENSG00000225190	-0.53
ENSG00000085365	ENSG00000198168	0.54
ENSG00000085365	ENSG00000238194	-0.51
ENSG00000087470	ENSG00000165832	0.55
ENSG00000087470	ENSG00000114268	-0.52
ENSG00000087470	ENSG00000173692	0.55
ENSG00000087470	ENSG00000205085	-0.52
ENSG00000087470	ENSG00000238198	-0.54
ENSG00000087470	ENSG00000132906	-0.54
ENSG00000087470	ENSG00000256591	-0.54
ENSG00000087470	ENSG00000272047	0.52
ENSG00000087470	ENSG00000151470	0.52
ENSG00000087470	ENSG00000183605	-0.52
ENSG00000087470	ENSG00000058453	-0.53
ENSG00000087470	ENSG00000160293	-0.51
ENSG00000087470	ENSG00000167693	-0.53
ENSG00000087470	ENSG00000260425	-0.53
ENSG00000087470	ENSG00000087157	-0.51
ENSG00000087470	ENSG00000073169	-0.52
ENSG00000087470	ENSG00000204514	-0.53
ENSG00000087470	ENSG00000167604	-0.52
ENSG00000087470	ENSG00000212694	-0.52
ENSG00000087470	ENSG00000196826	-0.52
ENSG00000138138	ENSG00000165832	0.56
ENSG00000138138	ENSG00000173692	0.54
ENSG00000138138	ENSG00000107372	0.53
ENSG00000138138	ENSG00000124767	0.53
ENSG00000138138	ENSG00000060982	0.54
ENSG00000138138	ENSG00000283411	-0.54
ENSG00000138138	ENSG00000111711	0.55
ENSG00000165832	ENSG00000151208	-0.52
ENSG00000165832	ENSG00000128699	0.53
ENSG00000165832	ENSG00000257923	-0.52
ENSG00000165832	ENSG00000185745	0.52
ENSG00000165832	ENSG00000100442	0.52
ENSG00000165832	ENSG00000163512	0.53
ENSG00000165832	ENSG00000117385	-0.51
ENSG00000165832	ENSG00000187522	0.53
ENSG00000165832	ENSG00000196436	-0.52
ENSG00000165832	ENSG00000167693	-0.52
ENSG00000165832	ENSG00000196867	0.51
ENSG00000165832	ENSG00000178935	-0.53
