Node.1	Node.2	wTO
ENSG00000072041	ENSG00000175395	0.55
ENSG00000072041	ENSG00000108094	0.52
ENSG00000072041	ENSG00000249568	0.51
ENSG00000072041	ENSG00000085514	-0.52
ENSG00000072041	ENSG00000109158	0.53
ENSG00000072041	ENSG00000142875	0.53
ENSG00000072041	ENSG00000105819	0.53
ENSG00000072041	ENSG00000129128	0.53
ENSG00000072041	ENSG00000164038	0.54
ENSG00000072041	ENSG00000280987	0.51
ENSG00000072041	ENSG00000198836	0.55
ENSG00000072041	ENSG00000205060	0.54
ENSG00000072041	ENSG00000113643	0.51
ENSG00000072041	ENSG00000163818	0.53
ENSG00000072041	ENSG00000196305	0.52
ENSG00000072041	ENSG00000091073	-0.52
ENSG00000072041	ENSG00000104388	0.53
ENSG00000072041	ENSG00000015479	0.51
ENSG00000072041	ENSG00000186106	0.53
ENSG00000072041	ENSG00000250910	0.52
ENSG00000072041	ENSG00000115415	0.55
ENSG00000072041	ENSG00000136531	0.54
ENSG00000072041	ENSG00000110429	0.54
ENSG00000072041	ENSG00000111790	0.52
ENSG00000072041	ENSG00000119844	0.53
ENSG00000072041	ENSG00000236051	0.54
ENSG00000072041	ENSG00000287451	0.53
ENSG00000072041	ENSG00000165832	0.54
ENSG00000072041	ENSG00000009844	0.53
ENSG00000072041	ENSG00000196290	0.52
ENSG00000072041	ENSG00000143155	0.53
ENSG00000072041	ENSG00000283208	0.54
ENSG00000072041	ENSG00000001630	0.52
ENSG00000072041	ENSG00000273432	-0.52
ENSG00000072041	ENSG00000106299	0.52
ENSG00000072041	ENSG00000143106	0.51
ENSG00000072041	ENSG00000135002	0.52
ENSG00000072041	ENSG00000164951	0.53
ENSG00000072041	ENSG00000163138	0.55
ENSG00000072041	ENSG00000106399	0.52
ENSG00000072041	ENSG00000113595	0.52
ENSG00000072041	ENSG00000233912	0.53
ENSG00000072041	ENSG00000259678	0.55
ENSG00000072041	ENSG00000168958	0.53
ENSG00000072041	ENSG00000168288	0.52
ENSG00000072041	ENSG00000165028	0.52
ENSG00000072041	ENSG00000198791	0.53
ENSG00000072041	ENSG00000113387	0.51
ENSG00000072041	ENSG00000119801	0.51
ENSG00000072041	ENSG00000163781	0.52
ENSG00000072041	ENSG00000189195	0.52
ENSG00000072041	ENSG00000156136	0.51
ENSG00000072041	ENSG00000127995	0.54
ENSG00000072041	ENSG00000067992	0.53
ENSG00000072041	ENSG00000139977	0.53
ENSG00000072041	ENSG00000164114	0.52
ENSG00000072041	ENSG00000136813	0.54
ENSG00000072041	ENSG00000106105	0.53
ENSG00000072041	ENSG00000068366	0.53
ENSG00000072041	ENSG00000151470	0.5
ENSG00000072041	ENSG00000120265	0.52
ENSG00000072041	ENSG00000155755	0.53
ENSG00000072041	ENSG00000079950	0.5
ENSG00000072041	ENSG00000163577	0.51
ENSG00000072041	ENSG00000231999	0.53
ENSG00000072041	ENSG00000123570	0.54
ENSG00000072041	ENSG00000119965	0.53
ENSG00000072041	ENSG00000175087	0.52
ENSG00000072041	ENSG00000135018	0.53
ENSG00000072041	ENSG00000148481	0.53
ENSG00000072041	ENSG00000141367	0.53
ENSG00000072041	ENSG00000139278	0.51
ENSG00000072041	ENSG00000112996	0.54
ENSG00000072041	ENSG00000013392	0.53
ENSG00000072041	ENSG00000165516	0.53
ENSG00000072041	ENSG00000007168	0.53
ENSG00000072041	ENSG00000163541	0.52
ENSG00000072041	ENSG00000163328	0.52
ENSG00000072041	ENSG00000254317	0.53
ENSG00000072041	ENSG00000114378	-0.52
ENSG00000072041	ENSG00000151553	0.53
ENSG00000072041	ENSG00000275854	0.53
ENSG00000072041	ENSG00000170632	0.52
ENSG00000072041	ENSG00000125249	0.52
ENSG00000072041	ENSG00000151835	0.53
ENSG00000072041	ENSG00000286165	0.52
ENSG00000072041	ENSG00000260281	0.53
ENSG00000072041	ENSG00000108395	0.52
ENSG00000072041	ENSG00000141378	0.54
ENSG00000072041	ENSG00000100934	0.54
ENSG00000072041	ENSG00000146676	0.52
ENSG00000072041	ENSG00000105556	-0.52
ENSG00000072041	ENSG00000213424	0.52
ENSG00000072041	ENSG00000186654	-0.5
ENSG00000072041	ENSG00000132664	0.51
ENSG00000072041	ENSG00000108590	0.51
ENSG00000175395	ENSG00000196950	0.54
ENSG00000175395	ENSG00000109158	0.54
ENSG00000175395	ENSG00000079785	0.56
ENSG00000175395	ENSG00000002822	-0.53
ENSG00000175395	ENSG00000107758	0.54
ENSG00000175395	ENSG00000254433	0.54
ENSG00000175395	ENSG00000129128	0.54
ENSG00000175395	ENSG00000152382	0.54
ENSG00000175395	ENSG00000163818	0.54
ENSG00000175395	ENSG00000288558	0.55
ENSG00000175395	ENSG00000100478	0.54
ENSG00000175395	ENSG00000240553	0.53
ENSG00000175395	ENSG00000172209	0.54
ENSG00000175395	ENSG00000118276	0.54
ENSG00000175395	ENSG00000164112	0.53
ENSG00000175395	ENSG00000163655	0.54
ENSG00000175395	ENSG00000136531	0.55
ENSG00000175395	ENSG00000114686	0.55
ENSG00000175395	ENSG00000122873	0.55
ENSG00000175395	ENSG00000163444	0.52
ENSG00000175395	ENSG00000110429	0.55
ENSG00000175395	ENSG00000111790	0.54
ENSG00000175395	ENSG00000146067	-0.54
ENSG00000175395	ENSG00000287451	0.55
ENSG00000175395	ENSG00000114784	0.52
ENSG00000175395	ENSG00000165832	0.55
ENSG00000175395	ENSG00000163001	0.52
