ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000288473	9.60924541262765e-07		lncRNA	No_kegg	AD_cluster2
ENSG00000248138	2.46526093248376e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000226239	2.99824683806752e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000272849	2.99824683806752e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000227407	3.33860727910928e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000273419	3.52133315991842e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000260236	3.97605524086124e-06	PTPN23-DT	lncRNA	No_kegg	AD_cluster2
ENSG00000250646	4.30770352191338e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000273599	4.42591986526014e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000245311	4.45333068931821e-06	BMAL2-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000267106	4.46703721350125e-06	ZNF561-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000234084	5.12722676019142e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000249421	5.12722676019142e-06	ADAMTS19-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000257550	5.25934568266587e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000287249	5.25934568266587e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000256973	5.90849937672357e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000287844	6.49172274345721e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000257096	6.55616795051486e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000240731	6.82032756899806e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000177133	7.31643310206641e-06	PRDM16-DT	lncRNA	No_kegg	AD_cluster2
ENSG00000251143	7.31643310206641e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000285539	7.31643310206641e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000231102	7.57211773955322e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000250846	7.57211773955322e-06	EPHA5-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000255693	7.57211773955322e-06	LINC02389	lncRNA	No_kegg	AD_cluster2
ENSG00000236819	8.02909501866975e-06	LINC01563	lncRNA	No_kegg	AD_cluster2
ENSG00000247675	8.58834259595194e-06	LRP4-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000203993	9.10859835373502e-06	ARRDC1-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000240499	9.23624788235693e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000258603	9.23624788235693e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000279159	9.23624788235693e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000258185	1.02095395347147e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000238230	1.02809087238702e-05	LINC00391	lncRNA	No_kegg	AD_cluster2
ENSG00000283155	1.06471396951258e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000287533	1.07541986167222e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000236283	1.14034160810826e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000285314	1.14250851646947e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000227432	1.20436367533251e-05	ASIC4-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000197291	1.2245904493128e-05	RAMP2-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000257522	1.28169895413285e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000287900	1.4037965434468e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000223799	1.42162037434486e-05	IL10RB-DT	lncRNA	No_kegg	AD_cluster2
ENSG00000254251	1.42585608956904e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000242798	1.43505138350165e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000286159	1.45832493414445e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000256013	1.50845325712533e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000223732	1.57731782424128e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000242973	1.6146017806476e-05	TDRD6-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000267395	1.65526809844233e-05	DM1-AS	lncRNA	No_kegg	AD_cluster2
ENSG00000227678	1.68041164008033e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000271147	1.69333548858318e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000247572	1.75456680188988e-05	CKMT2-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000257191	1.76580265343546e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000249436	1.76828796189642e-05	LNCBRM	lncRNA	No_kegg	AD_cluster2
