hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
DPM1	protein_coding	ENSG00000000419	No_kegg	NA	NA	ctrl_cluster2
FGR	protein_coding	ENSG00000000938	No_kegg	NA	NA	ctrl_cluster2
SEMA3F	protein_coding	ENSG00000001617	No_kegg	Neurogenesis	axon guidance,cell-cell adhesion via plasma-membrane adhesion molecules,neuron projection guidance	ctrl_cluster2
CD99	protein_coding	ENSG00000002586	No_kegg	NA	NA	ctrl_cluster2
TMEM176A	protein_coding	ENSG00000002933	No_kegg	NA	NA	ctrl_cluster2
ALS2	protein_coding	ENSG00000003393	No_kegg	NA	NA	ctrl_cluster2
MTMR7	protein_coding	ENSG00000003987	No_kegg	NA	NA	ctrl_cluster2
PLXND1	protein_coding	ENSG00000004399	No_kegg	Neurogenesis	axon guidance,cell-cell adhesion via plasma-membrane adhesion molecules,neuron projection guidance	ctrl_cluster2
DVL2	protein_coding	ENSG00000004975	kegg	NA	NA	ctrl_cluster2
SKAP2	protein_coding	ENSG00000005020	No_kegg	NA	NA	ctrl_cluster2
REXO5	protein_coding	ENSG00000005189	No_kegg	NA	NA	ctrl_cluster2
COPZ2	protein_coding	ENSG00000005243	No_kegg	NA	NA	ctrl_cluster2
CROT	protein_coding	ENSG00000005469	No_kegg	NA	NA	ctrl_cluster2
AGK	protein_coding	ENSG00000006530	No_kegg	NA	NA	ctrl_cluster2
DBF4	protein_coding	ENSG00000006634	No_kegg	NA	NA	ctrl_cluster2
RHBDF1	protein_coding	ENSG00000007384	No_kegg	NA	NA	ctrl_cluster2
CDK11A	protein_coding	ENSG00000008128	No_kegg	NA	NA	ctrl_cluster2
RANBP9	protein_coding	ENSG00000010017	No_kegg	NA	NA	ctrl_cluster2
HHATL	protein_coding	ENSG00000010282	No_kegg	NA	NA	ctrl_cluster2
LRRC23	protein_coding	ENSG00000010626	No_kegg	NA	NA	ctrl_cluster2
HIVEP2	protein_coding	ENSG00000010818	No_kegg	NA	NA	ctrl_cluster2
ELOA	protein_coding	ENSG00000011007	No_kegg	NA	NA	ctrl_cluster2
PTBP1	protein_coding	ENSG00000011304	No_kegg	NA	NA	ctrl_cluster2
MAP4K3	protein_coding	ENSG00000011566	No_kegg	NA	NA	ctrl_cluster2
TACC3	protein_coding	ENSG00000013810	No_kegg	NA	NA	ctrl_cluster2
YAF2	protein_coding	ENSG00000015153	No_kegg	NA	NA	ctrl_cluster2
RGPD5	protein_coding	ENSG00000015568	No_kegg	NA	NA	ctrl_cluster2
CNTN1	protein_coding	ENSG00000018236	No_kegg	Neurogenesis	axon guidance,cell-cell adhesion via plasma-membrane adhesion molecules,neuron projection guidance	ctrl_cluster2
PLEKHB1	protein_coding	ENSG00000021300	No_kegg	NA	NA	ctrl_cluster2
