"BM_22_135"	"BM_22_172"	"hB_RNA_9191"	"BM_22_167"	"hB_RNA_9186"	"BM_22_72"	"BM_22_2"	"BM_22_6"	"hB_RNA_9211"	"BM_22_134"	"BM_22_123"	"hB_RNA_9152"	"BM_22_63"	"hB_RNA_9210"	"hB_RNA_9223"	"hB_RNA_9160"	"BM_22_163"	"BM_22_211"	"hB_RNA_9205"	"hB_RNA_9171"	"BM_22_64"	"hB_RNA_9218"	"BM_22_160"	"BM_22_18"	"hB_RNA_9179"	"hB_RNA_9224"	"hB_RNA_9222"	"BM_22_41"	"BM_22_37"	"hB_RNA_9177"	"hB_RNA_9148"	"BM_22_92"
"ENSG00000063245"	628.99208302195	797.502753435381	1454.87880577344	779.493153907006	1363.14780857104	598.465729919381	818.140203254556	793.73754325713	955.633810957032	887.715117449289	559.953834180392	1564.72781079677	551.196965372959	952.452337867563	1515.29412054159	1473.16551368349	766.438574919742	1036.3425212662	1124.43944137285	1624.33821720257	839.731369307079	991.058850894889	657.553461178831	825.794770901176	1497.92650065913	1748.78623722157	743.066208855314	826.356971081582	871.882487627594	1542.35587993515	1477.89730288099	516.762057208938
"ENSG00000227110"	4303.53744075997	6474.01688420629	4310.18736021802	4252.87344103008	3379.33852078309	1840.36860298908	3300.27922427603	2209.90236863676	4218.31543290077	6353.47482568923	3622.44107111904	3832.11734927569	7535.07806853424	2477.88790756339	2239.82278207829	3832.03790062454	5505.37914570497	3266.37799896468	2298.70772086675	3638.1553006117	3209.40641724582	5242.6644788975	4627.73295666224	3387.42496269888	3247.52891134803	2862.79974046973	8180.79390319789	9044.27160062217	2361.83603401804	2565.86405255965	2519.89576603783	7266.24285737375
"ENSG00000149313"	1357.39130643758	467.067226191803	668.634421216237	803.530387727927	749.202942850284	2187.16738578918	1773.9783204995	1365.5875101875	905.535052846572	1087.24741449064	1708.62625429702	548.754074161161	1061.33642866972	966.0587998371	735.737965723623	861.606005958033	1112.82671804709	1020.06489004213	958.970092140728	515.279533585945	1301.2199274152	569.828137317508	1485.10854890634	1355.34029663601	896.5322578169	1019.17693940751	568.781266049314	1059.19788558523	1098.63045001396	895.822994653528	820.198346830773	730.413172511208
"ENSG00000181090"	1963.51095007691	2771.39474462356	3234.27399187659	2801.19621277375	3068.6676248762	1144.17653277939	1381.44985139704	1583.39627077296	2325.83484527812	2434.09041951978	1653.01440090239	3508.72805348455	2115.4877944761	2240.53073765036	2131.80585082246	4044.92889510368	2198.46854384873	1914.24943195139	2294.00688708174	3408.69488331171	1999.51434809019	2696.85902920096	1238.9269481967	2632.91516641586	2316.63126822586	2279.87099472921	3287.86189401591	2654.08205813311	2801.43450303161	3275.22615239842	3035.11895292026	2610.12199975187
"ENSG00000188163"	82.6926654602283	32.9466508102101	58.8049816704834	31.763487549074	109.897187667743	126.265890994551	122.497494913524	104.4176829773	90.1777645988287	85.5138415891517	103.553106321031	44.8897322769564	72.8770661852515	92.2215755713037	75.4080463484046	62.2605738571073	50.8620564592049	84.6436823651977	66.7518397470507	48.3074562736823	46.876245832349	55.263504696741	96.227335782268	53.6951756863993	78.8382368767962	73.3402760367687	43.5712357015002	53.2642614877631	39.4980321576259	89.1769496940164	66.2319791807009	105.246854828704
"ENSG00000185483"	1265.02183970009	2092.11232644834	1818.5985072168	1599.3345217277	1620.9835180992	1013.58646743571	873.577025770166	774.159227698886	984.440596870547	1988.19681694778	1719.17332994083	907.871932376812	1093.15599277877	781.615648694492	644.025476921509	1519.35884267425	1599.5239824412	1476.92373973121	852.731248599648	1015.46298708636	1355.37007346292	1401.23686353292	1087.36889433963	981.325624613505	1136.07920832717	724.551347742559	2468.25162244174	1740.9804326286	1177.62651432922	823.87341024131	663.860070392607	2018.63467561455
"ENSG00000115825"	1446.24193634697	1417.67500398051	1119.47261402328	1473.13904416787	966.88391073062	1425.24786547275	1624.65655662681	1422.69093056571	995.7128174454	1362.11333388434	1245.51375102796	1209.27442052209	1506.81032619647	1147.47829276425	1120.9304186925	1180.94249767674	1303.12096376514	1581.1005795653	1234.43895194194	1015.46298708636	1447.50614285753	1081.93661417397	1852.37621380866	1444.21507018591	1081.49889048938	1095.04619048003	1217.63939771219	1151.26896615694	1428.51216303414	1159.30034602221	1155.20893919827	1354.52702164542
"ENSG00000167608"	32.5492406598771	70.7383973278041	104.542189636415	35.1973780949199	83.4795944783815	18.1615322663396	37.5539765428321	37.5251048199671	93.9351714571132	57.0092277261011	24.9294515217298	97.1084004358649	40.0310645242931	116.410841294924	101.902765335682	64.2689794654011	35.077280316693	39.0663149377836	52.64933839204	112.717397971925	21.8217006460935	147.369345857976	24.056833945567	40.7342712103719	90.9671963963033	56.9019383043895	137.779312893933	36.5240650201804	37.3036970377578	43.5751004186671	67.0021184734998	59.9907072523615
"ENSG00000104299"	650.105103990519	908.939954705209	653.388685227593	693.64589026086	561.109679342032	447.119627699884	405.046461283403	484.563310066532	566.115966648203	571.110299184692	510.094931136932	658.688112390442	733.90284961204	536.699333242833	566.579375266391	657.752836716214	676.114578104258	580.568846992061	558.459053658424	578.683069945153	592.418761984686	611.582785310601	457.079844965773	722.107535092957	530.641978978436	536.142707579136	734.823002100976	747.221496871191	625.38550916241	678.960866988534	634.594777266251	860.919272498801
"ENSG00000275805"	58.0608076635646	74.6144738937112	56.6270193863914	52.3668308241491	48.6083714684246	47.5659178404132	44.707114931943	61.9979992677717	32.5641927717993	61.0813154208226	47.9412529264034	67.7926569080566	31.8195641090535	37.7957276931573	34.6469402141318	31.1302869285536	72.785356657138	120.454471058166	41.3673373080314	56.3586989859627	58.1912017229159	46.6669595216924	56.1326125396563	57.3982912509786	35.3761319318957	51.8439882328882	30.6176250875407	47.176917317733	57.7841581565268	50.6687214170548	43.8979396895343	24.206776610602
