"hB_RNA_4697"	"hB_RNA_4442"	"hB_RNA_4746"	"hB_RNA_16015"	"hB_RNA_4663"	"hB_RNA_16605"	"hB_RNA_4581"	"hB_RNA_16945"	"hB_RNA_16025"	"hB_RNA_4674"	"hB_RNA_16395"	"hB_RNA_16935"	"hB_RNA_16225"	"hB_RNA_16845"	"hB_RNA_16385"	"hB_RNA_4701"	"hB_RNA_16775"	"hB_RNA_4831"	"hB_RNA_4498"	"hB_RNA_17105"	"hB_RNA_4688"	"hB_RNA_16435"	"hB_RNA_16345"	"hB_RNA_4591"	"hB_RNA_16485"	"hB_RNA_17145"	"hB_RNA_9227"	"hB_RNA_16065"	"hB_RNA_16535"	"hB_RNA_16315"	"hB_RNA_16115"	"hB_RNA_16295"	"hB_RNA_4389"	"hB_RNA_17045"
"ENSG00000227517"	74.6742627317824	45.0490619621656	84.6502596777545	107.587981610267	115.561791371053	41.708217540906	58.9485799058994	46.2919622093834	61.1679965832552	80.0583648131929	51.4975256079051	58.6440908115945	50.5865802380007	38.6334237388818	49.0183711304014	96.138306081448	98.3161287570561	90.9138072270729	87.1716077178508	91.5553271794401	99.042650298869	96.5812480418207	42.4472127618663	31.5082389299102	59.8395208390837	73.9039699691668	56.5526847030802	40.3479072683724	72.3037422470352	47.059196187278	48.7548685440108	71.9041029195865	115.272333725202	92.0953449974547
"ENSG00000153714"	212.82164878558	118.128651367457	207.496368234496	117.713909291234	264.741558413686	104.270543852265	134.580720162525	273.30062304386	158.801529591143	272.558253240421	147.135787451157	220.977733492965	240.836110263525	184.581913419102	218.540237956373	162.233391512443	252.812902518144	208.221945584586	193.101662666125	128.695695752232	211.00390715846	256.81831865666	217.041408650298	125.01656091545	230.049713448033	138.123971459615	121.641623700965	240.070048246816	192.809979325427	185.233006269073	167.011358203952	202.059630989218	194.459415153819	201.614133643077
"ENSG00000248896"	107.344252676937	103.112297380068	118.716827596851	115.182427370992	142.876396604211	72.9893806965856	90.0912258939216	73.8890935265158	75.2836881024679	127.733570825544	108.512643245229	83.2916072396559	114.369659668523	104.095613963098	80.6760691521189	84.121017821267	81.1498205613796	96.7792141449486	103.723178803519	89.8278681760545	113.037807406318	121.458236173805	97.7086784329753	106.721454440018	99.4000929493667	113.149526435552	91.764733669149	76.6610238099076	98.596012155048	92.1158733878633	75.7256468875062	100.119636976639	108.255756889755	79.6500281059068
"ENSG00000283117"	102.677111256201	224.244219545002	166.203558635591	258.211155864641	115.561791371053	204.37026595044	193.529300068424	230.569581004429	329.366135448297	152.920472115088	140.698596750169	164.033471400547	229.83902760309	235.019994411531	389.083320847561	578.031565314706	488.459496840612	233.638708895381	137.929759047232	208.158809907972	131.339166700674	151.456957156492	224.249425911747	125.01656091545	203.786812635324	180.937305786581	185.663530911999	449.879166042352	301.26559269598	382.481126458302	340.24674217948	159.281240644654	197.466519511868	189.168816751529
"ENSG00000168495"	389.239594489416	352.383773570718	400.540253109375	450.603781803002	416.022448935792	433.765462425423	385.946362780134	470.931692476227	482.286126906435	441.67030475593	346.68869918179	436.855980828399	477.273387462876	516.185467177837	587.1992374996	526.357225795927	393.264515028224	495.626884560494	424.823657865475	523.420078025856	479.064993293443	430.225559459019	464.516667960047	329.311916557771	521.933598429785	494.39207496615	478.030240509055	537.635864351062	491.884549529073	462.581885926009	499.99673698326	425.963546409702	513.212477106987	450.520471474035
"ENSG00000204642"	208.154507364844	295.321628418641	143.492513356194	160.74910193534	213.26403316658	172.046397356237	303.640798383217	269.739702873907	178.798759243361	143.925150225965	222.542878519876	120.687839061542	239.736401997481	260.775610237452	182.797675673788	223.521561639366	157.617920705757	82.1156968502594	187.584472304236	130.423154755618	108.731605219411	114.141474958515	286.718908844305	158.557589453742	192.816233814825	189.601909162276	161.121799814436	160.38293139178	129.27032704773	134.16877210841	159.74999480378	185.676417665768	167.39547593138	160.544587900968
"ENSG00000141664"	1022.10397114127	1041.13387645894	1125.22906157015	1113.8520449063	1199.74150677948	1078.15742343242	1015.47270668087	993.496727416767	1259.82546808974	1172.0904421527	1041.90529488851	1172.88181623189	1042.52343620923	1178.3194240359	990.579583260194	1909.54710454276	1106.44659188496	1395.96684645441	1073.64524442366	1677.36269228748	1105.61741148846	1235.06929314086	1226.96471605999	917.804508184158	1307.16108855154	1108.5595495375	1152.39432979862	996.593309528798	1150.28680847556	970.220449052604	1261.40255637271	1095.85493563522	1355.20169736064	1182.30510469705
"ENSG00000176222"	471.381283494377	363.395766494803	372.667606630114	424.023221640465	430.730313292108	413.954059093492	365.926090359262	288.434533766158	343.48182696751	378.70305153207	353.125889882778	416.45803619828	434.38476508718	229.654241114464	289.004146456325	415.798173802262	368.295339470877	387.116856579794	515.30557980046	403.361677290552	371.409938620759	417.787065393027	373.215115981693	507.181007291135	263.958775256847	381.242548530598	446.019286903538	362.122467733642	368.091778712179	234.294721443044	407.673688038218	350.418729418238	312.73885323707	377.093101813902
"ENSG00000172260"	20577.4265240268	16662.1463844063	24347.2728597542	19487.3478220197	31491.6387103518	14697.9758614153	18087.2038949007	14898.8899910816	21928.726775097	24802.8010448783	18248.5160386298	20598.5244189827	23539.255434661	19724.509120018	20385.5150938557	31541.7764964971	22941.9906167854	36294.160439995	23822.1245445656	24409.8594473411	27229.1929783619	26862.0254496921	16696.1706499364	20343.1420058759	26147.8759559849	21625.3209780812	25077.3810545621	15070.9520624188	27005.4477292677	19237.1986456632	12682.4898472144	24619.4187325556	23160.7177656915	17937.435235788
"ENSG00000255311"	1542.02352541131	1494.62776687807	1272.85085588624	1184.73353867306	1473.9381208508	1183.47067272321	972.095449768982	683.696672630893	1076.32147833997	1373.58565246905	1594.58409650192	1126.98644081412	1057.91935193384	936.860525667884	744.466511542971	1861.47795150204	1245.33763092271	1833.91722965579	1513.91703530242	1777.55531448385	1489.94595666994	1541.64158806149	1327.87695772027	1215.60818581202	1231.36436215537	1522.42178136484	1415.95118115071	892.697448312739	1384.72621515534	924.162512358672	1603.72397380938	1159.56743189308	1439.400619386	1276.88951307282
