"BM_10_650"	"BM_10_623"	"hB_RNA_13599"	"hB_RNA_12464"	"BM_10_593"	"BM_10_811"	"hB_RNA_12545"	"hB_RNA_13655"	"BM_10_740"	"BM_10_722"	"hB_RNA_13262"	"BM_10_657"	"BM_10_639"	"BM_10_748"	"hB_RNA_13193"	"BM_10_744"	"BM_10_787"	"BM_10_588"	"BM_10_624"	"BM_10_703"	"BM_10_616"	"BM_10_621"	"BM_10_631"	"BM_10_743"	"BM_10_699"	"BM_10_566"	"BM_10_739"	"BM_10_719"	"BM_10_697"	"BM_10_671"	"hB_RNA_13444"	"hB_RNA_12638"	"BM_10_656"	"BM_10_729"	"BM_10_647"	"BM_10_584"	"BM_10_813"	"hB_RNA_12924"	"BM_10_576"	"BM_10_735"	"BM_10_666"	"hB_RNA_13081_resequenced"	"hB_RNA_13389"	"BM_10_792"	"BM_10_780"	"BM_10_659"
"ENSG00000129028"	59.7795745016049	112.564379721637	118.074864098563	47.9988840208605	117.005358363175	55.684679179426	90.1058500745451	60.1214335222693	99.8053459010852	64.4648328107932	65.3553752828493	81.6593335412135	111.459502331548	62.7757422182018	91.246225415498	73.3111187577681	154.682301497953	100.455797265454	113.293597708325	111.188334320954	105.811351239943	90.8347842684704	94.6419292501325	63.5581569042173	80.6703956694687	82.3176654883107	101.912438714276	53.8169320316093	89.3960295667318	73.0766310695657	44.8133825357124	143.188747391961	73.285112047192	99.9692367025725	59.6320158902123	94.4609457858414	71.7071886462741	106.07462192008	111.749124261924	71.4674346276764	88.8187043440453	59.5481200724966	40.0144429599654	66.7085184729353	68.4974070725624	73.922454994356
"ENSG00000240567"	116.042703444292	148.845460788941	184.640559295068	120.724465870649	145.777167796743	113.844232989049	129.230758659545	188.688806746815	148.689596954678	132.860448110049	142.910420618497	100.503795127647	159.880433672303	144.43976085604	136.389094831587	101.150784108819	132.124465862835	188.062597206257	198.263795989568	183.782370778437	147.263220797859	129.914865872347	114.35899784391	125.84515067035	132.529935742699	188.009482905401	146.900812561119	103.429416248249	155.07474516678	111.898591325273	222.407157769832	171.556329422444	124.6689262412	150.45875018872	142.454260182174	163.659080489423	183.486041536054	177.830983807192	187.179783138723	129.700159139116	182.571781151649	140.930550838242	155.158044130478	102.696008701756	143.844554852381	143.281795482887
"ENSG00000115318"	134.504042628611	199.080803805209	167.999135495942	215.267722275374	179.344278802572	143.542728551409	126.859552078636	172.964739517913	122.210627633982	131.288135114664	200.423150867405	152.55040331875	217.437389794332	158.883736941644	135.428608248265	115.070616784345	148.237205602205	214.928682521436	210.960492284466	147.025896622749	220.3494118605	197.512844862837	148.272355825207	149.997250293953	151.737172806858	211.38363483418	144.146422325598	157.246348279858	146.864905716774	116.46588076712	285.477844301575	137.785398433774	162.575018679403	135.311896142876	173.374564717839	169.150995942088	129.705650051349	134.153198310689	195.560967458367	117.788920034504	163.821165790128	271.936414997735	201.705457369621	157.116115877045	147.269425206009	138.718680977063
"ENSG00000123575"	2289.20605885558	3583.45446849376	4089.82801082337	2289.40131663135	5861.77664193219	2693.90103496912	3705.01028267044	3393.62368604933	4070.63232210855	2382.05418800858	3119.62991350134	2721.67866626924	5240.42381453903	2638.80332333149	2939.08894496236	3219.19330342655	4128.08392122663	4480.7957943056	5915.68380447691	4539.42455822738	4869.50383438253	3160.20551780539	3387.39238441099	2436.81973570769	3580.22898875928	4528.48786933225	4119.64966226089	2538.64559067857	3521.10891966923	2980.15636080573	2421.5824118372	4841.40066653575	3041.75332876333	4354.21564304538	2190.92443567002	4604.4219155145	4447.95473102918	3116.72197935763	5393.75773104221	4060.40906366132	3593.21002796299	2645.9214685546	2251.42488246173	3099.31287799914	3034.43513331451	2577.24707288964
"ENSG00000142733"	139.778710966988	160.008870348112	438.224160043659	146.905675336573	142.899986853386	103.944734468262	180.21170014909	190.538697009038	169.058034893675	114.77884866312	133.324965577013	228.825604978126	122.422732069078	122.21825918588	218.030454413874	77.9510629829433	99.8989863840949	139.002789239407	100.596901413426	53.2968875257466	154.899091505896	151.039234306875	100.16270845639	106.777703599085	74.9082245502209	180.895610579251	100.994308635769	168.177912598779	71.1519419000518	101.622190081115	301.245515934511	163.451305985163	114.560634924346	107.037768590633	242.945249923087	155.970398855692	97.0156081684885	392.060122194804	142.480133433953	68.8204926044291	149.018048399454	224.297918939737	250.702734463457	121.128625648225	159.256471443707	89.437044314159
"ENSG00000139629"	225.052515770748	267.921829420094	224.262996912035	127.997024055628	131.391263079959	183.140722634557	211.037385700908	214.587270417946	172.113300584524	213.048410874695	179.509430776893	181.265773355221	242.104656703773	153.883899065858	63.3921144991881	194.877657457358	341.590082474647	270.99703448355	434.617680863831	144.269161061073	201.805154426695	303.134687035477	305.220221831677	232.622854269435	107.560527559292	389.230442987938	140.47390201157	154.723679590877	97.6058690167378	121.033170208968	195.851079230151	102.663630205557	154.151442582024	210.036376102374	174.478861308399	463.517664204943	127.596615091164	191.350298365634	224.429491226031	138.964456220482	142.109926950472	89.322180108745	320.115543679723	304.577051448797	176.380823211848	261.010149733158
"ENSG00000250974"	436.918360695553	828.883159768416	304.300320898309	370.900467433922	527.483172948741	386.080442310687	601.100868260452	345.929479035827	285.158131145958	550.30954838482	643.096892783238	502.518975638237	348.082544166557	432.208207484611	365.945388245313	418.522969110802	154.682301497953	752.250388825028	289.09400794538	361.132358579628	578.144496465667	669.642479374537	365.948793100512	476.68617678163	558.930598567033	1001.02346303686	371.842681795333	379.241192910246	297.378628966883	359.674043545519	357.677182831334	398.496985666307	389.169215698881	275.672743634367	495.829169161209	773.26169573526	334.282041189248	332.783127592407	450.721467856428	393.07089045222	277.311732451964	379.123031128229	293.167041278114	354.608440303498	393.860090667233	439.884238361476
"ENSG00000253311"	180.217834894544	397.231323480487	118.867312850902	239.994420104302	240.724138927516	188.09047189495	136.344378402272	163.715288206795	73.3263765803891	174.526742487757	250.964641086141	142.679494868714	190.942917928636	188.327226654606	175.769044747749	225.501289343514	93.4538904883468	379.629466410146	172.870403399771	174.593252239515	305.434828321485	343.27098706108	223.197216481562	198.301449541158	173.825495430641	490.857190504371	113.848129734867	199.290826429553	127.70861366676	192.967978918072	134.440147607137	151.293770829242	192.057535020227	107.037768590633	204.294869253505	342.695524246308	119.160475250426	170.551352891108	227.223219332579	205.138006801664	97.7005747784498	220.328044268238	189.456138096163	236.113045647626	102.746110608844	218.116873378408
"ENSG00000278291"	125.712928731316	280.015523109196	201.281983094194	173.086884802497	391.296608296521	126.218606140032	232.37824492909	243.260569482413	186.371207141822	149.369734561594	144.65323062604	168.702798964265	283.216768219508	135.551160187976	184.413423997638	144.766259825466	193.352876872442	282.677941142324	358.437503094441	213.187550102986	381.793535401856	235.536708044987	222.408533737811	193.216796988821	222.803949944247	247.969263940096	203.824877428553	169.859691724767	207.982599400152	153.004196301903	292.116863936496	302.587541658484	205.535256776033	163.586023695119	181.104640851756	252.628110822599	196.140251297161	237.10797840959	342.697314403234	173.374702522696	161.847416804705	260.026790983235	158.424529270067	163.260321525868	136.994814145125	153.320647395701
"ENSG00000250354"	424.610801239341	288.388080278574	277.357063318771	639.98512027814	238.806018298612	426.915873708933	324.855301584544	350.554204691386	243.402833371014	463.046177140942	430.474071863034	337.40559792853	252.154283963175	379.987678559735	458.152100244132	470.490344432765	367.370466057639	270.99703448355	162.127044996395	430.050747621541	246.529540002341	357.001826543523	330.458069631712	373.721962596798	438.885366916038	234.75778676296	356.234470460714	438.944351882813	376.740410316941	431.608852254623	423.237501726173	345.814333323982	399.277507015735	380.690931685554	379.878027152463	274.59577263326	335.336558669341	273.506132990009	255.16050039806	464.538325079896	306.917967233312	474.400023244223	436.89238742003	403.762085494082	368.173563015023	400.641453611386
"ENSG00000248932"	3217.54768640991	2862.48426779733	2851.23061091697	3204.28913630169	2443.68568122435	4162.73912799087	3574.59392072044	3225.28367218697	3455.50549635084	3687.86013067599	2290.92375491481	3363.28771552163	2588.23582053505	3281.56025914087	3227.23491995867	3502.22990116224	4186.08978428836	2440.14140101783	2043.19143453289	3264.89381687893	2232.94676276457	2755.67386228418	3161.82911969817	3929.16525981871	3843.36813653826	2547.78256023697	3548.57275342954	3461.10144128287	2938.21031871881	3501.96917953685	3195.85807675979	3497.31761318668	3215.27899636933	2755.71764607394	3251.04916260713	2662.48061145209	2945.2673218977	2263.96521490209	2615.86075043121	3901.59254226648	2875.75227176164	3030.99931169008	3063.96306093449	3106.33482731208	3416.30817774405	3509.035054979
"ENSG00000224307"	57.1422403324164	104.191822552259	123.622005364938	49.4533956578562	50.8301966659696	64.3467403851145	106.704296140909	100.81901929119	62.1237357139408	62.892519815408	36.5990101583956	48.4571869365443	62.1249685126663	62.7757422182018	34.5775169995571	45.4714534067169	67.6735069053546	99.2877065995766	63.4834814744922	45.026680840717	81.8129004432548	78.1601632077536	62.3059367563372	72.4562988708077	82.5911193758846	114.838224693569	51.4152843963917	95.861410181304	34.6637665666919	33.112848453397	88.7968876170598	78.3485598937146	42.1178804868919	26.2545470127968	85.0308374730804	98.8544781479735	55.8894264448901	120.633883752247	92.1930275160875	47.6449564184509	34.5406072449065	67.4878694154962	142.092103572122	43.0094395417609	39.3860090667233	41.9806534535849
"ENSG00000183665"	556.477509698763	526.54081754088	481.808841422323	468.352747112639	683.810004204459	603.869409767998	543.006307028179	474.496852260372	655.863701635703	580.183495297139	580.355732511702	664.042932093384	703.473908158133	682.755638815664	566.687084159409	665.368001890123	621.951753939688	588.717695602196	722.73501986345	771.885957269434	685.046686378187	552.402234562907	564.69684452579	601.260164313896	666.491126126325	590.451403070475	664.726176839065	606.281374918598	627.596615733791	601.740383963455	448.133825357124	507.914802069598	713.476895447949	809.851796317809	573.129930500373	536.010948180123	1086.15300449503	521.013584136862	717.05688068068	618.060962428238	635.54717330628	553.797516674219	443.425357699208	651.285798775237	645.5880616589	594.117508658342
"ENSG00000173889"	4174.89998982532	3319.25377559339	5425.89660726751	4017.36114138232	3666.48758215098	4694.83717348316	4732.92833549453	4751.4431385215	4609.37750559502	4269.61593896851	4452.87956927147	3660.31232433637	3839.87121556965	4203.19704091075	3736.29280911881	4628.80835903477	4759.70331900994	3235.61114448032	3776.77881325941	4623.96444878546	3073.98337932123	3784.43060504569	4094.05212281198	4178.31323488325	4666.39824473748	3404.4960418005	4579.63283159289	3954.70361476029	4267.29210523644	4591.26771141756	4818.26850004345	4649.5817785201	3852.94370694087	5119.63666749538	4049.45559758164	3810.29094105911	4184.32536100611	4401.05686240958	3749.18311898756	5158.89000330894	4158.68911228674	4509.77762682375	4735.58683111917	4003.38885204024	4591.03870903849	4677.19236847005
"ENSG00000168772"	811.419812720313	861.443104315997	527.770869058005	942.52354077326	1102.9193616201	700.38952034567	557.233546513634	579.940597207121	828.995424117177	916.658476309572	1193.82485516671	617.38045578412	1364.9221023224	906.637268142526	834.662840905977	1128.43443556261	663.84487726205	1046.60923662613	1130.00597024596	1144.96416994966	887.942679477459	1554.75351678126	921.181444701289	579.650390966462	755.804778474665	831.306794684421	1012.69747659322	572.645792398842	1077.31337671745	1145.24782754335	419.917991908713	878.044205705423	695.787385643455	1657.06583261537	713.375597501428	1050.05423454959	736.053201104402	437.81780223876	1100.72887397995	1011.13185288046	1210.89500255715	770.155686270957	615.732448812528	875.110433125217	893.891162296938	950.040440112649
