"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_category"
"AD_cluster2_nodes","GO:0035249","synaptic transmission, glutamatergic","22/1058","101/13115",1.39e-05,0.042859742,0.04034181,"ALS2/SYT1/MEF2C/HDAC6/RAB3GAP1/PLPPR4/GRIA2/GRIA3/UNC13C/CDH8/GRIA4/GRM1/DGKI/GRIN2C/GRIK2/HCN1/GRM5/NRXN1/PLA2G6/CLN3/LRRK2/GRIN3A",22,"Synapse signaling"
"AD_cluster2_nodes","GO:0048667","cell morphogenesis involved in neuron differentiation","67/1058","495/13115",1.68e-05,0.042859742,0.04034181,"ALS2/PLXND1/NRXN3/STAU2/NOTCH3/SEMA3A/USP33/PAK3/DNM2/MEF2C/GSK3B/ARHGAP4/NRCAM/HDAC6/TRIOBP/NFATC4/BMP7/MCF2/UNC5B/RAPGEF2/CAPRIN2/UBE3A/ECE1/PLPPR4/SMO/FGF13/PLXNA3/LLGL1/DCLK1/CHL1/LRP4/ADGRB3/EPHA7/NIBAN2/ABI2/PPP3CA/PPFIA2/WDPCP/SLIT2/EPHA5/C9orf72/NOTCH1/PTPRO/ROBO3/BRAF/PLXNB1/HPRT1/ARHGEF40/MFSD2A/EMB/FEZ2/PTEN/LAMB2/RAPH1/DAG1/NRXN1/SCRIB/SEMA4B/PTCH1/ZDHHC17/LRRK2/NTNG2/PLXNB2/SZT2/ATL1/PLXNB3/GPRASP3",67,"Neurogenesis"
"AD_cluster2_nodes","GO:0036314","response to sterol","9/1058","22/13115",2.65e-05,0.045016472,0.042371837,"OSBPL7/MLC1/TGFB1/ABCA2/INSIG2/SMO/INHBB/DAG1/PTCH1",9,"To be removed"
"AD_cluster3_nodes","GO:0045333","cellular respiration","49/597","222/13115",8.72e-21,1.89e-17,1.86e-17,"MDH1/NDUFS1/OPN3/NDUFB2/DLD/FH/IDH3B/CHCHD2/NDUFC1/COX7A2/COQ10B/ATP5PB/SDHB/NDUFB3/CISD1/NDUFA1/COX6B1/NDUFA5/COX7B/PDHA1/MRPS36/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/DLAT/NDUFC2/ATP5F1A/UQCRB/COX6C/NDUFB6/ATP5F1C/GHITM/ATP5PD/PDHB/NDUFS5/UQCRFS1/CYCS/UQCRH/PDE12/BNIP3/UQCR10/NDUFA12/LYRM7/NDUFA4/ETFRF1/NDUFS3",49,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0009060","aerobic respiration","44/597","179/13115",9.87e-21,1.89e-17,1.86e-17,"MDH1/NDUFS1/NDUFB2/DLD/FH/IDH3B/CHCHD2/NDUFC1/COX7A2/ATP5PB/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/PDHA1/MRPS36/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/DLAT/NDUFC2/ATP5F1A/UQCRB/COX6C/NDUFB6/ATP5F1C/GHITM/ATP5PD/PDHB/NDUFS5/UQCRFS1/CYCS/UQCRH/PDE12/BNIP3/UQCR10/NDUFA12/NDUFA4/NDUFS3",44,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0042773","ATP synthesis coupled electron transport","31/597","93/13115",3.73e-19,3.57e-16,3.51e-16,"NDUFS1/NDUFB2/DLD/CHCHD2/NDUFC1/COX7A2/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/UQCRB/COX6C/NDUFB6/GHITM/NDUFS5/UQCRFS1/CYCS/UQCRH/UQCR10/NDUFA12/NDUFA4/NDUFS3",31,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0042775","mitochondrial ATP synthesis coupled electron transport","31/597","93/13115",3.73e-19,3.57e-16,3.51e-16,"NDUFS1/NDUFB2/DLD/CHCHD2/NDUFC1/COX7A2/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/UQCRB/COX6C/NDUFB6/GHITM/NDUFS5/UQCRFS1/CYCS/UQCRH/UQCR10/NDUFA12/NDUFA4/NDUFS3",31,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0015980","energy derivation by oxidation of organic compounds","54/597","295/13115",7.65e-19,5.84e-16,5.75e-16,"MDH1/NDUFS1/OPN3/NDUFB2/DLD/FH/IDH3B/CHCHD2/NDUFC1/COX7A2/COQ10B/ATP5PB/SDHB/NDUFB3/CISD1/NDUFA1/COX6B1/NDUFA5/COX7B/PDHA1/MRPS36/CCNB1/COX5B/ISCU/NDUFB5/GABARAPL1/NDUFA9/UQCRC2/DLAT/NDUFC2/ATP5F1A/UQCRB/COX6C/NDUFB6/ATP5F1C/GHITM/ATP5PD/PDHB/NDUFS5/UQCRFS1/UGP2/CYCS/UQCRH/PDE12/BNIP3/EPM2AIP1/UQCR10/PPP1R2/NDUFA12/LYRM7/NDUFA4/GFPT1/ETFRF1/NDUFS3",54,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0006119","oxidative phosphorylation","36/597","135/13115",2e-18,1.27e-15,1.26e-15,"NDUFS1/NDUFB2/DLD/CHCHD2/NDUFC1/COX7A2/ATP5PB/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/ATP5F1A/UQCRB/COX6C/NDUFB6/ATP5F1C/GHITM/ATP5PD/NDUFS5/UQCRFS1/CYCS/UQCRH/PDE12/UQCR10/NDUFA12/NDUFA4/NDUFS3",36,"Mitochondrial energy production"
"AD_cluster3_nodes","GO:0022904","respiratory electron transport chain","32/597","114/13115",3.12e-17,1.7e-14,1.68e-14,"NDUFS1/NDUFB2/DLD/CHCHD2/NDUFC1/COX7A2/SDHB/NDUFB3/NDUFA1/COX6B1/NDUFA5/COX7B/CCNB1/COX5B/ISCU/NDUFB5/NDUFA9/UQCRC2/NDUFC2/UQCRB/COX6C/NDUFB6/GHITM/NDUFS5/UQCRFS1/CYCS/UQCRH/UQCR10/NDUFA12/NDUFA4/ETFRF1/NDUFS3",32,"Mitochondrial energy production"
