Node.1	Node.2	weight
ENSG00000078668	ENSG00000147669	0.55
ENSG00000078668	ENSG00000070718	0.55
ENSG00000078668	ENSG00000143198	0.54
ENSG00000078668	ENSG00000156976	0.55
ENSG00000078668	ENSG00000113575	0.54
ENSG00000078668	ENSG00000169764	0.54
ENSG00000078668	ENSG00000169567	0.54
ENSG00000078668	ENSG00000254317	0.56
ENSG00000078668	ENSG00000187601	0.54
ENSG00000078668	ENSG00000138078	0.55
ENSG00000078668	ENSG00000113387	0.55
ENSG00000078668	ENSG00000147416	0.55
ENSG00000078668	ENSG00000070087	0.55
ENSG00000078668	ENSG00000181061	0.54
ENSG00000078668	ENSG00000077152	0.54
ENSG00000078668	ENSG00000162639	0.54
ENSG00000078668	ENSG00000154174	0.56
ENSG00000078668	ENSG00000023734	0.55
ENSG00000078668	ENSG00000166260	0.53
ENSG00000078668	ENSG00000108946	0.54
ENSG00000078668	ENSG00000022355	0.55
ENSG00000078668	ENSG00000131437	0.53
ENSG00000078668	ENSG00000100554	0.56
ENSG00000078668	ENSG00000112996	0.55
ENSG00000078668	ENSG00000124688	0.54
ENSG00000078668	ENSG00000135900	0.52
ENSG00000078668	ENSG00000106853	0.54
ENSG00000078668	ENSG00000129128	0.54
ENSG00000078668	ENSG00000258903	0.54
ENSG00000078668	ENSG00000136521	0.54
ENSG00000078668	ENSG00000050748	0.54
ENSG00000078668	ENSG00000065154	0.55
ENSG00000078668	ENSG00000240553	0.53
ENSG00000078668	ENSG00000174748	0.52
ENSG00000078668	ENSG00000272772	0.55
ENSG00000078668	ENSG00000108395	0.55
ENSG00000078668	ENSG00000122873	0.56
ENSG00000078668	ENSG00000164951	0.54
ENSG00000078668	ENSG00000117533	0.53
ENSG00000078668	ENSG00000172943	-0.53
ENSG00000078668	ENSG00000139278	0.54
ENSG00000078668	ENSG00000152332	0.54
ENSG00000078668	ENSG00000163319	0.53
ENSG00000078668	ENSG00000197568	-0.52
ENSG00000078668	ENSG00000166681	0.52
ENSG00000078668	ENSG00000248733	0.54
ENSG00000078668	ENSG00000123575	0.52
ENSG00000078668	ENSG00000097007	-0.55
ENSG00000078668	ENSG00000101856	0.54
ENSG00000078668	ENSG00000109270	0.55
ENSG00000078668	ENSG00000114784	0.55
ENSG00000078668	ENSG00000225434	0.54
ENSG00000078668	ENSG00000139180	0.55
ENSG00000078668	ENSG00000133134	0.53
ENSG00000078668	ENSG00000015479	0.56
ENSG00000078668	ENSG00000085788	0.54
ENSG00000078668	ENSG00000163444	0.54
ENSG00000078668	ENSG00000260037	0.54
ENSG00000078668	ENSG00000141030	0.55
ENSG00000078668	ENSG00000101911	0.54
ENSG00000078668	ENSG00000213533	-0.54
ENSG00000078668	ENSG00000120805	0.53
ENSG00000078668	ENSG00000128683	0.54
ENSG00000078668	ENSG00000104435	0.54
ENSG00000078668	ENSG00000145675	0.52
ENSG00000078668	ENSG00000285830	0.55
ENSG00000078668	ENSG00000144746	0.53
ENSG00000078668	ENSG00000165637	0.54
ENSG00000078668	ENSG00000274944	-0.53
ENSG00000078668	ENSG00000136404	0.55
ENSG00000078668	ENSG00000013561	0.54
ENSG00000078668	ENSG00000104164	0.54
ENSG00000078668	ENSG00000164346	0.52
ENSG00000078668	ENSG00000205981	0.54
ENSG00000078668	ENSG00000101843	0.54
ENSG00000078668	ENSG00000125868	0.54
ENSG00000078668	ENSG00000144827	0.55
ENSG00000078668	ENSG00000177432	0.54
ENSG00000078668	ENSG00000165678	0.54
ENSG00000078668	ENSG00000118680	0.54
ENSG00000078668	ENSG00000205060	0.54
ENSG00000078668	ENSG00000242110	0.52
ENSG00000078668	ENSG00000135940	0.53
ENSG00000078668	ENSG00000139505	0.55
ENSG00000078668	ENSG00000213424	0.55
ENSG00000078668	ENSG00000256206	0.55
ENSG00000078668	ENSG00000081154	0.53
ENSG00000078668	ENSG00000116095	0.52
ENSG00000078668	ENSG00000285329	-0.52
ENSG00000078668	ENSG00000104660	0.54
ENSG00000078668	ENSG00000132975	0.53
