Node.1	Node.2	weight
ENSG00000147650	ENSG00000120251	0.55
ENSG00000147650	ENSG00000055813	0.54
ENSG00000147650	ENSG00000271894	0.54
ENSG00000147650	ENSG00000232725	-0.52
ENSG00000147650	ENSG00000145725	0.54
ENSG00000147650	ENSG00000168890	-0.53
ENSG00000147650	ENSG00000188419	0.55
ENSG00000147650	ENSG00000076604	-0.53
ENSG00000147650	ENSG00000108465	-0.53
ENSG00000147650	ENSG00000111052	0.53
ENSG00000147650	ENSG00000116809	-0.53
ENSG00000147650	ENSG00000173327	-0.53
ENSG00000147650	ENSG00000146151	0.54
ENSG00000147650	ENSG00000064763	0.54
ENSG00000147650	ENSG00000234497	0.53
ENSG00000147650	ENSG00000198919	0.55
ENSG00000147650	ENSG00000186377	0.53
ENSG00000147650	ENSG00000138814	0.53
ENSG00000147650	ENSG00000164830	0.54
ENSG00000147650	ENSG00000143889	0.53
ENSG00000147650	ENSG00000282218	0.52
ENSG00000147650	ENSG00000151025	0.54
ENSG00000147650	ENSG00000004766	0.54
ENSG00000147650	ENSG00000047188	0.53
ENSG00000147650	ENSG00000088179	0.54
ENSG00000147650	ENSG00000248333	-0.52
ENSG00000147650	ENSG00000118454	0.52
ENSG00000147650	ENSG00000135317	0.54
ENSG00000147650	ENSG00000104723	0.55
ENSG00000147650	ENSG00000072133	0.53
ENSG00000147650	ENSG00000106443	0.55
ENSG00000147650	ENSG00000143324	0.54
ENSG00000147650	ENSG00000107643	0.55
ENSG00000147650	ENSG00000129636	0.54
ENSG00000147650	ENSG00000168438	0.54
ENSG00000147650	ENSG00000156860	-0.56
ENSG00000147650	ENSG00000228358	0.53
ENSG00000147650	ENSG00000144290	0.55
ENSG00000147650	ENSG00000177732	-0.54
ENSG00000147650	ENSG00000120896	-0.53
ENSG00000147650	ENSG00000144357	0.55
ENSG00000147650	ENSG00000082701	0.55
ENSG00000147650	ENSG00000114353	-0.52
ENSG00000147650	ENSG00000168268	-0.52
ENSG00000147650	ENSG00000154001	0.53
ENSG00000147650	ENSG00000006530	0.55
ENSG00000147650	ENSG00000058272	0.53
ENSG00000147650	ENSG00000015568	0.54
ENSG00000147650	ENSG00000135333	0.53
ENSG00000147650	ENSG00000223802	-0.55
ENSG00000147650	ENSG00000055070	-0.54
ENSG00000147650	ENSG00000042813	0.53
ENSG00000147650	ENSG00000130402	-0.54
ENSG00000147650	ENSG00000104774	-0.53
ENSG00000147650	ENSG00000213977	-0.52
ENSG00000147650	ENSG00000158560	0.54
ENSG00000147650	ENSG00000134480	0.52
ENSG00000147650	ENSG00000167969	-0.52
ENSG00000147650	ENSG00000234690	-0.53
ENSG00000147650	ENSG00000051382	0.53
ENSG00000147650	ENSG00000078043	0.55
ENSG00000147650	ENSG00000138378	0.53
ENSG00000147650	ENSG00000161714	-0.53
ENSG00000147650	ENSG00000160783	-0.53
ENSG00000147650	ENSG00000269179	-0.54
ENSG00000147650	ENSG00000105778	0.53
ENSG00000147650	ENSG00000133083	0.53
ENSG00000147650	ENSG00000144579	-0.52
ENSG00000147650	ENSG00000142733	-0.51
ENSG00000147650	ENSG00000129347	-0.53
ENSG00000147650	ENSG00000117020	0.54
ENSG00000147650	ENSG00000177565	0.53
ENSG00000147650	ENSG00000229325	0.53
ENSG00000147650	ENSG00000100083	-0.56
ENSG00000147650	ENSG00000091844	0.53
ENSG00000147650	ENSG00000175893	0.55
ENSG00000147650	ENSG00000145242	0.54
ENSG00000147650	ENSG00000260238	-0.54
ENSG00000147650	ENSG00000166342	0.55
ENSG00000147650	ENSG00000104432	0.53
ENSG00000147650	ENSG00000055130	0.53
ENSG00000147650	ENSG00000266929	-0.53
ENSG00000147650	ENSG00000287629	-0.52
ENSG00000147650	ENSG00000120913	-0.51
ENSG00000147650	ENSG00000258677	0.53
ENSG00000147650	ENSG00000153956	0.53
ENSG00000147650	ENSG00000162889	-0.52
ENSG00000147650	ENSG00000204271	0.54
ENSG00000147650	ENSG00000157680	0.54
ENSG00000147650	ENSG00000129292	0.55
ENSG00000147650	ENSG00000184343	-0.53
ENSG00000147650	ENSG00000130787	-0.52
ENSG00000147650	ENSG00000136261	0.53
ENSG00000147650	ENSG00000114853	-0.52
ENSG00000147650	ENSG00000275023	-0.54
ENSG00000147650	ENSG00000180900	-0.54
ENSG00000147650	ENSG00000167525	-0.53
ENSG00000147650	ENSG00000142208	-0.52
ENSG00000147650	ENSG00000068305	0.53
ENSG00000147650	ENSG00000110801	-0.52
ENSG00000147650	ENSG00000260236	-0.52
ENSG00000147650	ENSG00000188352	0.53
ENSG00000147650	ENSG00000130227	0.54
ENSG00000147650	ENSG00000169957	-0.52
ENSG00000147650	ENSG00000244327	0.53
ENSG00000147650	ENSG00000091129	0.54
ENSG00000147650	ENSG00000003393	0.53
ENSG00000147650	ENSG00000197969	0.54
ENSG00000147650	ENSG00000115211	-0.52
ENSG00000147650	ENSG00000107679	0.52
ENSG00000147650	ENSG00000106665	-0.54
ENSG00000147650	ENSG00000103426	-0.53
ENSG00000147650	ENSG00000184716	-0.52
ENSG00000147650	ENSG00000083642	0.53
ENSG00000147650	ENSG00000147036	0.52
ENSG00000147650	ENSG00000254451	0.53
ENSG00000147650	ENSG00000149499	-0.52
ENSG00000147650	ENSG00000178927	-0.53
ENSG00000147650	ENSG00000280789	-0.54
ENSG00000147650	ENSG00000257467	0.52
ENSG00000147650	ENSG00000167977	-0.54
ENSG00000147650	ENSG00000254665	-0.52
ENSG00000147650	ENSG00000105357	-0.53
ENSG00000147650	ENSG00000240849	-0.54
ENSG00000147650	ENSG00000261067	-0.54
ENSG00000147650	ENSG00000141858	-0.53
ENSG00000147650	ENSG00000185658	0.55
ENSG00000147650	ENSG00000214827	0.53
ENSG00000147650	ENSG00000130175	-0.54
ENSG00000147650	ENSG00000204673	-0.54
ENSG00000147650	ENSG00000148297	-0.52
ENSG00000147650	ENSG00000118596	0.54
ENSG00000147650	ENSG00000140015	0.53
ENSG00000147650	ENSG00000155158	0.53
ENSG00000147650	ENSG00000154832	-0.54
ENSG00000147650	ENSG00000142089	-0.52
ENSG00000147650	ENSG00000080189	-0.52
ENSG00000147650	ENSG00000157540	0.54
ENSG00000147650	ENSG00000129925	-0.53
ENSG00000147650	ENSG00000005243	-0.51
ENSG00000147650	ENSG00000076984	-0.54
ENSG00000147650	ENSG00000166405	0.52
ENSG00000147650	ENSG00000105329	-0.55
ENSG00000147650	ENSG00000222005	0.51
ENSG00000147650	ENSG00000204054	-0.53
ENSG00000147650	ENSG00000176533	-0.53
ENSG00000147650	ENSG00000168952	0.53
ENSG00000147650	ENSG00000165209	0.53
ENSG00000147650	ENSG00000058453	-0.51
ENSG00000147650	ENSG00000185453	-0.52
ENSG00000147650	ENSG00000176046	-0.52
ENSG00000147650	ENSG00000167962	-0.55
ENSG00000147650	ENSG00000259515	-0.53
ENSG00000147650	ENSG00000173801	-0.52
ENSG00000147650	ENSG00000183864	-0.53
ENSG00000147650	ENSG00000123815	-0.53
ENSG00000147650	ENSG00000063601	0.51
ENSG00000147650	ENSG00000100077	0.54
ENSG00000147650	ENSG00000161277	-0.52
ENSG00000147650	ENSG00000070404	-0.52
ENSG00000147650	ENSG00000105298	-0.53
ENSG00000147650	ENSG00000087088	-0.52
ENSG00000057663	ENSG00000187144	-0.54
ENSG00000057663	ENSG00000138430	0.57
ENSG00000057663	ENSG00000134444	0.55
ENSG00000057663	ENSG00000008128	-0.55
ENSG00000057663	ENSG00000164506	0.56
ENSG00000057663	ENSG00000232725	-0.54
ENSG00000057663	ENSG00000250166	0.56
ENSG00000057663	ENSG00000134709	0.55
ENSG00000057663	ENSG00000104047	0.54
ENSG00000057663	ENSG00000188419	0.56
ENSG00000057663	ENSG00000076604	-0.55
ENSG00000057663	ENSG00000218336	0.53
ENSG00000057663	ENSG00000173327	-0.55
ENSG00000057663	ENSG00000162989	0.54
ENSG00000057663	ENSG00000121989	0.56
ENSG00000057663	ENSG00000183775	0.55
ENSG00000057663	ENSG00000254692	-0.56
ENSG00000057663	ENSG00000146151	0.56
ENSG00000057663	ENSG00000064763	0.56
ENSG00000057663	ENSG00000137727	0.54
ENSG00000057663	ENSG00000164830	0.56
ENSG00000057663	ENSG00000143889	0.55
ENSG00000057663	ENSG00000166006	0.55
ENSG00000057663	ENSG00000251314	0.55
ENSG00000057663	ENSG00000282218	0.54
ENSG00000057663	ENSG00000163702	-0.53
ENSG00000057663	ENSG00000125520	-0.55
ENSG00000057663	ENSG00000151025	0.55
ENSG00000057663	ENSG00000004766	0.56
ENSG00000057663	ENSG00000047188	0.55
ENSG00000057663	ENSG00000088179	0.56
ENSG00000057663	ENSG00000167395	-0.55
ENSG00000057663	ENSG00000118454	0.56
ENSG00000057663	ENSG00000223442	0.55
ENSG00000057663	ENSG00000077150	-0.53
ENSG00000057663	ENSG00000164418	0.55
ENSG00000057663	ENSG00000135317	0.56
ENSG00000057663	ENSG00000112290	0.55
ENSG00000057663	ENSG00000072133	0.55
ENSG00000057663	ENSG00000106443	0.57
ENSG00000057663	ENSG00000244694	0.55
ENSG00000057663	ENSG00000145428	0.54
ENSG00000057663	ENSG00000175482	-0.55
ENSG00000057663	ENSG00000164597	0.56
ENSG00000057663	ENSG00000143324	0.55
ENSG00000057663	ENSG00000174808	0.54
ENSG00000057663	ENSG00000157191	-0.55
ENSG00000057663	ENSG00000133302	0.57
ENSG00000057663	ENSG00000109756	0.54
ENSG00000057663	ENSG00000144290	0.56
ENSG00000057663	ENSG00000188343	0.55
ENSG00000057663	ENSG00000082701	0.56
ENSG00000057663	ENSG00000114353	-0.53
ENSG00000057663	ENSG00000154001	0.55
ENSG00000057663	ENSG00000172915	0.56
ENSG00000057663	ENSG00000149970	0.57
ENSG00000057663	ENSG00000103494	0.55
ENSG00000057663	ENSG00000285190	0.55
ENSG00000057663	ENSG00000122417	0.56
ENSG00000057663	ENSG00000058272	0.55
ENSG00000057663	ENSG00000015568	0.55
ENSG00000057663	ENSG00000135333	0.55
ENSG00000057663	ENSG00000055070	-0.55
ENSG00000057663	ENSG00000091157	0.56
ENSG00000057663	ENSG00000042813	0.55
ENSG00000057663	ENSG00000150627	0.55
ENSG00000057663	ENSG00000104774	-0.55
ENSG00000057663	ENSG00000255857	-0.53
ENSG00000057663	ENSG00000172292	0.55
ENSG00000057663	ENSG00000158528	0.56
ENSG00000057663	ENSG00000169519	0.54
ENSG00000057663	ENSG00000101986	-0.55
ENSG00000057663	ENSG00000058091	0.56
ENSG00000057663	ENSG00000158560	0.56
ENSG00000057663	ENSG00000196517	-0.54
ENSG00000057663	ENSG00000234072	-0.54
ENSG00000057663	ENSG00000111181	-0.53
ENSG00000057663	ENSG00000010017	0.56
ENSG00000057663	ENSG00000051382	0.56
ENSG00000057663	ENSG00000078043	0.56
ENSG00000057663	ENSG00000251141	0.55
ENSG00000057663	ENSG00000143303	-0.54
ENSG00000057663	ENSG00000158796	-0.53
ENSG00000057663	ENSG00000072657	0.56
ENSG00000057663	ENSG00000168818	0.55
ENSG00000057663	ENSG00000010282	-0.53
ENSG00000057663	ENSG00000160783	-0.55
ENSG00000057663	ENSG00000235837	0.54
ENSG00000057663	ENSG00000133083	0.55
ENSG00000057663	ENSG00000231896	0.54
ENSG00000057663	ENSG00000040341	0.56
ENSG00000057663	ENSG00000104381	0.55
ENSG00000057663	ENSG00000248235	-0.52
ENSG00000057663	ENSG00000144579	-0.54
