ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000283411	1.26991643465059e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000281649	1.31047279368284e-06	EBLN3P	lncRNA	No_kegg	AD_cluster1
ENSG00000286971	1.41053341182943e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000213904	2.00800960600975e-06	LIPE-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000247240	2.30363386306943e-06	UBL7-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000216895	2.34129339795547e-06	RBM33-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000253875	3.06219029308334e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000288665	3.25061033150495e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000260032	3.49993908224942e-06	NORAD	lncRNA	No_kegg	AD_cluster1
ENSG00000259685	3.85563206516396e-06	IDH2-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000234661	4.77969171913163e-06	CHL1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000259287	4.83505895561139e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000259168	5.09735804051118e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000255202	5.74369541941199e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000214719	6.06876595359298e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000272335	6.29635240428815e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000272182	6.59864695584224e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000276997	7.28015760894592e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000260244	8.78627414742193e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000260425	1.12226517910231e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000259723	1.25320062580528e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000254604	1.37599978688228e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000177738	1.64966029925016e-05	ANXA2R-OT1	lncRNA	No_kegg	AD_cluster1
ENSG00000286670	1.68058378153295e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000197568	1.77791122113759e-05	ANKRD13C-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000226824	1.78407005666718e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260878	1.79581388310797e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000226471	1.97128640824078e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000242086	2.0212008370868e-05	MUC20-OT1	lncRNA	No_kegg	AD_cluster1
ENSG00000247556	2.25734458008231e-05	OIP5-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000265479	2.27055375438911e-05	DTX2P1-UPK3BP1-PMS2P11	lncRNA	No_kegg	AD_cluster1
ENSG00000277935	2.28544404133496e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000236065	2.5114124791991e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000287949	2.54016025251309e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000226696	2.59796484801729e-05	LENG8-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000253358	2.66816301045047e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000271614	2.70704900059098e-05	ATP2B1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000226919	2.74693668893312e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000236859	2.83622591582795e-05	NIFK-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000255467	2.88188467844214e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000235288	2.9649797500089e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000285796	2.99596885081919e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000271933	3.08491106691002e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000253738	3.1644470553388e-05	OTUD6B-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000249526	3.30837282697462e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000235837	3.35107343278553e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260025	3.35466682377676e-05	CRIM1-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000257599	3.3585011827273e-05	OVCH1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000250407	3.50511314526788e-05		lncRNA	No_kegg	AD_cluster1
