ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000281649	1.10781731762783e-06	EBLN3P	lncRNA	No_kegg	AD_cluster3
ENSG00000288665	1.25687110426786e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000253875	1.34188028193351e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000260032	1.48567227660078e-06	NORAD	lncRNA	No_kegg	AD_cluster3
ENSG00000247556	3.22436593812003e-06	OIP5-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000234661	4.54802677136843e-06	CHL1-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000286670	4.57401583111537e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000272182	4.57796435127513e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000196204	5.23987094827084e-06	RNF216P1	lncRNA	No_kegg	AD_cluster3
ENSG00000259287	5.51766439265093e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000247970	5.81165760519877e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000271933	6.13411309618758e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000216895	8.10542357684995e-06	RBM33-DT	lncRNA	No_kegg	AD_cluster3
ENSG00000260878	8.37553595610394e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000213904	8.57459039159101e-06	LIPE-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000259723	8.68632921574778e-06		lncRNA	No_kegg	AD_cluster3
ENSG00000288670	1.14501072083257e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000255202	1.18945564391136e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000254604	1.2825853220995e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000250407	1.29416873004756e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000214719	1.36031299068978e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000265479	1.47736815920611e-05	DTX2P1-UPK3BP1-PMS2P11	lncRNA	No_kegg	AD_cluster3
ENSG00000197568	1.87863018661935e-05	ANKRD13C-DT	lncRNA	No_kegg	AD_cluster3
ENSG00000236065	2.13572434474593e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000226471	2.21274951059187e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000277935	2.43705947638705e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000287058	2.54493332751824e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000287967	2.81183286937826e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000234758	2.91070560954006e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000226919	2.95368474457688e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000271614	2.9928816485079e-05	ATP2B1-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000170919	3.0127186875371e-05	TPT1-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000254860	3.1190170567535e-05	TMEM9B-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000177738	3.1334058100012e-05	ANXA2R-OT1	lncRNA	No_kegg	AD_cluster3
ENSG00000260482	3.20981964550887e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000235288	3.48099062245818e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000225376	3.79480517956352e-05	TMEM246-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000276649	3.79865492009168e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000261188	4.13783322721429e-05	TFIP11-DT	lncRNA	No_kegg	AD_cluster3
ENSG00000273156	4.19074737372488e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000285926	4.24281446652315e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000236859	4.27915601507915e-05	NIFK-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000257599	4.57997169142947e-05	OVCH1-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000253358	4.62751357783547e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000234617	4.69719208534603e-05	SNRK-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000255197	4.79412766108382e-05	SLC39A13-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000285651	4.95534543287506e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000254907	5.11270213179135e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000253738	5.48641965809776e-05	OTUD6B-AS1	lncRNA	No_kegg	AD_cluster3
ENSG00000286018	5.72590947071322e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000251095	5.75004576330787e-05		lncRNA	No_kegg	AD_cluster3
ENSG00000220575	5.85017663402887e-05	HTR5A-AS1	lncRNA	No_kegg	AD_cluster3
