Node.1	Node.2	Phi	Phi_tilde	weight
ENSG00000138430	ENSG00000103769	g	g.AD	0.54
ENSG00000138430	ENSG00000104936	a	a	-0.54
ENSG00000103769	ENSG00000104936	g	g.AD	-0.53
ENSG00000103769	ENSG00000139826	g	g.AD	0.52
ENSG00000103769	ENSG00000129566	g	g.AD	-0.51
ENSG00000103769	ENSG00000229956	g	g.AD	0.54
ENSG00000139826	ENSG00000229956	g	g.AD	0.54
ENSG00000149970	ENSG00000229956	g	g.AD	0.55
ENSG00000103769	ENSG00000171714	g	g.AD	0.53
ENSG00000103769	ENSG00000074964	g	g.AD	-0.52
ENSG00000058091	ENSG00000104812	g	g.AD	-0.53
ENSG00000129566	ENSG00000104812	g	g.AD	0.51
ENSG00000139826	ENSG00000088888	g	g.AD	-0.52
ENSG00000229956	ENSG00000088888	g	g.AD	-0.55
ENSG00000100209	ENSG00000088888	g	g.AD	0.54
ENSG00000229956	ENSG00000075391	g	g.AD	0.52
ENSG00000138430	ENSG00000108061	a	a	0.56
ENSG00000129566	ENSG00000108061	g	g.AD	-0.51
ENSG00000138769	ENSG00000108061	g	g.AD	0.52
ENSG00000229956	ENSG00000106701	g	g.AD	0.54
ENSG00000088888	ENSG00000169871	g	g.AD	0.55
ENSG00000104812	ENSG00000101557	g	g.AD	-0.54
ENSG00000106701	ENSG00000101557	g	g.AD	0.53
ENSG00000058091	ENSG00000130304	g	g.AD	-0.53
ENSG00000104812	ENSG00000130304	g	g.AD	0.55
ENSG00000088888	ENSG00000130304	a	a	0.55
ENSG00000108061	ENSG00000130304	g	g.AD	-0.54
ENSG00000138430	ENSG00000071564	g	g.AD	-0.56
ENSG00000171714	ENSG00000071564	g	g.AD	-0.54
ENSG00000108061	ENSG00000071564	g	g.AD	-0.54
ENSG00000138430	ENSG00000082701	a	a	0.56
ENSG00000088888	ENSG00000082701	g	g.AD	-0.55
ENSG00000108061	ENSG00000082701	g	g.AD	0.54
ENSG00000101557	ENSG00000082701	g	g.AD	0.53
ENSG00000071564	ENSG00000082701	g	g.AD	-0.55
ENSG00000138430	ENSG00000010017	a	a	0.54
ENSG00000109339	ENSG00000010017	g	g.AD	0.52
ENSG00000108061	ENSG00000010017	g	g.AD	0.53
ENSG00000138769	ENSG00000103657	g	g.AD	0.52
ENSG00000082701	ENSG00000103657	a	a	0.52
ENSG00000100209	ENSG00000101247	g	g.AD	-0.51
ENSG00000104812	ENSG00000101247	a	a	-0.52
ENSG00000130304	ENSG00000101247	g	g.AD	-0.52
ENSG00000103657	ENSG00000101247	g	g.AD	0.53
ENSG00000149970	ENSG00000198513	g	g.AD	0.53
ENSG00000108061	ENSG00000198513	g	g.AD	0.54
ENSG00000103657	ENSG00000198513	g	g.AD	0.53
ENSG00000088888	ENSG00000149782	a	a	0.54
ENSG00000138430	ENSG00000025156	g	g.AD	0.55
ENSG00000129566	ENSG00000025156	g	g.AD	-0.51
ENSG00000109339	ENSG00000025156	g	g.AD	0.51
ENSG00000229956	ENSG00000025156	g	g.AD	0.54
ENSG00000101557	ENSG00000025156	a	a	0.54
ENSG00000071564	ENSG00000025156	g	g.AD	-0.54
ENSG00000101247	ENSG00000025156	g	g.AD	0.53
ENSG00000138430	ENSG00000134121	g	g.AD	0.55
ENSG00000139826	ENSG00000134121	a	a	0.54
ENSG00000149970	ENSG00000134121	g	g.AD	0.55
ENSG00000129566	ENSG00000134121	g	g.AD	-0.53
ENSG00000138769	ENSG00000134121	a	a	0.54
ENSG00000109339	ENSG00000134121	g	g.AD	0.53
ENSG00000101557	ENSG00000134121	g	g.AD	0.53
ENSG00000130304	ENSG00000134121	a	a	-0.52
ENSG00000071564	ENSG00000134121	g	g.AD	-0.53
ENSG00000138430	ENSG00000040341	a	a	0.56
ENSG00000103769	ENSG00000040341	g	g.AD	0.52
ENSG00000106701	ENSG00000040341	g	g.AD	0.54
ENSG00000101557	ENSG00000040341	a	a	0.53
ENSG00000103657	ENSG00000040341	g	g.AD	0.53
ENSG00000109339	ENSG00000211456	g	g.AD	0.53
ENSG00000198513	ENSG00000211456	g	g.AD	0.54
ENSG00000138430	ENSG00000164031	g	g.AD	0.54
ENSG00000229956	ENSG00000164031	a	a	0.54
ENSG00000074964	ENSG00000164031	g	g.AD	-0.52
ENSG00000071564	ENSG00000164031	g	g.AD	-0.53
ENSG00000025156	ENSG00000164031	g	g.AD	0.54
ENSG00000103769	ENSG00000057663	g	g.AD	0.53
ENSG00000130304	ENSG00000057663	a	a	-0.55
ENSG00000010017	ENSG00000057663	a	a	0.52
ENSG00000198513	ENSG00000057663	g	g.AD	0.54
ENSG00000058091	ENSG00000178662	g	g.AD	0.54
ENSG00000103769	ENSG00000178662	g	g.AD	0.55
ENSG00000129566	ENSG00000178662	g	g.AD	-0.55
ENSG00000229956	ENSG00000178662	a	a	0.57
ENSG00000171714	ENSG00000178662	a	a	0.55
ENSG00000074964	ENSG00000178662	g	g.AD	-0.52
ENSG00000100209	ENSG00000178662	g	g.AD	-0.55
ENSG00000104812	ENSG00000178662	g	g.AD	-0.54
ENSG00000088888	ENSG00000178662	a	a	-0.55
ENSG00000130304	ENSG00000178662	g	g.AD	-0.54
ENSG00000164031	ENSG00000178662	a	a	0.56
ENSG00000229956	ENSG00000163138	g	g.AD	0.55
ENSG00000082701	ENSG00000163138	g	g.AD	0.53
ENSG00000025156	ENSG00000163138	a	a	0.54
ENSG00000211456	ENSG00000163138	a	a	0.54
ENSG00000139826	ENSG00000236051	g	g.AD	0.54
ENSG00000149970	ENSG00000236051	g	g.AD	0.55
ENSG00000109339	ENSG00000236051	g	g.AD	0.53
ENSG00000229956	ENSG00000236051	g	g.AD	0.56
ENSG00000100209	ENSG00000236051	g	g.AD	-0.53
ENSG00000108061	ENSG00000236051	g	g.AD	0.54
ENSG00000130304	ENSG00000236051	a	a	-0.52
ENSG00000025156	ENSG00000236051	g	g.AD	0.53
ENSG00000106701	ENSG00000120251	g	g.AD	0.52
ENSG00000169871	ENSG00000120251	g	g.AD	-0.52
ENSG00000071564	ENSG00000120251	g	g.AD	-0.53
ENSG00000010017	ENSG00000120251	a	a	0.52
ENSG00000198513	ENSG00000120251	g	g.AD	0.55
ENSG00000025156	ENSG00000120251	g	g.AD	0.53
ENSG00000134121	ENSG00000120251	g	g.AD	0.55
ENSG00000040341	ENSG00000120251	a	a	0.55
ENSG00000236051	ENSG00000120251	a	a	0.55
ENSG00000138430	ENSG00000100106	g	g.AD	-0.55
ENSG00000198513	ENSG00000100106	g	g.AD	-0.53
ENSG00000134121	ENSG00000100106	g	g.AD	-0.53
ENSG00000057663	ENSG00000100106	g	g.AD	-0.53
ENSG00000163138	ENSG00000100106	g	g.AD	-0.51
ENSG00000103769	ENSG00000120942	g	g.AD	-0.51
ENSG00000229956	ENSG00000120942	g	g.AD	-0.54
ENSG00000082701	ENSG00000120942	g	g.AD	-0.54
ENSG00000163138	ENSG00000120942	g	g.AD	-0.52
ENSG00000120251	ENSG00000120942	g	g.AD	-0.52
ENSG00000138430	ENSG00000100077	a	a	0.55
ENSG00000229956	ENSG00000100077	g	g.AD	0.54
ENSG00000104812	ENSG00000100077	g	g.AD	-0.54
ENSG00000134121	ENSG00000100077	g	g.AD	0.52
ENSG00000211456	ENSG00000100077	g	g.AD	0.53
ENSG00000120942	ENSG00000100077	g	g.AD	-0.52
ENSG00000149970	ENSG00000105699	g	g.AD	-0.52
ENSG00000108061	ENSG00000105699	g	g.AD	-0.54
ENSG00000134121	ENSG00000105699	g	g.AD	-0.52
ENSG00000236051	ENSG00000105699	g	g.AD	-0.52
ENSG00000100106	ENSG00000105699	g	g.AD	0.52
ENSG00000058091	ENSG00000172915	g	g.AD	0.55
ENSG00000109339	ENSG00000172915	g	g.AD	0.54
ENSG00000100209	ENSG00000172915	g	g.AD	-0.53
ENSG00000082701	ENSG00000172915	a	a	0.54
ENSG00000134121	ENSG00000172915	g	g.AD	0.54
ENSG00000103769	ENSG00000116750	g	g.AD	0.56
ENSG00000104936	ENSG00000116750	g	g.AD	-0.52
ENSG00000129566	ENSG00000116750	g	g.AD	-0.52
ENSG00000171714	ENSG00000116750	g	g.AD	0.54
ENSG00000108061	ENSG00000116750	g	g.AD	0.55
ENSG00000130304	ENSG00000116750	a	a	-0.53
ENSG00000082701	ENSG00000116750	g	g.AD	0.53
ENSG00000101247	ENSG00000116750	a	a	0.54
ENSG00000134121	ENSG00000116750	a	a	0.54
ENSG00000040341	ENSG00000116750	g	g.AD	0.53
ENSG00000178662	ENSG00000116750	g	g.AD	0.56
