Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000075790	ENSG00000074964	g	g.AD	-0.52
ENSG00000102471	ENSG00000106524	g	g.AD	0.53
ENSG00000102471	ENSG00000014824	g	g.AD	0.53
ENSG00000085365	ENSG00000136531	a	a	0.55
ENSG00000087470	ENSG00000136531	a	a	0.54
ENSG00000014824	ENSG00000136531	a	a	0.52
ENSG00000075790	ENSG00000186106	a	a	0.55
ENSG00000102471	ENSG00000186106	a	a	0.54
ENSG00000085365	ENSG00000186106	a	a	0.55
ENSG00000106524	ENSG00000186106	g	g.AD	0.52
ENSG00000186106	ENSG00000005249	g	g.AD	0.53
ENSG00000075790	ENSG00000164031	g	g.AD	0.55
ENSG00000074964	ENSG00000164031	g	g.AD	-0.52
ENSG00000136531	ENSG00000164031	g	g.AD	0.55
ENSG00000005249	ENSG00000164031	g	g.AD	0.53
ENSG00000074964	ENSG00000083720	g	g.AD	-0.52
ENSG00000014824	ENSG00000083720	a	a	0.54
ENSG00000136531	ENSG00000083720	g	g.AD	0.56
ENSG00000074964	ENSG00000178662	g	g.AD	-0.52
ENSG00000087470	ENSG00000178662	g	g.AD	0.55
ENSG00000186106	ENSG00000178662	g	g.AD	0.56
ENSG00000164031	ENSG00000178662	a	a	0.56
ENSG00000083720	ENSG00000178662	a	a	0.56
ENSG00000136531	ENSG00000106479	g	g.AD	-0.53
ENSG00000005249	ENSG00000149313	g	g.AD	0.54
ENSG00000075790	ENSG00000174132	g	g.AD	0.52
ENSG00000102471	ENSG00000174132	g	g.AD	0.52
ENSG00000075790	ENSG00000108590	g	g.AD	0.53
ENSG00000087470	ENSG00000108590	g	g.AD	0.54
ENSG00000136531	ENSG00000108590	g	g.AD	0.54
ENSG00000186106	ENSG00000108590	g	g.AD	0.53
ENSG00000083720	ENSG00000108590	g	g.AD	0.53
ENSG00000149313	ENSG00000108590	g	g.AD	0.55
ENSG00000074964	ENSG00000165832	g	g.AD	-0.52
ENSG00000085365	ENSG00000165832	a	a	0.56
ENSG00000087470	ENSG00000165832	g	g.AD	0.55
ENSG00000106524	ENSG00000165832	g	g.AD	0.53
ENSG00000178662	ENSG00000165832	a	a	0.56
ENSG00000174132	ENSG00000165832	g	g.AD	0.53
ENSG00000136531	ENSG00000004897	g	g.AD	0.54
ENSG00000005249	ENSG00000004897	g	g.AD	0.54
ENSG00000085365	ENSG00000152932	g	g.AD	0.54
ENSG00000087470	ENSG00000152932	g	g.AD	0.53
ENSG00000005249	ENSG00000152932	g	g.AD	0.53
ENSG00000178662	ENSG00000152932	a	a	0.57
ENSG00000004897	ENSG00000152932	g	g.AD	0.53
ENSG00000164031	ENSG00000185875	g	g.AD	0.53
ENSG00000149313	ENSG00000185875	a	a	0.54
ENSG00000087470	ENSG00000109738	g	g.AD	0.53
ENSG00000136531	ENSG00000109738	g	g.AD	0.55
ENSG00000004897	ENSG00000109738	g	g.AD	0.53
ENSG00000152932	ENSG00000109738	g	g.AD	0.54
ENSG00000102471	ENSG00000173821	g	g.AD	-0.52
ENSG00000136531	ENSG00000173821	g	g.AD	-0.53
ENSG00000083720	ENSG00000173821	g	g.AD	-0.53
ENSG00000165832	ENSG00000173821	g	g.AD	-0.52
ENSG00000186106	ENSG00000108839	g	g.AD	-0.53
ENSG00000083720	ENSG00000108839	g	g.AD	-0.54
ENSG00000106479	ENSG00000108839	g	g.AD	0.53
ENSG00000185875	ENSG00000108839	g	g.AD	-0.52
ENSG00000102471	ENSG00000163376	g	g.AD	0.54
ENSG00000186106	ENSG00000163376	g	g.AD	0.54
ENSG00000152932	ENSG00000163376	g	g.AD	0.53
ENSG00000085365	ENSG00000134108	g	g.AD	0.54
ENSG00000108590	ENSG00000134108	g	g.AD	0.51
ENSG00000004897	ENSG00000134108	a	a	0.54
ENSG00000108839	ENSG00000134108	g	g.AD	-0.52
ENSG00000102471	ENSG00000145864	g	g.AD	0.54
ENSG00000110675	ENSG00000145864	a	a	0.55
ENSG00000085365	ENSG00000145864	g	g.AD	0.54
ENSG00000149313	ENSG00000145864	g	g.AD	0.54
ENSG00000165832	ENSG00000145864	g	g.AD	0.54
ENSG00000173821	ENSG00000145864	g	g.AD	-0.52
ENSG00000163376	ENSG00000145864	g	g.AD	0.54
ENSG00000178662	ENSG00000102468	a	a	0.55
ENSG00000149313	ENSG00000103150	g	g.AD	-0.52
ENSG00000165832	ENSG00000103150	g	g.AD	-0.52
ENSG00000152932	ENSG00000076555	g	g.AD	-0.52
ENSG00000109738	ENSG00000076555	a	a	-0.53
ENSG00000102471	ENSG00000104643	g	g.AD	0.55
ENSG00000106524	ENSG00000104643	g	g.AD	0.53
ENSG00000014824	ENSG00000104643	a	a	0.55
ENSG00000186106	ENSG00000104643	g	g.AD	0.56
ENSG00000108590	ENSG00000104643	g	g.AD	0.55
ENSG00000108839	ENSG00000104643	g	g.AD	-0.55
ENSG00000085365	ENSG00000113161	g	g.AD	0.54
ENSG00000087470	ENSG00000113161	g	g.AD	0.54
ENSG00000136531	ENSG00000113161	g	g.AD	0.54
ENSG00000164031	ENSG00000113161	g	g.AD	0.54
ENSG00000178662	ENSG00000113161	g	g.AD	0.56
ENSG00000149313	ENSG00000113161	a	a	0.55
ENSG00000109738	ENSG00000113161	g	g.AD	0.53
ENSG00000108839	ENSG00000113161	g	g.AD	-0.53
ENSG00000165832	ENSG00000260412	g	g.AD	0.53
ENSG00000152932	ENSG00000260412	g	g.AD	0.54
ENSG00000085365	ENSG00000205269	a	a	0.54
ENSG00000005249	ENSG00000205269	g	g.AD	0.52
ENSG00000164031	ENSG00000205269	g	g.AD	0.53
ENSG00000109738	ENSG00000205269	a	a	0.53
ENSG00000145864	ENSG00000205269	g	g.AD	0.53
ENSG00000085365	ENSG00000117906	g	g.AD	0.54
ENSG00000104643	ENSG00000117906	g	g.AD	0.54
