Node.1	Node.2	Phi	Phi_tilde	weight
ENSG00000109133	ENSG00000108946	g	g.Ctrl	0.53
ENSG00000143727	ENSG00000108946	a	a	0.54
ENSG00000143727	ENSG00000149100	g	g.Ctrl	0.53
ENSG00000143727	ENSG00000069329	g	g.Ctrl	0.55
ENSG00000108946	ENSG00000131263	a	a	0.55
ENSG00000143727	ENSG00000100554	g	g.Ctrl	0.54
ENSG00000131263	ENSG00000100554	g	g.Ctrl	0.54
ENSG00000109133	ENSG00000165678	a	a	0.53
ENSG00000108946	ENSG00000165678	g	g.Ctrl	0.54
ENSG00000069329	ENSG00000165678	g	g.Ctrl	0.54
ENSG00000165943	ENSG00000165678	g	g.Ctrl	0.55
ENSG00000100554	ENSG00000165678	g	g.Ctrl	0.55
ENSG00000041357	ENSG00000165678	a	a	0.54
ENSG00000131779	ENSG00000165678	g	g.Ctrl	0.53
ENSG00000126947	ENSG00000069345	a	a	0.55
ENSG00000103091	ENSG00000069345	g	g.Ctrl	-0.53
ENSG00000100554	ENSG00000069345	g	g.Ctrl	0.55
ENSG00000165678	ENSG00000069345	g	g.Ctrl	0.55
ENSG00000165678	ENSG00000158301	g	g.Ctrl	0.55
ENSG00000165678	ENSG00000166847	g	g.Ctrl	0.53
ENSG00000100554	ENSG00000164172	g	g.Ctrl	0.53
ENSG00000100554	ENSG00000198612	g	g.Ctrl	0.55
ENSG00000165678	ENSG00000198612	a	a	0.55
ENSG00000069345	ENSG00000198612	g	g.Ctrl	0.55
ENSG00000143727	ENSG00000134440	a	a	0.54
ENSG00000069329	ENSG00000134440	a	a	0.55
ENSG00000131263	ENSG00000134440	g	g.Ctrl	0.55
ENSG00000100554	ENSG00000134440	a	a	0.54
ENSG00000158301	ENSG00000134440	a	a	0.55
ENSG00000198612	ENSG00000134440	a	a	0.55
ENSG00000143727	ENSG00000072609	g	g.Ctrl	-0.53
ENSG00000165678	ENSG00000160131	g	g.Ctrl	0.54
ENSG00000165678	ENSG00000038274	g	g.Ctrl	0.53
ENSG00000165678	ENSG00000133134	g	g.Ctrl	0.53
ENSG00000165678	ENSG00000111669	g	g.Ctrl	0.54
ENSG00000103091	ENSG00000272772	g	g.Ctrl	-0.53
ENSG00000109133	ENSG00000272772	g	g.Ctrl	0.53
ENSG00000108946	ENSG00000272772	g	g.Ctrl	0.54
ENSG00000149100	ENSG00000272772	g	g.Ctrl	0.55
ENSG00000100554	ENSG00000272772	a	a	0.55
ENSG00000131779	ENSG00000272772	g	g.Ctrl	0.53
ENSG00000069345	ENSG00000272772	a	a	0.55
ENSG00000158301	ENSG00000272772	g	g.Ctrl	0.55
ENSG00000164172	ENSG00000272772	g	g.Ctrl	0.54
ENSG00000198612	ENSG00000272772	g	g.Ctrl	0.55
ENSG00000072609	ENSG00000272772	a	a	-0.53
ENSG00000111684	ENSG00000272772	g	g.Ctrl	-0.53
ENSG00000165264	ENSG00000272772	g	g.Ctrl	0.54
ENSG00000175606	ENSG00000272772	g	g.Ctrl	0.54
ENSG00000143727	ENSG00000103160	g	g.Ctrl	0.54
ENSG00000165678	ENSG00000103160	g	g.Ctrl	0.54
ENSG00000134440	ENSG00000085788	a	a	0.53
ENSG00000272772	ENSG00000085788	g	g.Ctrl	0.53
ENSG00000165678	ENSG00000187601	g	g.Ctrl	0.54
ENSG00000165678	ENSG00000158315	a	a	-0.53
ENSG00000131263	ENSG00000120805	g	g.Ctrl	0.54
ENSG00000100554	ENSG00000120805	g	g.Ctrl	0.53
ENSG00000253738	ENSG00000120805	g	g.Ctrl	0.53
ENSG00000069345	ENSG00000178502	g	g.Ctrl	0.54
ENSG00000165678	ENSG00000155961	g	g.Ctrl	0.54
ENSG00000100554	ENSG00000144746	g	g.Ctrl	0.52
ENSG00000126947	ENSG00000165637	a	a	0.54
ENSG00000100554	ENSG00000165637	g	g.Ctrl	0.54
ENSG00000165678	ENSG00000165637	g	g.Ctrl	0.55
ENSG00000069345	ENSG00000165637	a	a	0.55
ENSG00000131100	ENSG00000115762	g	g.Ctrl	0.54
