"Node.1" "Node.2" "CN"
"ENSG00000140632" "ENSG00000280893" 0.54
"ENSG00000146701" "ENSG00000185085" 0.53
"ENSG00000147650" "ENSG00000105357" -0.53
"ENSG00000072041" "ENSG00000186654" -0.5
"ENSG00000057663" "ENSG00000165424" -0.53
"ENSG00000081189" "ENSG00000135317" 0.54
"ENSG00000123119" "ENSG00000087470" 0.54
"ENSG00000205133" "ENSG00000185272" 0.52
"ENSG00000175395" "ENSG00000107560" 0.53
"ENSG00000285542" "ENSG00000186106" 0.51
"ENSG00000081307" "ENSG00000006530" 0.53
"ENSG00000120251" "ENSG00000141569" -0.53
"ENSG00000143951" "ENSG00000204116" 0.54
"ENSG00000197724" "ENSG00000198542" -0.53
"ENSG00000134852" "ENSG00000104427" 0.52
"ENSG00000164209" "ENSG00000286112" -0.51
"ENSG00000211456" "ENSG00000157214" 0.52
"ENSG00000108094" "ENSG00000107758" 0.53
"ENSG00000187144" "ENSG00000198840" 0.52
"ENSG00000249568" "ENSG00000061273" -0.51
"ENSG00000104427" "ENSG00000079432" -0.54
"ENSG00000283228" "ENSG00000099385" -0.51
"ENSG00000196456" "ENSG00000107643" -0.55
"ENSG00000085514" "ENSG00000256206" -0.52
"ENSG00000254530" "ENSG00000090661" -0.51
"ENSG00000145681" "ENSG00000087470" 0.53
"ENSG00000229956" "ENSG00000113597" 0.53
"ENSG00000055813" "ENSG00000106443" 0.54
"ENSG00000271894" "ENSG00000162989" 0.55
"ENSG00000196950" "ENSG00000214265" 0.54
"ENSG00000077264" "ENSG00000140497" -0.53
"ENSG00000205236" "ENSG00000166479" -0.54
"ENSG00000108641" "ENSG00000185272" -0.51
"ENSG00000164815" "ENSG00000089327" -0.51
"ENSG00000138430" "ENSG00000161847" -0.57
"ENSG00000114446" "ENSG00000129682" 0.53
"ENSG00000152503" "ENSG00000141905" -0.54
"ENSG00000134444" "ENSG00000125753" -0.52
"ENSG00000226026" "ENSG00000166479" 0.52
"ENSG00000114120" "ENSG00000175893" 0.54
"ENSG00000147642" "ENSG00000107643" 0.53
"ENSG00000203668" "ENSG00000115419" 0.53
"ENSG00000120137" "ENSG00000259678" 0.53
"ENSG00000008128" "ENSG00000104432" -0.52
"ENSG00000187144" "ENSG00000167525" 0.51
"ENSG00000109158" "ENSG00000225792" 0.53
"ENSG00000169914" "ENSG00000198919" 0.53
"ENSG00000109738" "ENSG00000135324" 0.53
"ENSG00000174628" "ENSG00000091157" -0.54
"ENSG00000133135" "ENSG00000137821" 0.53
"ENSG00000147894" "ENSG00000102753" 0.52
"ENSG00000142875" "ENSG00000139977" 0.54
"ENSG00000138641" "ENSG00000181638" -0.53
"ENSG00000114573" "ENSG00000122644" 0.52
"ENSG00000079785" "ENSG00000168958" 0.55
"ENSG00000125675" "ENSG00000110047" -0.53
"ENSG00000103227" "ENSG00000157353" 0.51
"ENSG00000164506" "ENSG00000185453" -0.54
"ENSG00000183023" "ENSG00000144227" 0.51
"ENSG00000135655" "ENSG00000261369" 0.53
"ENSG00000002822" "ENSG00000106052" -0.53
"ENSG00000075945" "ENSG00000206432" 0.54
"ENSG00000232725" "ENSG00000166987" 0.54
"ENSG00000250166" "ENSG00000105357" -0.53
"ENSG00000145725" "ENSG00000034693" 0.54
"ENSG00000127081" "ENSG00000134444" 0.54
"ENSG00000168890" "ENSG00000065559" -0.53
"ENSG00000142327" "ENSG00000109670" -0.51
"ENSG00000077254" "ENSG00000261777" -0.52
"ENSG00000111490" "ENSG00000183864" -0.53
"ENSG00000196776" "ENSG00000081307" 0.55
"ENSG00000057663" "ENSG00000101203" -0.53
"ENSG00000115966" "ENSG00000196911" 0.52
"ENSG00000116120" "ENSG00000172081" -0.53
"ENSG00000122643" "ENSG00000004766" 0.54
"ENSG00000134709" "ENSG00000197969" 0.54
"ENSG00000129682" "ENSG00000187522" 0.51
"ENSG00000061676" "ENSG00000167280" -0.52
"ENSG00000107758" "ENSG00000213424" 0.53
"ENSG00000134121" "ENSG00000157502" 0.54
"ENSG00000083720" "ENSG00000122390" -0.52
"ENSG00000065183" "ENSG00000164209" 0.53
"ENSG00000104047" "ENSG00000129636" 0.53
"ENSG00000204186" "ENSG00000287319" 0.53
