Node.1	Node.2	wTO
ENSG00000205133	ENSG00000138095	0.53
ENSG00000205133	ENSG00000163281	0.52
ENSG00000205133	ENSG00000025156	0.52
ENSG00000205133	ENSG00000138442	0.52
ENSG00000205133	ENSG00000108061	0.53
ENSG00000205133	ENSG00000004766	0.54
ENSG00000205133	ENSG00000113966	0.53
ENSG00000205133	ENSG00000145362	0.52
ENSG00000205133	ENSG00000135317	0.52
ENSG00000205133	ENSG00000163743	0.51
ENSG00000205133	ENSG00000186908	0.54
ENSG00000205133	ENSG00000174106	0.54
ENSG00000205133	ENSG00000145216	0.54
ENSG00000205133	ENSG00000171262	0.52
ENSG00000205133	ENSG00000115839	0.52
ENSG00000205133	ENSG00000164933	0.51
ENSG00000205133	ENSG00000083750	0.5
ENSG00000205133	ENSG00000117533	0.52
ENSG00000205133	ENSG00000151292	0.52
ENSG00000205133	ENSG00000185272	0.52
ENSG00000081307	ENSG00000205236	-0.53
ENSG00000081307	ENSG00000108641	-0.53
ENSG00000081307	ENSG00000134444	0.55
ENSG00000081307	ENSG00000114120	0.55
ENSG00000081307	ENSG00000120137	0.54
ENSG00000081307	ENSG00000147894	0.54
ENSG00000081307	ENSG00000145725	0.54
ENSG00000081307	ENSG00000116750	0.54
ENSG00000081307	ENSG00000144320	0.55
ENSG00000081307	ENSG00000006715	0.55
ENSG00000081307	ENSG00000066557	0.55
ENSG00000081307	ENSG00000128699	0.54
ENSG00000081307	ENSG00000144635	0.54
ENSG00000081307	ENSG00000163281	0.55
ENSG00000081307	ENSG00000025156	0.54
ENSG00000081307	ENSG00000204116	0.54
ENSG00000081307	ENSG00000143889	0.53
ENSG00000081307	ENSG00000174953	0.55
ENSG00000081307	ENSG00000108061	0.55
ENSG00000081307	ENSG00000259115	0.52
ENSG00000081307	ENSG00000066739	0.54
ENSG00000081307	ENSG00000145362	0.54
ENSG00000081307	ENSG00000138138	0.55
ENSG00000081307	ENSG00000135317	0.54
