Node	Phi	pval_Phi	Group_pval_Phi	Phi_tilde	pval_Phi_Tilde	Group_pval_Phi_tilde
1	ENSG00000000419	g	0.00467773498104727	g	g.Ctrl	0.000335462627902511	g.Ctrl
2	ENSG00000001497	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
3	ENSG00000001617	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
4	ENSG00000001630	g	0.00665560548294939	g	g.Ctrl	0.000255387828344531	g.Ctrl
5	ENSG00000002822	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
6	ENSG00000002933	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
7	ENSG00000003393	g	0.00467773498104727	g	U	0.22313016014843	g.Ctrl
8	ENSG00000003987	g	0.0143058784354296	g	g.Ctrl	0.00247875217666636	g.Ctrl
9	ENSG00000004399	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
10	ENSG00000004487	g	4.45570906040561e-05	g	g.Ctrl	0.0207543378736997	g.Ctrl
11	ENSG00000004766	g	3.44235828239318e-31	g	g.Ctrl	1.29232113185451e-39	g.Ctrl
12	ENSG00000004897	g	3.94277732317514e-27	g	g.Ctrl	8.77993295099359e-21	g.Ctrl
13	ENSG00000004961	U	0.102470434859749	g	U	0.0301973834223185	g.AD
14	ENSG00000004975	g	0.00156540225800255	g	g.Ctrl	0.000675538775193844	g.Ctrl
15	ENSG00000005020	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
16	ENSG00000005175	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
17	ENSG00000005187	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
18	ENSG00000005189	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
19	ENSG00000005194	g	0.00134064111722948	g	g.AD	0.00150343919297757	g.AD
20	ENSG00000005206	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
21	ENSG00000005243	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
22	ENSG00000005249	g	0.000162131752043926	g	g.AD	0.01128962668063	g.AD
23	ENSG00000005469	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
24	ENSG00000005810	g	0.00101500094711307	g	g.AD	0.00822974704902002	g.AD
25	ENSG00000005882	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
26	ENSG00000006025	g	0.00269979606326019	g	g.Ctrl	0.00177610354573438	g.Ctrl
27	ENSG00000006128	U	0.0832645166635506	g	U	0.0497870683678639	g.AD
28	ENSG00000006530	g	1.13349028856301e-19	g	g.Ctrl	1.75789074169589e-17	g.Ctrl
29	ENSG00000006607	U	0.157299207050284	g	U	0.135335283236613	g.AD
30	ENSG00000006625	g	4.59283371175397e-06	g	g.AD	7.58256042791191e-10	g.AD
31	ENSG00000006634	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
32	ENSG00000006704	U	0.157299207050284	g	U	0.606530659712633	U
33	ENSG00000006715	g	0.0143058784354296	g	U	0.0301973834223185	g.Ctrl
34	ENSG00000007168	g	3.67942625585709e-08	g	g.AD	0.00149116628840732	g.AD
35	ENSG00000007384	g	0.00269979606326019	g	g.Ctrl	0.00012340980408668	g.Ctrl
36	ENSG00000008056	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
37	ENSG00000008086	g	0.00467773498104727	g	g.AD	0.000335462627902511	g.AD
38	ENSG00000008128	U	0.102470434859749	g	U	0.0301973834223185	g.Ctrl
39	ENSG00000008130	U	0.317310507862914	a	U	0.367879441171442	a
40	ENSG00000008277	g	1.02132516785757e-20	g	g.AD	3.56267104817254e-06	g.AD
41	ENSG00000008283	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
42	ENSG00000008441	g	0.000911118877153712	g	g.Ctrl	1.67017007902456e-05	g.Ctrl
43	ENSG00000008869	g	2.3800765057439e-06	g	g.Ctrl	5.24905702214881e-09	g.Ctrl
44	ENSG00000009830	U	0.157299207050284	g	U	0.135335283236613	g.AD
45	ENSG00000009844	g	1.21646975274022e-10	g	g.Ctrl	4.93490032825412e-06	g.Ctrl
46	ENSG00000010017	U	0.0522036353413147	g	U	0.0921244052297693	g.Ctrl
47	ENSG00000010282	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
48	ENSG00000010626	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
49	ENSG00000011021	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
50	ENSG00000011052	U	0.157299207050284	g	U	0.135335283236613	g.AD
51	ENSG00000011132	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
52	ENSG00000011260	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
53	ENSG00000011275	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
54	ENSG00000011304	g	2.85549417959219e-09	g	g.Ctrl	1.20195161420638e-17	g.Ctrl
55	ENSG00000011454	U	0.317310507862914	g	U	0.367879441171442	g.AD
56	ENSG00000011566	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
57	ENSG00000011590	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
58	ENSG00000012048	U	0.317310507862914	g	U	0.367879441171442	g.AD
59	ENSG00000012174	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
60	ENSG00000013306	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
61	ENSG00000013392	g	8.03200116771824e-11	g	g.AD	7.96793581553195e-05	g.AD
62	ENSG00000013561	g	0.000182810632981835	g	g.AD	8.31528719103566e-07	g.AD
63	ENSG00000013810	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
64	ENSG00000014641	g	1.19894679821698e-24	g	g.AD	8.41985202922669e-42	g.AD
65	ENSG00000014824	g	3.84010567537189e-08	g	g.Ctrl	3.07487987958661e-09	g.Ctrl
66	ENSG00000015153	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
67	ENSG00000015285	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
68	ENSG00000015479	g	2.50062737897848e-17	g	g.AD	3.37813881648504e-11	g.AD
69	ENSG00000015568	g	2.5165130527219e-06	g	g.Ctrl	9.14357464068233e-11	g.Ctrl
70	ENSG00000018189	g	9.40366671649412e-09	g	g.AD	0.00102572772655807	g.AD
71	ENSG00000018236	g	0.000911118877153712	g	g.Ctrl	1.67017007902456e-05	g.Ctrl
72	ENSG00000020129	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
73	ENSG00000020181	U	0.317310507862914	g	U	0.367879441171442	g.AD
74	ENSG00000021300	g	0.000182810632981835	g	g.Ctrl	8.31528719103566e-07	g.Ctrl
75	ENSG00000021762	g	0.00156540225800255	g	g.Ctrl	4.53999297624849e-05	g.Ctrl
76	ENSG00000022355	g	7.61137898310212e-18	g	g.AD	5.17555500580187e-17	g.AD
77	ENSG00000023228	g	0.00467773498104727	g	U	0.0301973834223185	g.AD
78	ENSG00000023516	g	6.33424836662398e-05	g	g.AD	2.53347564229581e-05	g.AD
79	ENSG00000023572	g	0.000162131752043926	g	g.AD	0.00110661263146517	g.AD
80	ENSG00000023734	g	1.78187233275801e-10	g	g.AD	3.66559557045539e-13	g.AD
81	ENSG00000024422	U	0.102470434859749	g	U	0.22313016014843	g.Ctrl
82	ENSG00000025156	g	7.90464039235209e-07	g	g.AD	0.0111089965382423	g.AD
83	ENSG00000025434	g	0.0081509715935027	g	g.Ctrl	0.0119315225357561	g.Ctrl
84	ENSG00000026036	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
85	ENSG00000028203	g	0.00269979606326019	g	g.Ctrl	0.00012340980408668	g.Ctrl
86	ENSG00000028277	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
87	ENSG00000028310	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
88	ENSG00000028839	U	0.157299207050284	g	U	0.606530659712633	U
89	ENSG00000029363	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
90	ENSG00000029639	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
91	ENSG00000031823	g	0.00269979606326019	g	g.Ctrl	0.00012340980408668	g.Ctrl
92	ENSG00000033122	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
93	ENSG00000034533	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
94	ENSG00000034693	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
95	ENSG00000036257	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
96	ENSG00000038274	U	0.157299207050284	g	U	0.135335283236613	g.AD
97	ENSG00000040341	g	6.70629323835135e-09	g	g.Ctrl	0.00141074638492765	g.Ctrl
98	ENSG00000040531	g	0.00156540225800255	g	g.AD	0.0247235264703394	g.AD
99	ENSG00000040731	g	0.000182810632981835	g	g.Ctrl	0.000979399010928559	g.Ctrl
100	ENSG00000041353	g	0.0143058784354296	g	U	0.0301973834223185	g.Ctrl
101	ENSG00000041357	g	9.61658826888349e-05	g	g.AD	1.40751585755612e-06	g.AD
102	ENSG00000042813	g	0.0143058784354296	g	g.Ctrl	0.00247875217666636	g.Ctrl
103	ENSG00000043355	U	0.317310507862914	g	U	0.367879441171442	g.AD
104	ENSG00000044524	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
105	ENSG00000047188	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
106	ENSG00000047249	g	0.00156540225800255	g	g.AD	0.00551656442076077	g.AD
107	ENSG00000047315	g	0.000911118877153712	g	g.Ctrl	1.67017007902456e-05	g.Ctrl
108	ENSG00000047578	U	0.0832645166635506	g	U	0.0497870683678639	g.AD
109	ENSG00000047597	g	3.1792772113682e-11	g	g.AD	0.000395467069186282	g.AD
110	ENSG00000047621	g	0.00269979606326019	g	g.Ctrl	0.00012340980408668	g.Ctrl
111	ENSG00000047644	U	0.0455002638963585	g	U	0.173773943450445	g.AD
112	ENSG00000047932	g	5.73303143758388e-07	g	g.Ctrl	1.3887943864964e-11	g.Ctrl
113	ENSG00000048052	g	0.00156540225800255	g	g.Ctrl	4.53999297624849e-05	g.Ctrl
114	ENSG00000048540	g	0.00467773498104727	g	U	0.135335283236613	U
115	ENSG00000048544	U	0.0832645166635506	g	U	0.0497870683678639	g.AD
116	ENSG00000049130	g	0.00450869836490423	g	g.Ctrl	0.000611252761129572	g.Ctrl
117	ENSG00000049239	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
118	ENSG00000049540	U	0.0832645166635506	g	U	0.367879441171442	g.Ctrl
119	ENSG00000049883	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
120	ENSG00000050030	g	0.000311490976767384	g	g.Ctrl	2.26032940698105e-06	g.Ctrl
121	ENSG00000050130	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
122	ENSG00000050165	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
123	ENSG00000050438	U	0.317310507862914	g	U	0.367879441171442	g.AD
124	ENSG00000050555	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
125	ENSG00000050748	g	6.98279080135737e-12	g	g.AD	1.64562843390691e-13	g.AD
126	ENSG00000050820	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
127	ENSG00000051382	g	9.61658826888349e-05	g	g.Ctrl	0.000664956140456523	g.Ctrl
128	ENSG00000052802	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
129	ENSG00000053770	g	2.00786561242648e-05	g	g.Ctrl	0.00705128468070391	g.Ctrl
130	ENSG00000054277	g	9.63357008643094e-07	g	g.Ctrl	6.69158609129278e-10	g.Ctrl
131	ENSG00000055070	g	1.94455759197816e-17	g	g.Ctrl	1.51300184003925e-07	g.Ctrl
132	ENSG00000055130	g	0.000911118877153712	g	g.Ctrl	1.67017007902456e-05	g.Ctrl
133	ENSG00000055813	g	3.17259840260942e-19	g	g.Ctrl	6.30403026495985e-30	g.Ctrl
134	ENSG00000055917	g	0.0143058784354296	g	g.Ctrl	0.00247875217666636	g.Ctrl
135	ENSG00000056050	U	0.317310507862914	g	U	0.367879441171442	g.AD
136	ENSG00000056586	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
137	ENSG00000056972	g	0.0143058784354296	g	g.AD	0.00247875217666636	g.AD
138	ENSG00000057663	g	3.36296555352722e-55	g	g.Ctrl	4.82762921575008e-92	g.Ctrl
139	ENSG00000057757	g	0.000911118877153712	g	g.AD	1.67017007902456e-05	g.AD
140	ENSG00000058091	g	9.84400630995219e-10	g	g.Ctrl	1.27923059341364e-05	g.Ctrl
141	ENSG00000058272	g	9.63357008643094e-07	g	g.Ctrl	6.69158609129278e-10	g.Ctrl
142	ENSG00000058453	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
143	ENSG00000058804	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
144	ENSG00000059145	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
145	ENSG00000059758	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
146	ENSG00000060140	U	0.0577795711235975	g	U	0.0450492023935578	g.Ctrl
147	ENSG00000060982	g	0.00023856345402871	g	g.Ctrl	0.00218749111818289	g.Ctrl
148	ENSG00000061273	g	5.19206661710495e-11	g	g.Ctrl	9.98257332036077e-19	g.Ctrl
149	ENSG00000061676	g	2.76968801392237e-40	g	g.Ctrl	1.21107871086083e-50	g.Ctrl
150	ENSG00000061794	g	1.15351140862588e-07	g	g.AD	2.43750322132454e-05	g.AD
151	ENSG00000061918	g	9.72199765807269e-34	g	g.AD	5.72516856292918e-26	g.AD
152	ENSG00000062822	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
153	ENSG00000063169	U	0.317310507862914	g	U	0.778800783071405	g.Ctrl
154	ENSG00000064393	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
155	ENSG00000064419	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
156	ENSG00000064703	g	0.0253473186774683	g	g.AD	0.00673794699908547	g.AD
157	ENSG00000064763	g	5.69941162333185e-05	g	g.Ctrl	0.000288735359628203	g.Ctrl
158	ENSG00000064932	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
159	ENSG00000065000	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
160	ENSG00000065029	g	0.0455002638963585	g	g.AD	0.0183156388887342	g.AD
161	ENSG00000065054	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
162	ENSG00000065150	g	2.03455461454443e-07	g	g.Ctrl	1.87952881653908e-12	g.Ctrl
163	ENSG00000065154	g	1.25215199460413e-07	g	g.AD	8.6924021975349e-06	g.AD
164	ENSG00000065526	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
165	ENSG00000065548	g	1.67650053265594e-08	g	g.AD	1.12505974325242e-06	g.AD
166	ENSG00000065559	g	1.44010241989673e-29	g	g.Ctrl	1.12996263127043e-56	g.Ctrl
167	ENSG00000065609	g	0.000418377845864643	g	g.AD	4.23744268829448e-05	g.AD
168	ENSG00000065717	g	0.0455002638963585	g	g.Ctrl	0.0183156388887342	g.Ctrl
169	ENSG00000065923	g	0.0455002638963585	g	g.AD	0.0183156388887342	g.AD
170	ENSG00000066336	U	0.179712494879	g	U	0.0742735782143339	g.AD
171	ENSG00000066422	g	9.61658826888349e-05	g	g.Ctrl	9.60982494706498e-08	g.Ctrl
172	ENSG00000066557	g	3.33395011811598e-28	g	g.Ctrl	9.92114346731953e-50	g.Ctrl
173	ENSG00000066654	U	0.0832645166635506	g	U	0.173773943450445	g.AD
174	ENSG00000066739	g	0.00053200550513925	g	g.Ctrl	0.000911881965554516	g.Ctrl
175	ENSG00000066777	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
176	ENSG00000066933	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
177	ENSG00000067225	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
178	ENSG00000067369	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
179	ENSG00000067533	U	0.0832645166635506	g	U	0.0497870683678639	g.Ctrl
180	ENSG00000067715	g	3.38127256330157e-05	g	g.AD	0.0183156388887342	g.AD
181	ENSG00000067992	g	9.22553346635814e-07	g	g.Ctrl	0.0104359364627745	g.Ctrl
182	ENSG00000068079	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
183	ENSG00000068137	g	0.0253473186774683	g	U	0.0742735782143339	g.Ctrl
184	ENSG00000068305	g	0.0253473186774683	g	g.Ctrl	0.00673794699908547	g.Ctrl
185	ENSG00000068366	g	5.69941162333185e-05	g	U	0.126607102789084	g.Ctrl
186	ENSG00000068383	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
187	ENSG00000068724	U	0.317310507862914	g	U	0.367879441171442	g.AD
188	ENSG00000068912	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
189	ENSG00000069329	g	1.12364180844509e-09	g	g.AD	1.09903854772011e-12	g.AD
190	ENSG00000069345	g	1.51563641504273e-16	g	g.AD	1.56827375312985e-22	g.AD
191	ENSG00000069424	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
192	ENSG00000069509	g	9.61658826888349e-05	g	g.AD	9.60982494706498e-08	g.AD
193	ENSG00000069956	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
194	ENSG00000070047	g	0.00665560548294939	g	g.Ctrl	0.000255387828344531	g.Ctrl
195	ENSG00000070087	g	1.65941071261702e-19	g	g.AD	8.48119135523765e-10	g.AD
196	ENSG00000070366	g	0.00467773498104727	g	U	0.0301973834223185	g.Ctrl
197	ENSG00000070404	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
198	ENSG00000070614	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
199	ENSG00000070669	g	0.000311490976767384	g	g.AD	3.60440329017802e-05	g.AD
200	ENSG00000070718	g	7.74959959744183e-11	g	g.AD	2.46764890484486e-09	g.AD
201	ENSG00000070761	g	0.0455002638963585	g	g.AD	0.0183156388887342	g.AD
202	ENSG00000070961	g	3.84517354369418e-28	g	g.AD	2.6166431082946e-44	g.AD
203	ENSG00000071246	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
204	ENSG00000071553	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
205	ENSG00000071564	g	2.55278269914094e-26	g	g.Ctrl	8.85193205383382e-14	g.Ctrl
206	ENSG00000071626	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
207	ENSG00000071794	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
208	ENSG00000071994	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
209	ENSG00000072041	g	6.79884997479192e-08	g	g.Ctrl	1.99785156679021e-11	g.Ctrl
210	ENSG00000072133	g	9.63509000978023e-05	g	g.Ctrl	0.0233158780376726	g.Ctrl
211	ENSG00000072134	g	0.0081509715935027	g	g.Ctrl	0.000911881965554515	g.Ctrl
212	ENSG00000072163	U	0.157299207050284	g	U	0.135335283236613	g.Ctrl
213	ENSG00000072310	U	0.317310507862914	g	U	0.367879441171442	g.Ctrl
214	ENSG00000072401	g	0.0114120363860017	g	g.Ctrl	0.00744658307092434	g.Ctrl
215	ENSG00000072657	g	1.21315450836607e-07	g	g.Ctrl	2.13609655272018e-09	g.Ctrl
216	ENSG00000072756	g	0.000182810632981835	g	g.Ctrl	1.34802391129812e-05	g.Ctrl
