ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000213904	5.48224293778486e-07	LIPE-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000283411	5.83918954190211e-07		lncRNA	No_kegg	AD_cluster1
ENSG00000247556	8.53221620697586e-07	OIP5-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000259723	1.14014421214432e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000286971	1.1998927657544e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000288665	1.44524285271303e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000281649	1.45752591351412e-06	EBLN3P	lncRNA	No_kegg	AD_cluster1
ENSG00000253875	1.49933040539927e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000259287	1.83812486590448e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000247240	2.00648263844932e-06	UBL7-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000216895	2.4827670791357e-06	RBM33-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000255202	2.50091409784685e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000259685	2.75795377003311e-06	IDH2-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000276997	3.39618587018319e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000242086	3.57927796629039e-06	MUC20-OT1	lncRNA	No_kegg	AD_cluster1
ENSG00000272335	3.84904242863977e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000265479	3.85375727148351e-06	DTX2P1-UPK3BP1-PMS2P11	lncRNA	No_kegg	AD_cluster1
ENSG00000260244	4.21894927374345e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000236065	5.30576085868364e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000234661	5.50093236153149e-06	CHL1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000259168	5.62767102582185e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000260425	6.16091319725424e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000226471	6.21005005739042e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000254604	7.29873781320666e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000235837	7.50192228052259e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000285796	7.50703549997607e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000277935	8.44141426091211e-06		lncRNA	No_kegg	AD_cluster1
ENSG00000287949	1.01135892486304e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000250407	1.19089729998275e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000226919	1.20186801684954e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260878	1.2503010832847e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000226696	1.27290039772369e-05	LENG8-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000254860	1.27871518574073e-05	TMEM9B-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000177738	1.29775283325439e-05	ANXA2R-OT1	lncRNA	No_kegg	AD_cluster1
ENSG00000236859	1.29982771660498e-05	NIFK-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000226824	1.36072380304523e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000214719	1.37016218829106e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000197568	1.39134962440154e-05	ANKRD13C-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000249526	1.50493622959944e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000269082	1.71998842923755e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000255467	1.72990053181507e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000273329	1.84392355820097e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000285926	1.92870456414856e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000234758	2.02943357482309e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260482	2.04089223031087e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260032	2.39126691437792e-05	NORAD	lncRNA	No_kegg	AD_cluster1
ENSG00000271614	2.43808301714569e-05	ATP2B1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000227906	2.55846072867827e-05	SNAP25-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000272182	2.58603713975638e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000286670	2.61820796893265e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000237481	2.79946499867055e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000260534	2.99055726541118e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000286366	3.00025115245216e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000266053	3.10606630479973e-05	NDUFV2-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000261188	3.10964612204331e-05	TFIP11-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000238178	3.11283791375431e-05	MAGEB17-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000285582	3.15386792309559e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000253302	3.19541686054915e-05	STAU2-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000196204	3.21755938712489e-05	RNF216P1	lncRNA	No_kegg	AD_cluster1
ENSG00000260025	3.25838722067177e-05	CRIM1-DT	lncRNA	No_kegg	AD_cluster1
ENSG00000253738	3.36876505621971e-05	OTUD6B-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000286018	3.6412711429398e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000257599	3.78768172793123e-05	OVCH1-AS1	lncRNA	No_kegg	AD_cluster1
ENSG00000229591	4.02393232731999e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000258424	4.03950891917618e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000286037	4.15028900006355e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000232377	4.21682240848964e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000261604	4.23775405110781e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000259049	4.28539180049225e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000261167	4.42412150473007e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000273156	4.54846383391962e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000259007	4.55077549881004e-05		lncRNA	No_kegg	AD_cluster1
ENSG00000259580	4.66627428679375e-05		lncRNA	No_kegg	AD_cluster1
