Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000073969	ENSG00000023516	g	g.AD	0.54
ENSG00000111817	ENSG00000119801	g	g.AD	0.55
ENSG00000023516	ENSG00000007168	g	g.AD	0.53
ENSG00000073060	ENSG00000007168	g	g.AD	-0.52
ENSG00000007168	ENSG00000125868	g	g.AD	0.53
ENSG00000073969	ENSG00000162636	g	g.AD	0.54
ENSG00000119801	ENSG00000147669	g	g.AD	0.55
ENSG00000007168	ENSG00000147669	g	g.AD	0.52
ENSG00000073060	ENSG00000078668	a	a	-0.53
ENSG00000023734	ENSG00000078668	g	g.AD	0.55
ENSG00000125868	ENSG00000078668	g	g.AD	0.54
ENSG00000162636	ENSG00000078668	a	a	0.54
ENSG00000147669	ENSG00000078668	a	a	0.55
ENSG00000111817	ENSG00000100614	g	g.AD	0.52
ENSG00000119801	ENSG00000100614	g	g.AD	0.55
ENSG00000125868	ENSG00000100614	g	g.AD	0.53
ENSG00000073060	ENSG00000256206	g	g.AD	-0.52
ENSG00000007168	ENSG00000256206	a	a	0.53
ENSG00000078668	ENSG00000256206	g	g.AD	0.55
ENSG00000023516	ENSG00000126947	g	g.AD	0.52
ENSG00000125868	ENSG00000126947	g	g.AD	0.53
ENSG00000023516	ENSG00000143153	g	g.AD	0.52
ENSG00000007168	ENSG00000143153	g	g.AD	0.53
ENSG00000023734	ENSG00000070718	g	g.AD	0.54
ENSG00000078668	ENSG00000070718	g	g.AD	0.55
ENSG00000100614	ENSG00000070718	g	g.AD	0.53
ENSG00000126947	ENSG00000070718	g	g.AD	0.53
ENSG00000023734	ENSG00000166922	g	g.AD	0.54
ENSG00000129355	ENSG00000166922	g	g.AD	0.54
ENSG00000073969	ENSG00000096654	g	g.AD	0.53
ENSG00000007168	ENSG00000096654	g	g.AD	0.52
ENSG00000073969	ENSG00000138078	g	g.AD	0.55
ENSG00000023734	ENSG00000138078	g	g.AD	0.55
ENSG00000078668	ENSG00000138078	g	g.AD	0.55
ENSG00000143153	ENSG00000138078	g	g.AD	0.55
ENSG00000073969	ENSG00000022355	g	g.AD	0.55
ENSG00000078668	ENSG00000022355	g	g.AD	0.55
ENSG00000140280	ENSG00000022355	g	g.AD	0.54
ENSG00000023516	ENSG00000079785	a	a	0.55
ENSG00000147669	ENSG00000079785	g	g.AD	0.54
ENSG00000070718	ENSG00000079785	g	g.AD	0.55
ENSG00000073969	ENSG00000106052	g	g.AD	0.53
ENSG00000023516	ENSG00000106052	g	g.AD	0.53
ENSG00000119801	ENSG00000106052	a	a	0.55
ENSG00000125868	ENSG00000106052	g	g.AD	0.52
ENSG00000078668	ENSG00000106052	g	g.AD	0.54
