Node.1	Node.2	Phi	Phi_tilde	wTO
ENSG00000113805	ENSG00000182149	g	g.Ctrl	-0.51
ENSG00000157734	ENSG00000239779	g	g.Ctrl	0.52
ENSG00000189042	ENSG00000239779	g	g.Ctrl	-0.51
ENSG00000185760	ENSG00000153814	g	g.Ctrl	0.51
ENSG00000048740	ENSG00000157916	g	g.Ctrl	-0.52
ENSG00000151376	ENSG00000157916	g	g.Ctrl	-0.52
ENSG00000239779	ENSG00000063177	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000189171	g	g.Ctrl	0.51
ENSG00000104825	ENSG00000145687	g	g.Ctrl	-0.53
ENSG00000239779	ENSG00000163344	g	g.Ctrl	0.51
ENSG00000239779	ENSG00000142534	g	g.Ctrl	0.51
ENSG00000104825	ENSG00000115268	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000115268	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000149932	g	g.Ctrl	0.53
ENSG00000182149	ENSG00000159176	g	g.Ctrl	0.51
ENSG00000182149	ENSG00000079102	g	g.Ctrl	-0.51
ENSG00000153814	ENSG00000229151	g	g.Ctrl	0.53
ENSG00000104825	ENSG00000149806	g	g.Ctrl	0.52
ENSG00000149932	ENSG00000149806	g	g.Ctrl	0.52
ENSG00000157916	ENSG00000161671	g	g.Ctrl	0.53
ENSG00000185760	ENSG00000144331	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000168936	g	g.Ctrl	0.53
ENSG00000157916	ENSG00000105767	g	g.Ctrl	0.53
ENSG00000149932	ENSG00000130717	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000162244	g	g.Ctrl	0.52
ENSG00000104825	ENSG00000131408	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000131408	g	g.Ctrl	0.53
ENSG00000170579	ENSG00000227198	g	g.Ctrl	-0.52
ENSG00000151376	ENSG00000227198	g	g.Ctrl	-0.51
ENSG00000229151	ENSG00000227198	g	g.Ctrl	-0.52
ENSG00000229151	ENSG00000117362	g	g.Ctrl	-0.52
ENSG00000239779	ENSG00000125611	g	g.Ctrl	0.51
ENSG00000182149	ENSG00000109099	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000106330	g	g.Ctrl	0.52
ENSG00000182149	ENSG00000108387	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000105373	g	g.Ctrl	0.52
ENSG00000153814	ENSG00000099203	g	g.Ctrl	-0.52
ENSG00000153814	ENSG00000117069	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000135446	g	g.Ctrl	0.53
ENSG00000104825	ENSG00000177600	g	g.Ctrl	0.53
ENSG00000213204	ENSG00000177600	g	g.Ctrl	-0.52
ENSG00000157916	ENSG00000134775	g	g.Ctrl	-0.52
ENSG00000182149	ENSG00000167995	g	g.Ctrl	0.52
ENSG00000182149	ENSG00000125457	g	g.Ctrl	0.52
ENSG00000151376	ENSG00000115649	g	g.Ctrl	-0.51
ENSG00000157916	ENSG00000112242	g	g.Ctrl	-0.53
ENSG00000104825	ENSG00000149357	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000149357	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000106628	g	g.Ctrl	0.54
ENSG00000161671	ENSG00000100226	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000234171	g	g.Ctrl	0.51
ENSG00000104825	ENSG00000145592	g	g.Ctrl	0.52
ENSG00000160307	ENSG00000145592	g	g.Ctrl	0.51
ENSG00000182149	ENSG00000257522	g	g.Ctrl	-0.51
ENSG00000160307	ENSG00000253133	g	g.Ctrl	0.51
ENSG00000182149	ENSG00000253133	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000262560	g	g.Ctrl	0.51
ENSG00000239779	ENSG00000271853	g	g.Ctrl	0.52
ENSG00000239779	ENSG00000257949	g	g.Ctrl	0.51
ENSG00000239779	ENSG00000268193	g	g.Ctrl	0.53
ENSG00000213204	ENSG00000268193	g	g.Ctrl	-0.53
ENSG00000213204	ENSG00000274049	g	g.Ctrl	-0.53
ENSG00000106603	ENSG00000274049	g	g.Ctrl	-0.52
ENSG00000071889	ENSG00000274049	g	g.Ctrl	0.53
ENSG00000106330	ENSG00000274049	g	g.Ctrl	0.53
ENSG00000161677	ENSG00000274049	g	g.Ctrl	0.53
ENSG00000149932	ENSG00000171858	g	g.Ctrl	0.51
ENSG00000239779	ENSG00000268983	g	g.Ctrl	0.54
ENSG00000149932	ENSG00000168028	g	g.Ctrl	0.51
ENSG00000161671	ENSG00000268854	g	g.Ctrl	0.53
ENSG00000134775	ENSG00000268854	g	g.Ctrl	-0.53
ENSG00000182149	ENSG00000248223	g	g.Ctrl	0.51
ENSG00000153814	ENSG00000181924	g	g.Ctrl	-0.51
ENSG00000166441	ENSG00000181924	g	g.Ctrl	0.51
ENSG00000135446	ENSG00000181924	g	g.Ctrl	0.51
ENSG00000170579	ENSG00000204439	g	g.Ctrl	-0.52
ENSG00000104825	ENSG00000260669	g	g.Ctrl	0.53
ENSG00000239779	ENSG00000260669	g	g.Ctrl	0.53
ENSG00000149932	ENSG00000260669	g	g.Ctrl	0.52
ENSG00000149932	ENSG00000169738	g	g.Ctrl	0.52
ENSG00000182149	ENSG00000196743	g	g.Ctrl	0.52
ENSG00000182149	ENSG00000264672	g	g.Ctrl	0.52
ENSG00000149932	ENSG00000161016	g	g.Ctrl	0.53
