"BM_36_279"	"BM_36_544"	"BM_36_304"	"BM_36_327"	"BM_36_418"	"BM_36_328"	"BM_36_383"	"BM_36_495"	"BM_36_455"	"hB_RNA_12292_resequenced"	"BM_36_307"	"BM_36_375"	"hB_RNA_9105"	"BM_36_507"	"BM_36_368"	"hB_RNA_9085"	"BM_36_539"	"BM_36_403"	"BM_36_291"	"BM_36_492"	"BM_36_345"	"BM_36_352"	"BM_36_377"	"BM_36_347"	"BM_36_465"	"BM_36_297"	"BM_36_505"	"hB_RNA_12322_resequenced"	"hB_RNA_10892"	"BM_36_290"	"BM_36_545"	"BM_36_382"	"BM_36_390"	"BM_36_348"	"BM_36_471"	"BM_36_278"	"BM_36_1107"	"BM_36_281"	"BM_36_388"	"hB_RNA_12252_resequenced"	"BM_36_349"	"hB_RNA_10802"	"hB_RNA_10722"	"BM_36_541"
"ENSG00000172771"	101.999923359634	95.7544668641478	82.4916207193212	77.3889021088846	97.6348998186893	43.2694529851129	50.4363842341394	120.403458653609	47.7512810678509	73.0663741407822	56.8540918119177	51.5467531294115	111.942586472791	66.9926581861611	22.6200840486075	181.825660092951	82.8298360354799	45.276571934448	149.721323694099	64.2170253767858	87.0540553479114	64.1435858740916	78.6622232056427	34.649463604899	107.019299517943	53.7260700955005	61.433046772863	78.1945017266895	50.3076090640065	30.0290771755861	63.4670263839448	39.3401268154169	31.6933374711784	64.2398535906217	102.392076640961	61.3243050422873	119.392861018297	48.005466782071	96.4501568606643	68.0106915657759	72.5790089409036	70.3510505293661	85.1393655859634	85.5074051304102
"ENSG00000158286"	472.783428545331	688.729376343962	352.211414307214	139.93609696401	319.870528929801	253.769494534311	346.132048665662	259.558275622123	233.613959685794	379.723732277096	170.562275435753	355.964370667257	335.827759418374	257.392844609987	198.733595569908	340.225928394785	440.569041671475	337.687765677758	319.775172828137	208.27143365444	346.688957262735	256.574343496366	414.06920270748	196.910366340036	239.756415199113	285.161448968426	367.875538910438	340.70461466629	231.41500169443	196.742229771081	347.244879985721	163.572106232523	139.450684873185	332.879241333222	532.904217063183	359.185215247683	362.105979798913	314.299942893937	294.611388228938	273.459655670724	339.854089485184	285.31259381354	206.462961545961	330.369519822039
"ENSG00000171055"	2543.10619727736	2063.55268498975	2694.41731945019	3043.61010896723	2563.61351238216	3477.92846426286	2985.63615691896	2363.65806127371	2409.60310619309	2229.63147756872	3676.56460383734	2338.08291553029	2169.37012405892	2337.6911777592	3659.60645500685	1498.10957978425	2430.62725745494	3057.11186749054	2243.04723830604	2637.23702864935	2425.29543671023	3265.21396663828	2817.63713399101	4124.1312778514	2499.60580967103	2780.32412744215	2354.6925457175	2272.10880731552	2955.21269244564	3588.99246519246	2576.61536997808	2976.39117353483	3782.07160489396	2598.79407707515	1986.17357756955	2569.05035052153	2384.71530297071	2929.23923723052	2979.4330273867	2218.84881233344	2821.36496660751	2651.84376578749	3107.58684388766	2559.78077358582
"ENSG00000179889"	5354.99597638079	6080.84788654707	4821.58888743718	3800.53717890892	5196.03638273177	4671.93147771692	5019.90365436258	3615.06450039482	4696.52215179647	4941.94385097655	4335.65092743476	3770.69362042884	3850.43896574516	5298.29654567043	2824.27906549756	3607.51033583192	5543.88661189194	3717.39520820124	4920.47115646532	3851.28592732669	5516.47803362554	3577.78667875488	4804.95080081134	2822.66362049665	4354.60700131537	5043.01823338727	4144.9238028514	5110.56921999435	3732.82459254928	2233.54205061169	5252.44356280922	3122.36374934993	3490.49290015912	5239.44139209571	4550.0479057327	5386.68315183948	5173.16699122699	3298.79075510005	3051.33223522829	5684.56030337277	4801.73506770931	4803.41339447727	4129.25923091922	4006.41060038304
"ENSG00000163444"	1106.8370061863	498.977405310422	826.769951479039	1104.64706845833	546.75543898466	891.116842558272	707.098327988425	493.456797760691	733.165823164849	750.590934355308	1248.68431275804	546.590099221307	517.251951288071	546.519053623946	1211.79021688969	690.491310414335	515.544324289797	1077.20510727374	608.127351794549	562.332870866989	545.233294021129	964.190092424836	954.871987246274	1710.50034966624	576.576846240081	665.37671425966	560.847579949902	608.800049157797	1634.27861445073	1664.02506969541	631.752239637887	2266.19835786704	1704.04511136703	590.811986810718	408.404760238379	1156.40118079742	662.159091042264	1327.84932646257	826.84089017824	677.273136842519	859.427629681176	584.304558563346	851.393655859634	538.696652321584
"ENSG00000203506"	249.486299028294	366.326721856419	314.209656447751	499.31743689431	881.503666934452	442.050087253316	337.231510271402	426.346673265237	335.728237661659	170.488206328492	357.970207704667	434.743370732962	204.584727001998	511.259759841756	463.711722996453	147.245319829874	334.175545384522	282.035312674999	312.381527213614	369.681794736632	528.433388603111	352.280646229138	356.165066181104	292.407668470611	515.18593023754	429.808560764004	457.495513026144	146.335424659947	81.9295347613821	321.000480152817	272.105756795533	346.814275872754	512.375622450718	491.532213079757	321.138785828469	269.388911435762	293.769276452914	255.425313821586	391.061545089603	279.127213301206	450.450674537989	279.450006269426	195.820540847716	420.54096523229
"ENSG00000181315"	423.161844208211	386.531792846101	570.026367891938	488.71621742734	582.089974157138	664.244575555247	728.855199618837	534.907168772589	548.772414733609	580.102728026817	693.83049081581	556.315901698555	510.496795207816	575.901798442438	786.855780833702	577.826330847537	471.273205029454	499.92881510953	534.190895649315	586.63120479334	510.106219056183	586.455642277409	582.318957897327	736.934933255414	408.166630719597	546.55944385615	477.732281374852	672.47271484953	646.812116537227	793.181831603411	455.211775443466	842.706927046036	789.164103032342	527.545464335105	286.232396064505	534.397515368503	441.439394028176	556.138803852672	590.976415673525	483.159287998533	648.602889424266	568.670991779042	815.209425485599	443.861166631493
"ENSG00000151923"	1288.7828154224	1119.18523655894	1635.0024600998	1476.74987174899	1441.2770925616	1929.58371420098	1422.10824566064	1383.65286092098	1422.98817582196	1173.49025135196	1979.36467789639	1481.23971728479	1185.0473809361	1539.65582848897	1677.11766017532	1329.66985785765	1291.7170119671	1407.34677762909	1550.81716764628	1738.19867337435	1339.41064105471	1673.84214566677	1359.10841205305	1748.53024874478	1279.25395237727	1505.3631563297	1178.79175631223	1580.64599918951	1236.12982271559	1522.16356717626	1304.35681809762	1851.05649331488	1799.12512378056	1413.27677899368	974.470047577328	1297.66609776983	1486.91240728708	1474.58301738135	1383.62134114662	1151.93108839533	1499.96618477867	1399.20422719517	1873.06604289119	1424.08696544465
"ENSG00000176049"	4472.14528838287	4220.22439280152	4439.71756455672	4552.16363911713	4199.23054839239	6001.59007350269	4450.26919712994	4655.27143007436	4786.88226827871	3191.67207042235	4855.7605821586	4816.21738673294	3656.46948401213	4771.75775852306	5110.5232746961	3287.36331468666	4290.01426638934	4784.22443440667	4651.52729723703	5491.42346735541	5185.06171765192	5161.01328247254	5952.1082225603	4340.47914816491	3662.71478582728	4759.92317173021	4105.89574960746	3829.29645598702	2676.36480220515	4717.67157282656	4565.97836939207	4114.14905169649	5713.25230147109	4742.06919232589	4096.84661196391	4371.54688801448	4767.07416789502	4888.40574005354	4641.88300382143	3298.51854094013	4919.24393932791	5237.2448727417	5097.71951445956	4145.55446873161
"ENSG00000087365"	1329.44494703199	889.023123546033	1106.68533863898	1446.00633529478	849.888556516972	896.964065934638	957.302351738175	1005.66495383629	1065.22088535975	1835.51588371844	1176.03741766504	967.717346486122	1311.46530186658	961.403410461049	878.951837317318	1430.06439410529	1020.37789391983	1025.32570193219	1016.62627199697	1252.23199484732	789.595554646845	908.191723804598	753.846305720742	1226.25296806606	1129.09509026295	814.15660067797	1066.04404694086	1481.22727556557	2299.77641435458	1171.13400984786	987.75119222829	1466.97262361699	872.623225039779	908.117930303789	1113.51383347045	1084.12610699758	1060.39712088619	1091.44504664897	951.34927448928	1372.9658359841	859.427629681176	771.907359974989	983.359672517877	1160.56868963366
