"hB_RNA_4697"	"hB_RNA_4442"	"hB_RNA_4746"	"hB_RNA_16015"	"hB_RNA_4663"	"hB_RNA_16605"	"hB_RNA_4581"	"hB_RNA_16945"	"hB_RNA_16025"	"hB_RNA_4674"	"hB_RNA_16395"	"hB_RNA_16935"	"hB_RNA_16225"	"hB_RNA_16845"	"hB_RNA_16385"	"hB_RNA_4701"	"hB_RNA_16775"	"hB_RNA_4831"	"hB_RNA_4498"	"hB_RNA_17105"	"hB_RNA_4688"	"hB_RNA_16435"	"hB_RNA_16345"	"hB_RNA_4591"	"hB_RNA_16485"	"hB_RNA_17145"	"hB_RNA_9227"	"hB_RNA_16065"	"hB_RNA_16535"	"hB_RNA_16315"	"hB_RNA_16115"	"hB_RNA_16295"	"hB_RNA_4389"	"hB_RNA_17045"
"ENSG00000006652"	552.58954421519	588.641076305631	523.386361666116	629.073257180033	522.129184649214	545.334944347346	497.170098451642	452.236861583976	535.219970103483	600.887502193403	557.276794971259	486.151013684522	486.071053591224	493.649303330156	471.801822130113	989.022823812896	667.925446159048	788.897230454278	525.23652245186	752.308395974456	624.399317101566	626.314760028777	557.420001552056	570.197485150955	664.218681313829	541.282869705208	680.766280010663	528.557585215678	574.047892991613	478.602037819551	563.274332327614	520.622112278525	850.008165208447	568.750981943741
"ENSG00000281120"	671.134936301895	299.325989481945	499.642996146746	443.009336042277	609.325809047372	319.067864187931	405.966635201005	215.43567028213	303.487367663074	544.21697429193	501.181276005505	385.011204893512	413.490308032353	372.383278816444	286.961714325891	799.149669302036	449.445160032256	633.463947130573	545.098407754662	597.700815171439	512.438060241975	631.436492879479	344.383046935897	569.181090346765	452.45326589996	483.688741384409	471.628049787952	308.661490603049	460.114723390224	280.352658136975	514.519463783604	476.933543415992	609.439816564547	389.53841870545
"ENSG00000181915"	350.969034839377	475.517876267304	595.648778464199	370.862101315392	449.640424607371	578.701518380071	578.363425491843	774.500136964684	722.252882733051	501.938961413052	472.673717186843	452.154439300989	712.610956396183	744.766557632888	945.646076390659	516.743395187783	1025.29677132358	625.643404573405	463.4439903987	449.139340880272	471.529139466355	466.809365535467	584.650288984197	321.180758124246	508.635927132211	497.450170275219	616.744372799629	877.5669830871	499.553128252243	874.099537691355	647.298680243888	597.077107787959	631.491915190238	796.500281059068
"ENSG00000147119"	222.155931627053	244.26602486152	269.435582632853	258.211155864641	126.067408768422	168.918281040669	244.692218477318	142.436806798103	163.506760097547	173.60971246007	154.492576823715	261.773622753204	197.947487887829	188.874516056755	166.458218630321	231.933663421493	181.02652279077	138.814630389724	209.653233751793	148.561474291167	144.257773261396	138.286786968971	258.687730605336	365.902129508634	152.590778139663	150.356352695891	169.658054109241	227.965676066304	135.843394524733	128.161215148332	84.024347916274	172.023739896226	190.449942676421	136.898485807027
"ENSG00000204576"	199.753652807518	292.318357621164	276.661824312661	221.504668021138	301.511219304475	262.761770507708	280.283813892201	258.166712321561	281.137522757654	257.266206028912	235.417259921852	282.171567383324	261.730567318351	294.043280679267	309.428467760659	324.466783024887	179.465949318436	274.696557320511	248.273566285018	305.760243599262	266.984535588256	269.256812722652	289.922472071615	237.836384180612	262.629008127089	244.137942174006	209.138230222712	238.052652883397	276.068834034134	315.396740404097	217.840902005155	295.808018340071	252.596766076095	273.796971614055
"ENSG00000226711"	1296.53188668057	1445.5743438526	1160.32794972922	887.284413044675	1462.38194171369	961.374414317884	1168.96146190755	905.363953210441	971.630099572476	1293.52728765586	1270.88536410937	1271.47188194414	1078.81380898867	848.862171595986	847.609334129857	862.841297080995	756.878134082098	861.237249108078	1423.43511336744	859.410854184367	1090.54570383429	1294.3350589847	1339.08942901586	1562.19881404103	1008.628367921	959.222561944634	1013.68019750804	969.358472122647	1091.12920118253	1280.61089198997	956.425293565489	1195.97457261186	858.027110163243	1117.589456861
"ENSG00000285454"	221.222503342905	65.0708672786837	144.524833596166	164.546324815703	186.999989673159	153.27769946283	146.815331086391	102.376454886136	199.97229652218	165.51392275986	110.351840588368	221.827647852553	146.261199383785	154.533694955527	178.712811412922	473.481157451131	177.905375846101	238.526547993611	166.619148929057	245.299178480764	241.147322466812	201.21093342046	70.4783910008347	167.705142691457	217.416925715337	161.059686277633	202.736039501608	183.582978071094	227.866339202778	224.28212650958	99.5844123452136	141.077670285265	255.603870434144	149.343802698575
"ENSG00000167645"	262.293347845386	279.304184165427	292.14662791225	246.819487223554	253.18537927658	392.057244884517	348.130292651821	405.944899374593	365.83167187293	379.602583720982	320.939936377837	308.518912530562	433.285056821136	389.553689367058	508.565600477914	283.608002940271	407.309676279232	288.382506795554	218.480738330816	228.8883179486	278.826591602251	278.768602302528	319.555431924239	331.344706166152	428.849899346766	425.075247960587	335.047981071079	453.913956769189	343.990531296501	465.585664406048	495.847386468876	349.508550900269	351.831209891704	308.643858910389
"ENSG00000012174"	484.449279472439	469.511334672348	653.458711902666	403.771366278532	560.999969019477	497.370494175305	576.138950778412	710.403573905538	559.922430262105	474.952995745684	527.849637481027	548.19476193447	599.341004993704	563.404096192026	726.08462236907	280.002816462217	825.543366864804	415.466323349527	583.718740287887	334.263317155126	401.55335392911	469.004393900054	464.516667960047	492.951480032466	398.597697144785	449.540010433139	504.706035180319	647.583911657377	559.806246791439	793.998778223648	613.066538500221	633.484248506737	338.800424340159	728.051038155554
"ENSG00000164074"	1300.26559981716	1000.08917556008	946.637660054889	1351.811345409	1133.55611717606	960.331708879362	1213.45095617615	777.170827092149	726.958113239455	877.043884189473	973.854993192348	1133.78575569083	771.995202762532	757.644365545849	603.538694543067	784.728923389819	1003.44874271091	822.13453632224	1181.78217551669	841.272534648818	1047.48368196521	1047.76020602945	929.033335920093	1105.83754695943	557.837310933235	819.569542830484	933.652813494248	726.262330830703	888.459620641599	712.896759262594	687.754847759131	845.555843193619	1011.38943242373	976.957375986513
