"BM_10_650"	"BM_10_623"	"hB_RNA_13599"	"hB_RNA_12464"	"BM_10_593"	"BM_10_811"	"hB_RNA_12545"	"hB_RNA_13655"	"BM_10_740"	"BM_10_722"	"hB_RNA_13262"	"BM_10_657"	"BM_10_639"	"BM_10_748"	"hB_RNA_13193"	"BM_10_744"	"BM_10_787"	"BM_10_588"	"BM_10_624"	"BM_10_703"	"BM_10_616"	"BM_10_621"	"BM_10_631"	"BM_10_743"	"BM_10_699"	"BM_10_566"	"BM_10_739"	"BM_10_719"	"BM_10_697"	"BM_10_671"	"hB_RNA_13444"	"hB_RNA_12638"	"BM_10_656"	"BM_10_729"	"BM_10_647"	"BM_10_584"	"BM_10_813"	"hB_RNA_12924"	"BM_10_576"	"BM_10_735"	"BM_10_666"	"hB_RNA_13081_resequenced"	"hB_RNA_13389"	"BM_10_792"	"BM_10_780"	"BM_10_659"
"ENSG00000111652"	623.289975318204	947.029244269639	1003.24012046161	372.354979070918	1226.63814218444	675.640774043703	890.38807113136	749.205556200587	1004.16399039255	594.334312255606	559.44201242119	951.196632458091	1258.94421485962	738.309392991064	847.14916648915	564.217217781304	754.076219802523	1081.65195660245	1666.19722146898	723.183629013148	1385.36511417245	736.184239943301	761.078847719815	587.277369794968	726.993922878426	973.584241207427	1033.81446839888	665.984533891164	729.763506667198	792.424718160603	581.744095509896	836.168251279472	859.204761932595	601.835000754881	471.534644168901	790.835825183788	1273.85711595146	1139.78221200399	1219.92793985934	570.416006009787	879.305173006048	490.279521930222	529.987213898317	617.931539538769	691.82381143288	543.923249094273
"ENSG00000288849"	750.761126828979	1115.41067178713	721.920813381145	612.34939917522	1315.8307514285	815.471190649817	819.251873704087	839.850179049547	1075.45352317904	827.822792070308	772.064833341393	832.74573105765	1474.5543996977	978.301611028791	757.823914240294	815.702194785799	1102.11139817292	1354.98517241775	1602.71373999449	1325.07089331253	1363.54834072091	1050.93732961777	909.351203545023	850.408139378428	963.242938767585	1309.96877548682	1105.42861452242	679.438766899067	984.268529617384	811.835698288457	695.437306757907	956.392765599137	833.091676030722	1193.57209881253	760.860350895486	1073.12027945078	1252.76676634961	738.362564345652	1310.25848197106	947.605244322524	1098.39131038803	738.396688898958	708.010654005918	875.988176789335	880.191680882426	765.690614077341
"ENSG00000169252"	43.0764580967447	53.9564795359912	55.4714126637543	58.1804654798309	42.1986538358993	37.1231194529507	23.7120658090908	73.0706653578351	56.0132043322417	44.0247638707856	45.3130601961089	43.9704103683457	50.2481362970095	56.6648292589079	31.6960572495941	31.5516207311913	41.8931233223624	42.0512639715854	47.8567783423095	37.6753860095795	70.9045137174875	63.373105303584	35.4907234687997	31.7790784521087	48.978454513606	56.9109786092024	37.6433332187868	47.930705090652	53.8200586167059	28.5455590115491	117.842598519836	27.0167447909361	43.8025957063676	44.43077186781	79.509354520283	67.0013685225154	50.6168390444288	60.3169418761237	48.4246205135005	56.9092534998164	45.3962266647343	71.457744086996	62.8798389370885	37.7429775570555	37.6735738899093	52.0195053663986
"ENSG00000172986"	477.35748462311	493.980872993299	533.31801032438	298.174885584133	467.062373138249	450.427182695802	580.945612322725	628.037744024937	364.595039108046	511.00172350019	496.700852149655	458.548565269891	535.371052182683	474.429060657915	354.419549245461	470.490344432765	480.15964423323	490.598079668496	567.444657487384	350.105416332922	501.785789385296	461.567450294437	574.161037450804	518.634560338413	425.440300971127	594.516472971132	364.497641167277	428.012787563892	428.736060166979	477.281746673101	532.781325702359	513.318151027786	326.834752578281	449.356670026715	454.970195310508	514.043286369462	402.825677395246	465.896378629369	463.758865686986	602.179310288755	379.946679693972	504.174083280472	619.815555237015	495.047426562309	443.520710794841	479.127023111566
"ENSG00000238198"	361.314781178818	226.989327703135	230.60258693075	590.531724620283	174.548977230311	363.806570638917	256.090310738181	391.251790460307	182.297519554023	345.122702487052	431.345476866806	314.971715087538	181.806893147362	272.213395459459	298.711327412841	397.179225674997	193.352876872442	225.441498514333	148.453679755736	231.56578718083	176.71586495743	339.046113374174	284.714470494148	355.925678663617	211.279607705751	194.107087756387	135.883251619035	348.128279079472	283.695563216873	333.412129254894	665.561718400766	252.606563795252	216.485905702625	182.772038819855	601.84164185492	248.234578460467	231.993845620299	226.708505672327	186.24854043654	307.045274696684	200.335522020458	790.005059628455	582.250976131741	284.388947174093	325.362683594671	532.05915137913
"ENSG00000159200"	858.012716375976	760.042134153531	657.732464441658	951.250610595235	910.148238415192	921.890799748275	771.827742085906	791.753032231732	920.653394842663	889.142998890331	949.831454110744	811.209203530297	865.181546786691	971.635160527743	847.14916648915	956.756499231125	1144.00452149528	784.956927469594	962.995580520759	927.182060577212	895.578550185496	791.107597873073	983.487381457626	849.136976240343	882.572543098116	888.217773293624	807.954469086156	924.978519293284	966.024441950704	873.494105753403	753.528728563461	810.502343728082	877.736629346828	1107.73992588608	753.13027476157	833.672765714577	1236.94900414823	822.59829351748	866.055713029913	944.958302299276	858.580808659104	799.929746307205	806.005208193588	1018.18265037638	875.054375351984	903.496672153239
"ENSG00000136169"	1323.06264154287	926.562993411159	1072.18316191514	868.343447286476	1257.32807224691	1356.2312973478	857.191178998633	1072.93635208973	1570.40656509667	1333.32142008665	977.716414231426	1191.68785651353	1108.19980596859	1326.62364970855	1037.32550998671	1468.07835284543	1134.33687765166	990.540884664012	1037.22242039863	1563.9879753245	930.485387707951	1100.57959543891	1095.48033107028	1066.50587285277	1191.80905983108	969.51917130677	1596.62820652366	1215.08541852618	1282.5593629676	1293.68473440341	892.948140896788	1172.52672392663	1293.01893094758	1468.23505217718	1151.78134395354	1067.62836399811	1152.58760574085	1046.18695736863	1157.5346788131	1437.28951862327	1523.73421674673	750.306312913458	948.913933050608	1192.85363953578	1373.37301180487	1236.60403107842
"ENSG00000029534"	1154.27325471481	1581.4830208825	1082.48499569555	1589.78121923638	1300.48578639726	1048.10940588831	1142.92157199818	939.744253209625	986.850818144403	933.953919258809	1070.08534463119	1470.76535905548	979.381856552622	1000.52311269895	1497.39858339749	962.324432301335	1089.22120638142	1399.37261772109	825.285259168399	701.129744519735	1507.53904550104	1440.68192723481	1111.25398594531	1333.45013185048	943.075339850217	1371.96109147184	765.720485474834	1321.03750346341	900.345726350656	983.109052357752	997.512700146784	1283.29537756946	1265.22112982623	899.723130323152	1065.6462098899	1313.66617627751	815.142012111322	1233.37746663936	1012.2608172726	774.230541799827	989.835116189749	976.589169188945	890.933821822903	1163.01035495578	1125.06991116684	850.564543885676
"ENSG00000065357"	483.511264351216	355.368537633597	488.148431441038	589.077212983288	268.536888046632	445.477433435408	449.343647082271	439.348937278122	318.766053745303	485.058559076335	501.929282172283	452.267078074413	273.167140960106	384.987516435521	650.249416908339	469.56235558773	212.688164559686	350.427199763212	217.797174904796	231.56578718083	319.615731064982	355.945608121797	328.88070414421	367.366146906376	339.968096035618	293.701300322491	288.292844651197	472.579934402569	449.716760983661	385.935957836144	359.336937740064	444.425451810898	480.986195160306	302.937080916886	481.473313483936	397.61467877296	323.736866388326	519.973636863135	282.166538761359	320.27998481292	304.944218247889	432.716339193476	347.064046081332	461.693167325842	404.134701728118	466.350302495258
"ENSG00000288642"	4625.88413275654	470.723769745027	11608.5817730191	12453.5286359578	523.646931690932	2661.72766477656	7284.3466165527	11422.1474241001	1445.14067177184	6248.37184366079	7433.0846821694	1974.18169000736	613.027262823516	1606.05903321081	4769.77637277224	2303.26831337697	3664.03701673277	1256.86555648405	725.665026700734	4661.63983479504	364.340116640628	669.642479374537	1383.34953253944	3133.41713537791	2005.23554949822	611.793020048926	874.059834738659	5321.99004418836	2589.74824428522	2308.76481285409	15229.0811650529	8666.97172893229	2062.93378624797	1989.28683135422	4379.64027815892	654.636321957691	1106.18883661679	7304.58965065332	468.415079197899	2023.58717677254	3045.49468450804	8166.03219927504	16511.2657593375	2304.07711830862	3407.74600185998	6663.05980140485
