"hB_RNA_9228"	"hB_RNA_4601"	"hB_RNA_4520"	"hB_RNA_16275"	"hB_RNA_8375"	"hB_RNA_16415"	"hB_RNA_16375"	"hB_RNA_5111"	"hB_RNA_16335"	"hB_RNA_16095"	"hB_RNA_16865"	"hB_RNA_8595"	"hB_RNA_16695"	"hB_RNA_17035"	"hB_RNA_16715"	"hB_RNA_16855"	"hB_RNA_16105"	"hB_RNA_8665"	"hB_RNA_5041"	"hB_RNA_17055"	"hB_RNA_16045"	"hB_RNA_16515"	"hB_RNA_16595"	"hB_RNA_16325"	"hB_RNA_9025"	"hB_RNA_9231"	"hB_RNA_5161"	"hB_RNA_16745"	"hB_RNA_9230"	"hB_RNA_8985"	"hB_RNA_17015"	"hB_RNA_16125"	"hB_RNA_8645"	"hB_RNA_16215"
"ENSG00000136982"	22.8298836691537	30.7626057106827	41.2689403225686	44.9186375723031	41.1209130253202	18.6453896502595	42.2422242143106	20.0715219352589	43.9937992151244	47.1132075861159	34.1579607988859	37.1341303088547	44.3520007213176	66.6393060559792	67.8527013533666	50.1256663313689	46.8148698069448	40.2901412088766	39.4083438252391	25.7112913031127	39.1396262049585	50.9661264745275	52.5040424781231	35.4934547955746	30.9410839028499	48.5235485765136	40.2715322531862	23.914046669461	36.2529511385045	20.6997242397062	48.5303162962796	35.8285977992552	19.145782828559	29.5089848760366
"ENSG00000049860"	1018.64766657129	945.665286661728	1862.79458214629	1475.89809166139	1203.81472881625	1516.80244804861	1533.52074571952	1184.21979418027	2039.11259362102	2286.16839811627	1895.76682433817	1507.1022642423	1129.12801836354	1463.16737209867	2898.61978588505	2159.96053100626	2071.55798895731	2072.57226395074	1746.72792535869	1603.89483843227	1535.5476606457	1322.69232993416	1635.12589431869	1272.54474693545	2097.22534329005	1506.65618330075	869.193904464602	1192.44132710903	2125.63136842098	1779.19058346046	1796.53736930756	1695.88696249808	867.65206727606	1919.21897789915
"ENSG00000160226"	443.55202557213	421.561633813059	725.764122914138	528.328737159946	604.477421472206	352.397864389905	424.982376943973	498.618860707483	569.719699835861	527.667924964498	444.053490385516	483.649404510449	483.252007859357	418.668683699521	685.66940314981	498.97822393499	399.87701293432	623.312184584385	514.560375089551	389.34241116142	450.560813289638	415.009887006866	485.662392922638	419.657906700617	609.152589337358	433.072671045384	488.851655406732	453.279884598419	575.213491397605	632.820141042448	437.68851301173	388.602483822691	430.780113642578	469.873836103045
"ENSG00000149485"	1107.79292661275	987.821450043034	1612.33480639553	1535.78960842446	1508.10948520362	1243.64748967231	2535.81352025907	488.054901794189	1254.92312261142	1314.45849165263	1170.97759363681	1481.74237037284	619.080010068392	1524.01195588892	954.699412024561	1941.23035065119	1127.45811451725	2029.91211443546	1175.49459867285	1254.95588503288	1713.95153823109	1213.47920177446	1420.42186347065	1011.56346167388	979.478687299593	1248.26828713081	1128.72155676291	2300.09648875361	1842.85834954065	1063.57154545919	1391.81284472349	1101.49971182838	818.047084492975	804.687318350384
"ENSG00000189056"	917.543896036464	1246.45520916618	1134.1843254168	2215.98612023362	1256.24389292353	974.221609226059	1035.57452695083	1017.30924335023	2305.27507887252	2707.83160601201	1612.89621147239	1450.94821353135	802.956013058854	1293.67174582586	3011.70762147399	2678.30548966019	2167.13834814649	1574.87051960579	1762.11594532855	2340.95185578816	2468.52712250808	884.626338093584	1295.72476258511	1752.75031181676	1493.87420718447	1067.5180686833	653.293745440576	1102.22015103788	3546.74705305036	1151.29894818938	2003.47796332566	1983.43442688697	586.55716483858	2372.06839965064
"ENSG00000170619"	405.502219456874	289.39636483383	458.227544271279	383.947402106115	398.872856345606	423.250345060891	449.303657552213	332.764705768765	424.540162425951	466.420755102547	374.670132512779	371.341303088547	319.704005199498	373.759586140057	563.058381406007	437.460360710128	396.951083571386	436.081528378429	396.335343613833	399.137188800701	403.229172297595	407.72901179622	410.656617953891	345.539221686329	436.075901255791	405.171630613888	409.427244574059	338.057659736471	553.461720714502	415.965887102668	374.507535192045	379.415663874164	322.867519517972	468.738875146274
"ENSG00000125249"	2998.32472188219	2815.348100411	3028.28637953193	5076.87553704102	4496.57183931876	5104.17541675854	5487.64894565908	3845.28104443907	5024.09187036721	5665.36321223043	5831.4043701348	5380.82605280258	2786.78404532279	6345.22088098237	7779.25269025001	5978.62492970508	5241.31479880253	7944.26784306791	5272.46108625675	6427.82282577816	5397.62752082334	4586.95138270747	4606.29215526819	3257.04644006449	6513.09816154991	5762.17139346099	3004.70376755717	3944.73069833972	7063.28331348529	4336.09937764132	5089.27354669287	4880.03875665752	3251.30202943166	4998.3680536179
"ENSG00000140157"	600.09979930347	559.423681627601	594.841967408058	638.486348349166	548.964188888024	633.01097862631	851.24482128838	634.893930688978	737.995981833712	810.347170481193	1203.00068188576	806.082340850749	478.632007784219	821.401881168265	942.795429330988	893.148236449845	690.519329652436	870.978052603656	646.296838733921	799.498724806312	725.448420589579	620.087872106751	711.617290015989	599.213030960583	757.08964674786	638.084663781154	609.666252166291	598.938168857863	1150.42698279521	611.13471564847	752.677735764941	701.87304406746	594.389530541173	763.828723906641
"ENSG00000072756"	722.946316189869	640.317941089025	500.919551501523	804.25751081838	785.409438783615	851.162037534347	1061.1758749595	781.732959583766	861.178619636061	1104.80471789442	1018.33420631678	986.318729422995	580.272009437239	1028.56320216837	1213.0158364751	1050.36055358005	910.939341660135	1196.85419473428	893.631110932327	1012.53513846067	947.543043706088	887.053296497133	842.877396211297	696.29806907789	944.669967908887	954.700818242905	712.582390146655	822.860605853725	1150.42698279521	747.161474937968	947.714667295272	973.802914543858	666.621347576191	1004.44044674202
"ENSG00000165527"	476.166145099492	424.979701114246	442.573808286857	605.332115855323	552.048257364923	621.823744836155	937.009337117435	367.625770182636	767.691796303921	627.783491084994	661.810490478414	480.026562529097	267.960004357961	911.220076287194	768.402082870143	865.806963905462	615.420476003795	655.307296720846	444.000673764361	825.210016109425	677.206555732305	520.582577561245	521.290136032793	437.404634098405	555.005692507371	501.005639052503	459.766659890542	538.066050062871	843.485329822538	454.408232119266	600.677122459612	591.631204685136	409.023542246488	594.719541347815
