sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42
ENSG00000115421	876.503932304135	875.105521329213	783.889098534898	769.962530256754	826.600542957134	797.41641761575	784.360363535132	743.095792976963	920.286344669858	874.272285037573	763.678760439418	1035.33912964036	880.182790718369	970.604622074227	788.350260622174	850.710004249631	1277.23365125096	911.92347921517	597.173655948731	1231.88501684721	705.085322821734	943.854094876187	779.574365322221	844.109890366389	816.975827209245	734.31894052599	865.660285758843	859.464882062563	800.695335839404	833.638722717272	1005.2654590324	1075.53036485299	844.605271723217	733.277273721968	978.594525765614	812.362156882215	827.159848423765	929.032016881376	1009.15930958275	577.128915616171	729.363278726794	860.408786931418
ENSG00000286525	56.9727555997688	45.5054871091191	51.6395980589524	178.06626991726	323.813382341467	83.9385702753421	187.870745756918	73.6780531280274	102.63416483307	132.820633115628	583.424974804974	266.328885241561	89.7473565840059	547.25579755249	40.7129242574832	23.4057778946988	61.3642983282586	487.003007810825	55.0791236069218	34.592714981669	218.41026834882	326.337327932359	182.757360368579	141.046639778445	90.8760653180472	426.167242269548	70.8468776068618	152.443312414767	139.163672979645	189.943000112796	87.0789158591663	33.4302042665989	43.6864795718905	158.694335357739	108.311932805327	90.1523857027824	65.4188083874023	167.945529594051	85.407692125043	175.013822786131	29.2810075401268	57.8838294514865
ENSG00000146648	1847.67028929712	1051.87683663771	1121.61206984045	2668.00969786643	1636.59527143522	2743.88380400071	3518.55068124742	810.458584408302	1637.01492908746	1371.95901030025	909.801651752547	2180.20745450992	1891.28145021524	1254.55810193637	1494.34937899626	2090.31601044195	1595.47175653472	1316.14977181736	5542.69917560181	1165.58231313235	4161.6652219074	378.62341914804	876.664213018028	1150.0726012704	420.756182422559	942.813068282476	978.572496944779	1153.83817500142	830.948308226284	1357.74070450999	1224.61614581688	3977.0415420609	1959.27241716358	2098.59577964459	851.346940371943	1384.97840892846	1270.6771934231	506.502390839201	898.279147876549	1987.65698735678	2256.41218710734	1754.17435693657
ENSG00000130414	4741.88627376537	5696.06183833185	6101.73490664582	4339.24619764853	4903.32799756381	5152.01332690005	5137.59392950257	5845.82724390092	5283.09363478226	6100.3735492166	7035.23059198101	5474.15388366638	5903.56464869103	5442.6137903758	5572.11886087645	4949.42180250209	5692.60897747497	5193.54907338201	3864.23535621193	6333.3495678939	4350.40018205666	5234.91951188731	5308.53020195607	4326.87691874185	4686.4786884517	3962.69971119561	4782.16423846317	5491.9017463906	5015.94282174458	3464.701020576	4862.08984626307	4450.82823011511	4070.78559647162	3485.80315940966	5404.23524871336	4599.75304195625	5163.65068915479	5391.58466038044	5089.99877453985	4692.03724898057	4578.48481536527	4391.32238347209
ENSG00000181192	843.196782876578	786.719863674963	918.152053488174	1299.18742185442	1749.14579179322	1458.716234785	1429.15960165084	995.706260844485	983.577412983584	799.267692219337	1198.84766303618	1193.29175854985	1005.33506778964	1100.70694375652	1102.02483615142	1316.12489546345	813.433722025753	1309.94151817671	2156.78252439736	668.7924896456	1557.36017431332	1317.9700923677	879.519796773788	1631.8011248214	1464.92217292692	1622.05808826902	1007.35404097257	891.004877734584	939.859008819049	1290.908908174	843.232539648889	1120.48822576324	1363.5476957287	1701.85994125024	868.76774075322	1504.85136134644	953.562291748576	749.090378030607	860.819633786618	1758.47221942256	1236.01343949687	1029.15486601033
ENSG00000215375	1785.43851010352	1396.66841204142	1935.45213524954	1417.56667392232	1926.27447956975	1617.51893530592	1088.30839149186	2579.78440309708	1187.99045794278	1363.36473403983	2041.45411659364	871.62180624511	1231.76188485938	1678.93948456669	1517.48172232437	1091.06933878365	871.943866943395	1535.50806712025	1424.80996067379	871.54423578816	1386.43039908381	2027.43826110463	1544.87081186565	3558.71521902539	4362.95989591945	2024.62222173594	1705.85997487772	1795.15142033251	1744.58807431004	3134.05950186114	1737.16925815248	1014.43378464162	1813.65081859061	3091.80343024561	1355.79272532543	1513.76753136101	1991.39287904703	2399.22185134358	1521.605462333	2800.2211645781	1984.89738991708	1377.43892457436
ENSG00000254873	1554.91797590754	1639.07264144962	1557.45027745801	1305.15612363936	1243.59099543105	1301.0478392678	1164.12765674376	1793.53432185941	1518.13035482249	1573.53385349926	1322.57215495095	1264.77397017313	1268.81354583443	1383.62786551007	1312.99180730383	1143.28222793337	1626.86744405151	1274.07160825296	1066.7956572288	1408.69222675352	1222.6226978222	1713.72171381054	1660.99788459985	1640.48091803853	1379.49867152796	1391.27213553228	1610.6594830935	2044.84305273601	1637.69423854306	1519.54400090237	2005.01959427625	1324.52774835593	1293.38456187082	1671.76273971688	1548.178955623	1459.27982571647	1842.81456847225	2028.67536541385	2001.83643296592	1648.04683123607	1555.44261266188	1723.76081942817
ENSG00000180875	289.246297660364	714.086105404638	464.756382530572	264.612445798833	88.5643438882644	288.113470945093	383.122127954286	433.647969839247	425.931784057239	596.911551178468	253.848526514779	544.187159454619	420.742194627771	116.679066270625	322.002219127367	254.76289016153	363.904559853627	184.867997299293	100.0120928652	548.67889595925	131.758368406082	210.045849194032	404.541032065865	177.93576095127	228.098923948299	86.5447322762774	431.723160416814	789.814058286851	453.794585803189	154.768370462278	588.609380617656	227.094835879999	222.403896002352	77.9791130637168	410.524948115296	344.758573896355	542.199954261691	519.831401124443	562.641901630766	79.1729198318213	494.227915146988	553.330166282007
ENSG00000248733	1481.29164559399	5408.15212181454	2077.97742589225	1086.30372485837	372.708280529779	1483.67094486686	1882.73325926397	2770.29479761383	4117.34057921998	5610.49980237249	893.80279503943	6469.1401519065	4780.48763602512	799.199976048353	2687.05300099389	3252.50290513642	4590.90576097693	592.543319701839	540.645081720574	6668.70672146619	471.243894209138	1207.08751961721	3222.05033774813	996.006271666253	1950.20036172529	864.136038940406	1395.9048853477	3193.42456179209	2582.59540942659	327.124055749816	2453.64135066461	1220.77883856304	1159.67745772655	727.805055261357	3538.69475570971	1095.69822623382	3737.74242498192	2897.72683601164	3255.98096469682	237.518759495464	3196.06633816777	3278.77555977742
ENSG00000005513	3188.72130572244	1135.88696668532	1872.45182561762	3050.00661210234	7948.64986397173	2950.3273146779	2731.50644991576	2746.08629444319	2688.15983391948	2629.06723784757	8146.61783831882	2428.08931739709	2162.99363069893	5416.79983766106	1922.76037743296	1125.27778339898	1779.5646515195	6944.27660004472	3443.89467605384	1607.60033789812	4114.18472878809	10513.1102716773	4269.09771485978	6982.89364318519	4186.66032920244	6619.36073531285	3782.55907472886	2595.47881051003	4224.32337762124	7731.38359718382	2245.31331145724	2157.97732369218	4290.54182704537	5840.22515208784	2867.61522797881	5976.80596642732	3873.01521520672	4982.38404462351	4167.74553764574	8375.66151905057	2127.75321458254	2904.00229112542
