ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000216863	3.76478821437666e-07	LY86-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000282917	6.6507008540356e-07		lncRNA	No_kegg	ctrl_cluster2
ENSG00000223720	7.10076808631147e-07		lncRNA	No_kegg	ctrl_cluster2
ENSG00000237919	8.11376989587986e-07	LRRC7-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000226576	1.98834286262988e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000275665	2.41029509622346e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000256705	2.61295232257229e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000255650	2.8938926159666e-06	FAM222A-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000231185	3.05115232174007e-06	SPRY4-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000260465	3.05115232174007e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000283503	3.05996585395776e-06	LINC01902	lncRNA	No_kegg	ctrl_cluster2
ENSG00000242242	3.09253731362537e-06	NECTIN3-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000251022	3.09253731362537e-06	THAP9-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000269888	3.47877098700932e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000263146	3.64956500849211e-06	LINC01896	lncRNA	No_kegg	ctrl_cluster2
ENSG00000204380	3.71087896533362e-06	PKP4-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000236723	4.21897672104157e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000286282	4.38411408689193e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000251450	4.54620762502493e-06	RASGRF2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000177112	4.67456535587619e-06	IRAG1-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000197291	4.67456535587619e-06	RAMP2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000272030	4.71825409637652e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000228237	4.82918593111978e-06	EFCAB14-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000255949	5.69909851680213e-06	RPS6KB2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000227197	5.81521409492924e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000227646	6.04100398261063e-06	STEAP2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000285867	6.06549930255273e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000203472	6.22554193441044e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000197585	6.97212352930563e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000257732	7.24512690792468e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000254741	7.68332690709246e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000232342	7.72374014501157e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000233527	7.90101649432022e-06	ZNF529-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000288543	8.00345769749638e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000257270	8.23871620122192e-06		lncRNA	No_kegg	ctrl_cluster2
