ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster	GO
ENSG00000270751	0.000555568809966395	FBXW7-AS1	lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000231760	0.000593482845527558		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000254873	0.000600271145329879		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000260281	0.000604198052990015	ITFG1-AS1	lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000232959	0.000606552881276847	KIFAP3-AS1	lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000284697	0.000697845218435376		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000225792	0.000795292791788334	SNX10-AS1	lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000246283	0.000841677084311567	TTBK2-AS1	lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000233912	0.000883508830089841		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000259623	0.000894207378503804		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000287022	0.000918656884409438		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000254317	0.000935928983860554		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000230612	0.00101915943483814		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000285889	0.00103775181002512		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000258302	0.00123268838554285		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000285830	0.00131988391642567		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000248733	0.00134252971619025		lncRNA	No_kegg	AD_cluster1	Synapse signaling
ENSG00000233912	0.000497821762273769		lncRNA	No_kegg	AD_cluster1	Others
ENSG00000276012	0.0005057934406337		lncRNA	No_kegg	AD_cluster1	Others
ENSG00000255422	0.000514720287040317		lncRNA	No_kegg	AD_cluster1	Others
ENSG00000258048	0.000550450345195133	PPP1R12A-AS2	lncRNA	No_kegg	AD_cluster1	Others
ENSG00000248733	0.000840916287413086		lncRNA	No_kegg	AD_cluster1	Others
ENSG00000232767	0.000853463952138485	HSPA12A-AS1	lncRNA	No_kegg	AD_cluster1	Others
