hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
CYP51A1	protein_coding	ENSG00000001630	No_kegg	NA	NA	AD_cluster3
CDC27	protein_coding	ENSG00000004897	No_kegg	NA	NA	AD_cluster3
PRKAR2B	protein_coding	ENSG00000005249	No_kegg	NA	NA	AD_cluster3
TEAD3	protein_coding	ENSG00000007866	No_kegg	NA	NA	AD_cluster3
CDKL5	protein_coding	ENSG00000008086	No_kegg	NA	NA	AD_cluster3
HEATR5B	protein_coding	ENSG00000008869	No_kegg	NA	NA	AD_cluster3
POMT2	protein_coding	ENSG00000009830	No_kegg	NA	NA	AD_cluster3
SLC30A9	protein_coding	ENSG00000014824	No_kegg	NA	NA	AD_cluster3
WAS	protein_coding	ENSG00000015285	No_kegg	NA	NA	AD_cluster3
CCDC28A	protein_coding	ENSG00000024862	No_kegg	NA	NA	AD_cluster3
ARHGAP31	protein_coding	ENSG00000031081	No_kegg	NA	NA	AD_cluster3
ASTE1	protein_coding	ENSG00000034533	No_kegg	NA	NA	AD_cluster3
KATNIP	protein_coding	ENSG00000047578	No_kegg	NA	NA	AD_cluster3
LMO3	protein_coding	ENSG00000048540	No_kegg	NA	NA	AD_cluster3
KITLG	protein_coding	ENSG00000049130	No_kegg	NA	NA	AD_cluster3
ELN	protein_coding	ENSG00000049540	No_kegg	NA	NA	AD_cluster3
PHF21B	protein_coding	ENSG00000056487	No_kegg	NA	NA	AD_cluster3
CROCC	protein_coding	ENSG00000058453	No_kegg	NA	NA	AD_cluster3
BCAT1	protein_coding	ENSG00000060982	No_kegg	NA	NA	AD_cluster3
SNAP91	protein_coding	ENSG00000065609	No_kegg	NA	NA	AD_cluster3
ZBTB11	protein_coding	ENSG00000066422	No_kegg	NA	NA	AD_cluster3
TTC7A	protein_coding	ENSG00000068724	No_kegg	NA	NA	AD_cluster3
EPN2	protein_coding	ENSG00000072134	No_kegg	NA	NA	AD_cluster3
NFATC3	protein_coding	ENSG00000072736	No_kegg	NA	NA	AD_cluster3
TRNT1	protein_coding	ENSG00000072756	No_kegg	NA	NA	AD_cluster3
SELENOO	protein_coding	ENSG00000073169	No_kegg	NA	NA	AD_cluster3
ARHGEF10L	protein_coding	ENSG00000074964	No_kegg	NA	NA	AD_cluster3
BCAP29	protein_coding	ENSG00000075790	No_kegg	NA	NA	AD_cluster3
RBMS2	protein_coding	ENSG00000076067	No_kegg	NA	NA	AD_cluster3
ACACB	protein_coding	ENSG00000076555	No_kegg	NA	NA	AD_cluster3
