ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000264031	5.62940644736415e-07	ABHD15-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000223720	6.40880292223733e-07		lncRNA	No_kegg	ctrl_cluster2
ENSG00000237919	6.76004596913933e-07	LRRC7-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000226576	1.95067325613276e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000275665	2.23617950746295e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000256705	2.59402714295397e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000242242	2.69873052130193e-06	NECTIN3-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000251022	2.69873052130193e-06	THAP9-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000231185	2.7986888082214e-06	SPRY4-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000260465	2.7986888082214e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000255650	2.80336455352146e-06	FAM222A-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000283503	3.02804545072703e-06	LINC01902	lncRNA	No_kegg	ctrl_cluster2
ENSG00000265128	3.27771013830658e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000263146	3.37549417325249e-06	LINC01896	lncRNA	No_kegg	ctrl_cluster2
ENSG00000269888	3.49294756542665e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000204380	3.61754255208238e-06	PKP4-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000251450	3.81737204282885e-06	RASGRF2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000177112	3.889813714821e-06	IRAG1-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000197291	3.889813714821e-06	RAMP2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000225877	3.92889120161489e-06	PSG8-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000275741	3.99693240728205e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000236723	4.11453016936903e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000269696	4.36979781599338e-06	ZNF470-DT	lncRNA	No_kegg	ctrl_cluster2
ENSG00000286282	4.3934505881521e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000272030	4.43264584149187e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000228237	4.81988049092687e-06	EFCAB14-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000255949	5.31204265374045e-06	RPS6KB2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000227197	5.39239858270193e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000285867	5.65224139068256e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000203993	5.77345331518916e-06	ARRDC1-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000203472	5.87961095545874e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000227646	6.0119936668856e-06	STEAP2-AS1	lncRNA	No_kegg	ctrl_cluster2
ENSG00000257449	6.04372148030516e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000232342	6.73840286144311e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000257270	6.84749768073115e-06		lncRNA	No_kegg	ctrl_cluster2
ENSG00000197585	6.91085212011762e-06		lncRNA	No_kegg	ctrl_cluster2
