ensembl_gene_id	Score	hgnc_symbol	gene_biotype	kegg	Cluster
ENSG00000288473	9.45783573427838e-07		lncRNA	No_kegg	AD_cluster2
ENSG00000248138	2.4807377640012e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000227407	3.4662010571859e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000273419	3.56977885148858e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000267106	3.99362486465221e-06	ZNF561-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000260236	4.12877986041467e-06	PTPN23-DT	lncRNA	No_kegg	AD_cluster2
ENSG00000250646	4.32491661425212e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000245311	4.34730620648611e-06	BMAL2-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000226239	4.38619785215782e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000272849	4.38619785215782e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000273599	4.74331400908528e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000234084	5.03898756567239e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000249421	5.03898756567239e-06	ADAMTS19-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000229743	5.26320915654967e-06	LINC01159	lncRNA	No_kegg	AD_cluster2
ENSG00000235865	5.26320915654967e-06	GSN-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000249669	5.26320915654967e-06	CARMN	lncRNA	No_kegg	AD_cluster2
ENSG00000286717	5.26320915654967e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000257550	5.27077960113751e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000287249	5.27077960113751e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000256973	5.77755761927061e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000286904	5.91708218592054e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000287844	5.92450118624871e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000240731	6.34473029306632e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000257096	6.6327339118802e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000236819	6.6893266328906e-06	LINC01563	lncRNA	No_kegg	AD_cluster2
ENSG00000177133	7.41667261603525e-06	PRDM16-DT	lncRNA	No_kegg	AD_cluster2
ENSG00000251143	7.41667261603525e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000285539	7.41667261603525e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000231102	7.77589648240085e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000250846	7.77589648240085e-06	EPHA5-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000255693	7.77589648240085e-06	LINC02389	lncRNA	No_kegg	AD_cluster2
ENSG00000203993	8.92665064840335e-06	ARRDC1-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000247675	8.94480666450594e-06	LRP4-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000240499	9.01156985396702e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000258603	9.01156985396702e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000279159	9.01156985396702e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000287533	9.71102070809584e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000236283	9.74365101355424e-06		lncRNA	No_kegg	AD_cluster2
ENSG00000258185	1.02379075852739e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000283155	1.08125804478641e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000285314	1.13393410044194e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000197291	1.20583474774416e-05	RAMP2-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000227432	1.2124422378521e-05	ASIC4-AS1	lncRNA	No_kegg	AD_cluster2
ENSG00000257522	1.3154755101769e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000242798	1.40405040117918e-05		lncRNA	No_kegg	AD_cluster2
ENSG00000234899	1.41770374197173e-05	SOX9-AS1	lncRNA	No_kegg	AD_cluster2
